Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Joaquín Vergés,0.37,43.59,2.83,0.51,1.53,0.6,0.43,0.17,0.17,27.17,72.15,6.37,46.9,37.04,50.0,1.03,1.0,30,3,3,Ecuador Serie A,3
Mauro Díaz,0.29,68.42,1.29,0.0,0.86,0.57,0.48,0.43,0.14,37.05,83.8,12.05,68.0,50.0,62.26,2.38,0.95,21,3,3,Ecuador Serie A,3
Alexander Alvarado,0.32,56.1,1.9,0.27,0.9,0.19,0.19,0.1,0.16,31.29,85.46,12.87,79.63,60.0,52.13,1.23,1.1,31,1,3,Ecuador Serie A,3
Rómulo Otero,0.08,62.5,2.12,0.16,0.72,0.16,0.32,0.2,0.12,21.44,83.96,6.96,72.53,53.33,65.79,3.36,0.56,25,3,3,Ecuador Serie A,3
Sergio López,0.27,47.62,3.13,0.95,0.47,0.27,0.33,0.13,0.07,33.53,75.75,9.93,55.17,37.5,46.53,1.2,0.8,15,3,3,Ecuador Serie A,3
Damián Díaz,0.42,50.0,1.54,0.0,0.63,0.38,0.38,0.25,0.25,30.0,77.08,9.79,63.64,33.33,49.18,1.13,0.42,24,3,3,Ecuador Serie A,3
Facundo Martinez,0.04,58.62,0.96,0.0,1.68,0.71,0.54,0.07,0.14,61.86,86.78,15.79,70.26,61.76,54.75,1.29,1.43,28,3,3,Ecuador Serie A,3
Lucas Mancinelli,0.12,41.67,1.96,0.0,0.46,0.23,0.65,0.38,0.31,24.46,75.79,6.42,54.76,17.39,48.84,2.04,0.69,26,3,3,Ecuador Serie A,3
Braian Oyola,0.27,65.0,1.43,0.0,0.73,0.27,0.47,0.23,0.13,25.03,67.11,8.37,45.88,10.0,54.7,1.77,1.03,30,2,3,Ecuador Serie A,3
Nicolás Rinaldi,0.04,35.29,1.07,0.0,1.96,1.0,1.0,0.15,0.07,31.93,85.85,6.56,71.7,52.38,53.88,1.78,1.74,27,2,3,Ecuador Serie A,3
Renato Ibarra,0.12,50.0,1.85,0.0,0.88,0.19,0.35,0.12,0.15,22.81,82.29,9.31,57.14,41.67,56.67,1.65,0.54,26,3,3,Ecuador Serie A,3
José Cevallos,0.12,63.64,1.24,0.0,0.88,0.36,0.44,0.16,0.12,35.24,85.02,9.04,68.82,50.0,50.54,0.52,0.64,25,2,3,Ecuador Serie A,3
Jefferson Valverde,0.0,66.67,1.94,0.0,1.94,1.44,0.72,0.17,0.0,36.5,79.91,8.78,48.98,44.0,48.23,0.56,1.78,18,1,3,Ecuador Serie A,3
Yerson Candelo,0.07,66.67,0.6,0.0,1.13,0.47,0.4,0.07,0.13,37.07,75.72,7.07,56.82,55.56,51.52,0.27,0.53,15,3,3,Ecuador Serie A,3
Diego García,0.04,54.39,1.5,0.0,1.5,0.81,0.85,0.19,0.04,28.54,74.39,8.23,54.95,42.31,53.64,1.42,0.88,26,2,3,Ecuador Serie A,3
Bagner Delgado,0.12,57.14,0.82,0.0,1.0,0.47,0.35,0.29,0.12,22.59,75.26,8.35,74.29,16.67,45.86,1.47,0.71,17,2,3,Ecuador Serie A,3
Kevin Minda,0.11,81.82,1.15,0.0,0.78,1.19,0.37,0.04,0.04,47.52,87.53,8.93,67.14,53.33,52.99,0.59,0.85,27,2,3,Ecuador Serie A,3
Kendry Páez,0.21,57.58,1.75,1.04,0.5,0.21,0.29,0.08,0.04,23.67,80.81,9.0,66.15,11.11,43.52,0.63,0.79,24,1,3,Ecuador Serie A,3
Jordy Alcivar,0.12,50.0,1.0,0.0,0.64,0.44,0.12,0.0,0.12,42.16,89.66,9.2,68.82,52.17,52.99,1.0,0.76,25,1,3,Ecuador Serie A,3
Samuel Sosa,0.12,51.85,1.82,0.0,0.82,0.24,0.24,0.18,0.18,19.0,78.64,5.82,48.28,43.75,48.0,1.47,1.76,17,1,3,Ecuador Serie A,3
Maicon Solís,0.25,42.62,1.64,0.0,1.04,0.39,0.21,0.25,0.18,22.36,71.57,7.36,42.47,39.47,41.4,0.68,1.14,28,2,3,Ecuador Serie A,3
Luis Cano,0.17,41.67,0.67,0.0,0.58,0.5,0.29,0.17,0.29,18.42,79.86,5.13,50.0,35.0,51.82,1.67,0.63,24,1,3,Ecuador Serie A,3
Óscar Zambrano,0.0,57.14,0.75,0.0,1.17,0.83,0.63,0.04,0.0,40.83,91.12,9.54,81.76,40.0,48.36,0.63,1.0,24,1,3,Ecuador Serie A,3
Ezequiel Piovi,0.0,43.75,0.78,0.0,1.52,0.78,0.67,0.07,0.07,42.56,86.42,10.7,62.66,52.17,49.02,0.56,1.26,27,3,3,Ecuador Serie A,3
Lorenzo Faravelli,0.08,25.0,1.17,0.0,1.38,0.25,0.54,0.21,0.25,43.0,90.02,11.17,71.74,0.0,45.9,0.88,1.04,24,2,3,Ecuador Serie A,3
Willian Cevallos,0.18,28.57,1.76,0.49,0.29,0.29,0.35,0.18,0.06,19.18,78.53,6.24,63.51,20.0,30.95,0.29,0.76,17,3,3,Ecuador Serie A,3
Mauricio Martínez,0.1,68.18,1.24,0.0,1.0,0.43,0.43,0.1,0.05,32.24,83.31,8.33,62.5,70.59,58.93,0.86,0.57,21,2,3,Ecuador Serie A,3
Michael Carcelén,0.07,45.83,1.13,0.0,1.27,0.73,0.47,0.2,0.07,22.47,81.31,5.53,72.22,54.55,57.55,1.67,0.53,15,2,3,Ecuador Serie A,3
Erick Plúas,0.0,59.09,0.38,0.0,1.83,0.72,0.38,0.03,0.03,29.17,80.26,6.93,60.87,42.86,57.23,0.59,0.55,29,1,3,Ecuador Serie A,3
Lisandro Alzugaray,0.17,52.63,2.03,0.0,0.73,0.23,0.2,0.07,0.0,20.0,80.67,7.1,71.19,35.71,45.99,0.53,0.37,30,3,3,Ecuador Serie A,3
Juan Carlos Paredes,0.03,57.89,0.62,0.0,1.24,0.76,0.72,0.07,0.07,33.0,74.92,6.14,50.63,50.0,54.98,2.07,1.0,29,3,3,Ecuador Serie A,3
Cristhian Solano,0.23,57.14,1.83,0.0,1.33,0.5,0.43,0.1,0.1,19.73,73.14,5.67,51.43,40.68,54.11,1.93,0.87,30,1,3,Ecuador Serie A,3
Nixon Molina,0.13,65.0,1.17,0.0,0.43,0.43,0.35,0.0,0.0,19.0,76.2,6.78,46.27,42.86,56.56,1.74,0.65,23,2,3,Ecuador Serie A,3
Elvis Patta,0.03,27.78,0.77,0.0,1.27,1.03,0.4,0.2,0.07,24.63,70.5,7.1,44.0,28.13,48.17,0.9,0.8,30,3,3,Ecuador Serie A,3
Thiago Serpa,0.0,100.0,0.07,0.0,1.71,1.07,0.36,0.14,0.0,34.36,87.94,3.86,53.13,50.0,64.71,1.07,1.14,14,1,3,Ecuador Serie A,3
Edison Caicedo,0.05,72.73,0.75,0.0,1.9,0.55,1.1,0.0,0.0,33.1,85.5,4.35,67.33,45.45,57.76,1.85,1.35,20,3,3,Ecuador Serie A,3
Jordan Rezabala,0.1,54.35,1.19,0.0,1.0,0.57,0.62,0.1,0.05,25.33,82.14,7.29,65.52,46.88,56.88,3.0,0.71,21,1,3,Ecuador Serie A,3
Gabriel Cortez,0.21,40.91,1.5,0.0,0.13,0.08,0.21,0.0,0.17,16.04,77.4,5.04,68.97,50.0,40.51,0.58,0.29,24,2,3,Ecuador Serie A,3
Jhojan Julio,0.15,50.0,1.37,0.0,1.04,0.15,0.3,0.3,0.11,25.74,82.88,10.37,60.61,45.0,40.17,1.11,2.19,27,2,3,Ecuador Serie A,3
Juan Ruiz Gómez,0.14,45.45,1.31,0.0,1.14,0.93,0.66,0.07,0.07,27.69,77.09,8.24,45.45,31.58,50.7,1.52,0.72,29,2,3,Ecuador Serie A,3
Byron Angulo,0.18,61.54,1.39,0.0,0.64,0.36,0.25,0.07,0.07,14.21,73.12,3.86,62.16,63.89,56.55,0.79,0.39,28,2,3,Ecuador Serie A,3
Robert Burbano,0.14,48.78,1.1,0.0,0.76,0.72,0.59,0.03,0.03,30.24,80.84,9.34,66.67,25.0,42.31,1.0,1.0,29,2,3,Ecuador Serie A,3
Jorge Ordóñez,0.33,52.0,2.29,0.0,0.42,0.04,0.08,0.13,0.08,11.13,70.04,3.67,40.0,46.25,46.59,0.92,0.79,24,2,3,Ecuador Serie A,3
Jorge Gongora,0.0,50.0,0.27,0.0,2.41,1.55,1.05,0.0,0.0,38.0,83.49,6.09,59.48,33.33,57.07,1.73,1.32,22,3,3,Ecuador Serie A,3
Cristian García,0.0,77.78,0.23,0.0,3.0,1.0,0.92,0.04,0.0,28.04,71.47,4.92,44.32,62.86,54.77,1.0,2.65,26,2,3,Ecuador Serie A,3
Matías Fernández,0.0,38.46,0.3,0.0,0.45,0.4,0.1,0.15,0.15,31.7,81.7,9.55,66.13,33.33,48.21,0.55,0.55,20,2,3,Ecuador Serie A,3
Elian Carabali,0.33,0.0,1.33,0.0,0.42,0.0,0.0,0.08,0.08,4.5,72.22,1.17,42.86,11.11,37.5,0.5,0.42,12,1,3,Ecuador Serie A,3
Sebastián González,0.05,40.0,1.09,0.0,0.77,0.32,0.18,0.23,0.05,25.59,86.32,7.18,72.22,66.67,46.25,0.36,0.68,22,1,3,Ecuador Serie A,3
Joseph Espinoza,0.0,88.89,0.53,0.0,1.0,0.47,0.42,0.05,0.0,39.05,85.44,4.26,56.32,53.85,57.32,0.68,0.68,19,1,3,Ecuador Serie A,3
Leonai Souza de Almeida,0.0,57.14,0.21,0.0,2.29,1.5,0.71,0.04,0.0,36.46,85.83,5.75,71.43,50.0,51.87,1.67,2.21,24,2,3,Ecuador Serie A,3
Jesús Trindade,0.07,60.0,0.53,0.0,1.67,0.6,0.47,0.0,0.07,33.93,81.14,5.87,60.29,63.64,52.86,0.13,0.87,15,2,3,Ecuador Serie A,3
Francisco Gatti,0.08,40.0,1.5,0.0,0.25,0.08,0.25,0.08,0.08,12.17,76.71,3.17,38.46,36.36,48.78,0.92,0.5,12,2,3,Ecuador Serie A,3
Christian Ortíz,0.04,48.15,1.08,0.0,1.08,0.72,0.32,0.08,0.08,17.6,72.27,4.32,52.5,52.38,50.0,1.0,1.16,25,3,3,Ecuador Serie A,3
David Noboa,0.05,83.33,0.68,0.0,1.47,0.53,0.79,0.0,0.0,21.84,82.41,3.21,59.02,65.22,52.83,0.42,1.05,19,2,3,Ecuador Serie A,3
Esteban Davila,0.15,25.0,0.88,0.0,0.96,0.31,0.27,0.04,0.08,12.92,77.08,2.23,36.67,41.94,51.45,1.19,1.15,26,2,3,Ecuador Serie A,3
Renny Jaramillo,0.04,43.75,0.71,0.0,2.07,1.39,1.14,0.11,0.11,29.39,78.13,5.04,39.02,34.09,41.47,0.36,1.39,28,2,3,Ecuador Serie A,3
Janner Corozo,0.15,26.67,1.26,0.0,1.15,0.22,0.3,0.11,0.11,14.81,66.5,3.93,39.29,53.06,47.81,1.48,1.07,27,2,3,Ecuador Serie A,3
Carlos Arboleda,0.08,57.89,1.12,0.0,0.65,0.46,0.35,0.08,0.12,17.65,67.32,4.15,40.22,33.33,40.8,0.62,1.38,26,3,3,Ecuador Serie A,3
Richard Calderón,0.12,41.67,1.76,0.21,0.64,0.44,0.56,0.0,0.08,20.4,77.65,4.88,67.71,70.0,53.27,0.88,0.64,25,2,3,Ecuador Serie A,3
Eddy Mejía,0.0,80.0,0.67,0.0,0.5,0.17,0.08,0.25,0.25,8.0,69.79,2.33,46.15,20.0,51.22,0.42,0.5,12,1,3,Ecuador Serie A,3
Diego Armas,0.09,44.44,1.55,0.0,0.18,0.09,0.09,0.09,0.09,13.82,79.61,4.55,36.36,37.5,43.33,0.36,0.27,11,3,3,Ecuador Serie A,3
Jean Carlos Montaño,0.0,60.87,0.0,0.0,1.64,0.64,0.5,0.0,0.0,35.0,90.41,2.71,69.23,88.89,60.75,1.43,1.07,14,1,3,Ecuador Serie A,3
Steven Tapiero,0.13,45.45,1.13,0.0,1.42,0.96,0.71,0.08,0.0,26.29,78.76,4.0,56.04,42.42,47.83,1.46,1.88,24,3,3,Ecuador Serie A,3
José Alberti,0.0,50.0,0.55,0.0,0.91,0.45,0.45,0.09,0.09,27.27,80.33,6.18,50.0,62.5,50.0,0.73,0.73,11,2,3,Ecuador Serie A,3
Madison Julio,0.05,66.67,0.76,0.0,1.19,0.76,0.48,0.0,0.05,19.1,69.08,4.71,54.17,50.0,50.39,0.67,1.1,21,2,3,Ecuador Serie A,3
Edison Vega,0.0,50.0,0.44,0.0,0.72,0.88,0.16,0.08,0.04,27.12,83.92,4.4,62.86,36.84,56.25,1.28,0.68,25,3,3,Ecuador Serie A,3
Cristian Penilla,0.06,46.67,1.11,0.0,0.17,0.11,0.0,0.06,0.06,5.89,77.36,2.44,60.0,0.0,38.3,0.44,0.39,18,3,3,Ecuador Serie A,3
