Name,Interceptions,Penalty committed,Errors lead to goal,Dribbled past,Total passes,Accurate passes %,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Aerial duels won %,Total duels won %,Appearances,Age Range,Position,League,Level
Brian Heras,0.0,0.0,0.0,0.0,23.71,54.52,43.08,4.21,0.5,0.21,0.0,0.57,0.14,66.67,85.71,14,2,1,Ecuador Serie A,3
Alexander Domínguez,0.0,0.0,0.0,0.0,23.0,77.13,53.85,3.41,0.52,0.15,0.07,0.52,0.07,100.0,100.0,27,3,1,Ecuador Serie A,3
Rafael Romo,0.0,0.0,0.0,0.09,24.65,74.6,43.93,4.04,0.43,0.13,0.0,1.09,0.04,75.0,75.0,23,3,1,Ecuador Serie A,3
Hernán Galíndez,0.0,0.0,0.0,0.04,24.91,57.59,35.85,4.04,0.43,0.13,0.0,1.0,0.17,50.0,60.0,23,3,1,Ecuador Serie A,3
Pedro Ortiz,0.0,0.0,0.0,0.03,21.0,68.89,41.46,3.37,0.47,0.27,0.03,0.8,0.13,100.0,85.71,30,3,1,Ecuador Serie A,3
Leodan Chalá,0.08,0.0,0.08,0.0,27.25,42.51,34.88,3.92,0.17,0.33,0.08,1.33,0.17,50.0,85.71,12,2,1,Ecuador Serie A,3
Javier Burrai,0.0,0.0,0.0,0.0,25.0,76.0,49.6,2.91,0.36,0.14,0.0,0.95,0.05,100.0,100.0,22,3,1,Ecuador Serie A,3
Hamilton Piedra,0.0,0.0,0.0,0.04,24.61,58.06,40.54,3.29,0.36,0.21,0.04,0.89,0.29,100.0,85.71,28,2,1,Ecuador Serie A,3
Gonzalo Valle,0.07,0.04,0.0,0.0,32.11,78.64,47.4,3.5,0.21,0.29,0.04,1.39,0.11,60.0,72.73,28,2,1,Ecuador Serie A,3
Leonel Nazareno,0.04,0.0,0.0,0.04,25.85,55.21,38.04,3.0,0.23,0.12,0.04,1.08,0.15,88.89,90.0,26,2,1,Ecuador Serie A,3
Moisés Ramírez,0.0,0.04,0.0,0.04,30.91,84.67,48.65,1.78,0.43,0.22,0.0,0.78,0.04,100.0,83.33,23,1,1,Ecuador Serie A,3
Dennis Corozo,0.0,0.0,0.0,0.0,17.38,55.31,42.44,2.62,0.46,0.15,0.0,1.23,0.08,50.0,66.67,13,3,1,Ecuador Serie A,3
Rolando David Silva,0.0,0.03,0.03,0.0,27.8,70.86,48.21,2.43,0.3,0.27,0.0,0.9,0.3,100.0,95.0,30,2,1,Ecuador Serie A,3
Walter Hinostroza,0.0,0.04,0.0,0.08,27.16,57.88,40.97,3.44,0.16,0.32,0.04,1.64,0.16,100.0,71.43,25,3,1,Ecuador Serie A,3
David Cabezas,0.0,0.22,0.0,0.17,21.33,47.92,40.98,2.5,0.22,0.5,0.06,1.39,0.06,71.43,64.0,18,2,1,Ecuador Serie A,3
Jorge Pinos,0.0,0.0,0.05,0.0,25.5,66.67,43.96,3.0,0.27,0.27,0.0,1.23,0.18,50.0,62.5,22,3,1,Ecuador Serie A,3
Walter Chavez,0.0,0.07,0.0,0.04,25.11,58.32,38.41,2.32,0.32,0.29,0.0,0.89,0.11,57.14,60.0,28,2,1,Ecuador Serie A,3
José Luis Angulo,0.0,0.13,0.0,0.0,22.81,54.79,33.04,2.94,0.19,0.25,0.0,1.38,0.19,75.0,70.0,16,2,1,Ecuador Serie A,3
Đorđe Petrović,0.0,0.0,0.05,0.05,25.33,63.53,28.89,4.05,0.33,0.57,0.19,1.14,0.14,100.0,87.5,21,1,1,EEUU MLS,4
Andre Blake,0.03,0.0,0.0,0.05,24.11,59.53,38.28,3.05,0.43,0.14,0.03,0.68,0.14,88.89,80.0,37,3,1,EEUU MLS,4
Brad Stuver,0.0,0.03,0.06,0.0,32.71,73.2,39.2,3.32,0.24,0.24,0.06,1.35,0.06,100.0,89.47,34,3,1,EEUU MLS,4
Dayne St. Clair,0.0,0.0,0.09,0.06,23.58,57.97,33.81,3.55,0.15,0.15,0.06,1.21,0.27,81.82,77.78,33,2,1,EEUU MLS,4
Eloy Room,0.0,0.03,0.03,0.03,22.85,63.19,34.03,3.09,0.26,0.12,0.0,1.03,0.18,100.0,85.71,34,3,1,EEUU MLS,4
Maarten Paes,0.0,0.03,0.0,0.0,25.91,65.15,29.98,2.85,0.24,0.18,0.06,0.88,0.21,100.0,90.0,34,2,1,EEUU MLS,4
Aljaž Ivačič,0.0,0.0,0.0,0.03,23.22,59.22,33.56,3.5,0.19,0.06,0.03,1.28,0.28,90.0,83.33,32,2,1,EEUU MLS,4
Sean Johnson,0.0,0.0,0.05,0.0,33.46,74.64,37.55,2.59,0.41,0.03,0.0,1.05,0.16,71.43,80.0,37,3,1,EEUU MLS,4
Steve Clark,0.0,0.06,0.0,0.06,31.36,75.75,44.29,3.18,0.18,0.24,0.03,1.39,0.06,90.91,70.0,33,3,1,EEUU MLS,4
James Pantemis,0.0,0.08,0.0,0.0,20.77,81.11,41.67,2.08,0.38,0.15,0.0,1.08,0.08,100.0,88.89,13,2,1,EEUU MLS,4
Joe Willis,0.06,0.03,0.09,0.0,24.52,65.02,44.82,3.09,0.27,0.24,0.06,1.0,0.18,100.0,90.91,33,3,1,EEUU MLS,4
Zac MacMath,0.03,0.03,0.14,0.03,32.14,51.64,35.36,3.17,0.29,0.29,0.09,1.2,0.14,87.5,81.25,35,3,1,EEUU MLS,4
Roman Celentano,0.03,0.03,0.0,0.07,21.52,51.92,35.36,3.31,0.17,0.24,0.07,1.21,0.31,100.0,66.67,29,1,1,EEUU MLS,4
Stefan Frei,0.0,0.0,0.04,0.04,28.22,74.02,50.4,3.15,0.19,0.26,0.04,1.19,0.22,100.0,75.0,27,3,1,EEUU MLS,4
Drake Callender,0.0,0.0,0.08,0.08,27.16,65.39,37.19,3.36,0.16,0.12,0.0,1.44,0.16,80.0,66.67,25,2,1,EEUU MLS,4
Gabriel Słonina,0.03,0.0,0.09,0.03,24.81,64.48,44.69,2.56,0.38,0.16,0.0,1.25,0.16,85.71,83.33,32,1,1,EEUU MLS,4
Kristijan Kahlina,0.06,0.03,0.1,0.03,33.97,70.94,41.5,3.16,0.23,0.13,0.0,1.29,0.26,90.91,82.35,31,3,1,EEUU MLS,4
Alex Bono,0.04,0.04,0.04,0.0,29.5,60.45,28.27,3.58,0.13,0.08,0.0,1.42,0.33,90.0,82.35,24,2,1,EEUU MLS,4
Maxime Crépeau,0.06,0.0,0.03,0.0,24.31,66.29,41.48,2.19,0.28,0.06,0.0,0.94,0.17,90.91,87.5,36,2,1,EEUU MLS,4
Thomas Hasal,0.06,0.0,0.0,0.0,17.76,52.98,35.32,2.88,0.24,0.18,0.12,1.29,0.29,66.67,77.78,17,1,1,EEUU MLS,4
William Yarbrough,0.03,0.06,0.03,0.06,23.85,71.39,42.49,3.0,0.26,0.29,0.03,1.38,0.21,100.0,73.33,34,3,1,EEUU MLS,4
Jonathan Bond,0.0,0.03,0.08,0.14,29.94,73.56,41.63,2.72,0.22,0.19,0.03,1.33,0.17,100.0,72.73,36,2,1,EEUU MLS,4
James Marcinkowski,0.03,0.0,0.03,0.12,26.0,68.41,40.13,3.39,0.12,0.18,0.0,1.64,0.36,88.89,75.0,33,2,1,EEUU MLS,4
Carlos Coronel,0.0,0.0,0.03,0.09,24.32,46.8,28.71,2.26,0.24,0.06,0.0,1.03,0.18,100.0,85.0,34,2,1,EEUU MLS,4
John Pulskamp,0.0,0.08,0.08,0.0,22.17,70.68,37.6,2.75,0.25,0.25,0.08,1.33,0.17,66.67,71.43,12,1,1,EEUU MLS,4
Pedro Gallese,0.0,0.0,0.03,0.03,21.27,74.79,46.93,2.39,0.27,0.15,0.0,1.24,0.24,100.0,83.33,33,3,1,EEUU MLS,4
Rafael Romo,0.0,0.0,0.0,0.36,36.43,69.8,38.43,3.5,0.07,0.29,0.07,2.07,0.29,100.0,45.45,14,3,1,EEUU MLS,4
Rocco Rios Novo,0.0,0.0,0.0,0.0,32.56,86.95,58.67,2.5,0.13,0.06,0.0,1.38,0.31,33.33,60.0,16,1,1,EEUU MLS,4
Sebastian Breza,0.09,0.04,0.04,0.0,21.91,76.59,45.36,2.22,0.13,0.22,0.0,1.35,0.3,85.71,81.82,23,2,1,EEUU MLS,4
Cody Cropper,0.0,0.07,0.0,0.07,17.47,62.98,41.1,1.87,0.27,0.2,0.0,1.4,0.2,75.0,57.14,15,2,1,EEUU MLS,4
Timothy Melia,0.05,0.0,0.05,0.05,25.33,68.8,39.26,2.14,0.19,0.14,0.05,1.52,0.1,100.0,75.0,21,3,1,EEUU MLS,4
Kelle Roos,0.0,0.03,0.0,0.06,32.55,53.32,28.83,3.39,0.42,0.29,0.06,1.13,0.16,100.0,82.35,31,3,1,Escocia Premiership,3
Craig Gordon,0.06,0.06,0.06,0.0,27.25,54.59,29.15,3.69,0.06,0.19,0.06,1.44,0.19,100.0,81.82,16,3,1,Escocia Premiership,3
Sam Walker,0.0,0.0,0.0,0.0,28.46,38.27,34.58,3.36,0.21,0.18,0.04,1.36,0.18,100.0,100.0,28,3,1,Escocia Premiership,3
Mark Birighitti,0.0,0.04,0.08,0.0,26.96,44.37,33.73,3.54,0.15,0.15,0.0,1.42,0.15,100.0,90.91,26,3,1,Escocia Premiership,3
Ross Laidlaw,0.0,0.0,0.0,0.03,27.82,45.98,37.7,3.29,0.24,0.18,0.0,1.26,0.32,100.0,95.45,38,3,1,Escocia Premiership,3
Zander Clark,0.0,0.05,0.0,0.05,25.0,53.71,29.2,2.71,0.24,0.19,0.0,1.14,0.14,100.0,80.0,21,3,1,Escocia Premiership,3
Liam Kelly,0.0,0.03,0.0,0.0,31.0,46.01,32.87,2.61,0.29,0.13,0.03,1.21,0.13,75.0,80.0,38,2,1,Escocia Premiership,3
Joe Hart,0.0,0.0,0.0,0.05,25.46,89.7,45.88,1.49,0.43,0.19,0.0,0.73,0.08,85.71,72.73,37,3,1,Escocia Premiership,3
Trevor Carson,0.05,0.0,0.0,0.0,29.49,38.13,33.76,2.57,0.27,0.32,0.03,1.35,0.22,83.33,90.0,37,3,1,Escocia Premiership,3
David Marshall,0.03,0.05,0.05,0.0,28.13,65.67,42.33,2.21,0.29,0.32,0.05,1.39,0.16,66.67,73.33,38,3,1,Escocia Premiership,3
Allan McGregor,0.04,0.0,0.0,0.08,21.83,83.78,44.81,1.46,0.33,0.0,0.0,0.88,0.21,83.33,72.73,24,3,1,Escocia Premiership,3
Shamal George,0.0,0.0,0.0,0.03,31.31,44.11,35.12,2.34,0.22,0.28,0.03,1.28,0.19,100.0,86.67,32,2,1,Escocia Premiership,3
Remi Matthews,0.0,0.0,0.03,0.06,27.68,41.76,29.88,2.65,0.18,0.12,0.0,1.24,0.35,85.71,78.57,34,2,1,Escocia Premiership,3
José Antonio Caro,0.0,0.0,0.05,0.05,32.22,55.03,40.67,3.0,0.46,0.12,0.05,0.61,0.1,92.31,88.46,41,2,1,España La Liga 2,2
Dani Cárdenas,0.03,0.0,0.0,0.0,27.88,70.89,43.93,2.56,0.5,0.06,0.06,0.56,0.12,100.0,100.0,34,2,1,España La Liga 2,2
Nicolas Ratti,0.0,0.0,0.05,0.0,48.55,89.08,53.65,2.45,0.45,0.15,0.0,0.75,0.05,50.0,71.43,20,2,1,España La Liga 2,2
