Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
José Quintero,0.22,0.04,1.22,0.83,0.0,1.61,0.0,0.35,0.22,0.2943,0.774,0.0067,0.5472,0.43,0.84,0.6308,1.0,23.0,3.0,2.0,Ecuador Serie A,3.0
Richard Schunke,0.0,0.0,0.86,1.14,0.0,3.21,0.0,0.29,0.36,0.6406999999999999,0.8584,0.00643,0.5823,0.79,0.5,0.5573999999999999,0.71,14.0,3.0,2.0,Ecuador Serie A,3.0
Ricardo Adé,0.0,0.0,1.11,1.29,0.11,3.29,0.0,0.29,0.07,0.4407,0.8614000000000002,0.0028199999999999996,0.5297,0.5,0.6786,0.6415000000000001,0.68,28.0,3.0,2.0,Ecuador Serie A,3.0
Bruno Duarte,0.07,0.07,1.07,2.86,0.0,5.0,0.0,0.07,0.07,0.3214,0.7622,0.00107,0.41050000000000003,1.07,0.75,0.6774,1.0,14.0,2.0,2.0,Ecuador Serie A,3.0
Agustín García Basso,0.07,0.0,0.67,0.74,0.04,1.52,0.0,0.15,0.0,0.7051999999999999,0.8965000000000001,0.01111,0.6949,0.81,0.575,0.5392,0.7,27.0,3.0,2.0,Ecuador Serie A,3.0
Anthony Landázuri,0.04,0.04,0.96,0.91,0.0,1.48,0.0,0.22,0.26,0.5283000000000001,0.8337,0.011960000000000002,0.5304000000000001,0.65,0.5832999999999999,0.5076999999999999,1.43,23.0,2.0,2.0,Ecuador Serie A,3.0
Luis Fernando León,0.0,0.0,0.88,0.64,0.0,3.92,0.0,0.32,0.04,0.4624000000000001,0.8528999999999999,0.00368,0.5838,0.64,0.6709,0.5714,1.2,25.0,2.0,2.0,Ecuador Serie A,3.0
Luis Cangá,0.04,0.0,1.46,0.5,0.0,4.54,0.0,0.58,0.08,0.3565,0.8231,0.00319,0.5779,0.96,0.7091,0.5455,1.58,26.0,2.0,2.0,Ecuador Serie A,3.0
Fausto Grillo,0.0,0.0,1.0,0.5,0.0,3.29,0.0,0.57,0.0,0.4864,0.8545999999999999,0.0051400000000000005,0.6,0.64,0.6326999999999999,0.5926,0.93,14.0,2.0,2.0,Ecuador Serie A,3.0
Teodoro Paredes,0.11,0.0,1.96,1.48,0.04,5.26,0.0,0.52,0.0,0.30560000000000004,0.7067,0.0025900000000000003,0.36619999999999997,1.04,0.5897,0.6173000000000001,0.85,27.0,2.0,2.0,Ecuador Serie A,3.0
Facundo Rodríguez,0.04,0.0,0.88,0.92,0.0,2.54,0.0,0.15,0.08,0.43920000000000003,0.8432999999999999,0.00362,0.48450000000000004,0.5,0.6457999999999999,0.6378,0.92,26.0,1.0,2.0,Ecuador Serie A,3.0
Daykol Romero,0.0,0.0,1.87,0.8,0.0,1.87,0.0,0.8,0.07,0.4147,0.8617000000000001,0.0098,0.6429,0.33,0.5217,0.5135,0.8,15.0,1.0,2.0,Ecuador Serie A,3.0
Carlos Rolón,0.0,0.0,1.0,0.75,0.0,3.92,0.0,0.25,0.0,0.25920000000000004,0.7748999999999999,0.001669999999999999,0.5082,0.67,0.7714,0.6923,0.5,12.0,3.0,2.0,Ecuador Serie A,3.0
