Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Interceptions,Big chances created,Assists,Accurate passes %,Aerial duels won %,Total duels won %,Was fouled,Appearances,Age Range,Position,League,Level
Ronie Carrillo,0.6,0.27,53.33,4.0,0.0,0.0,0.13,0.2,0.27,67.22,43.88,41.95,1.13,15.0,2.0,4.0,Ecuador Serie A,3.0
Michael Hoyos,0.5,0.17,30.77,2.79,0.17,0.0,0.25,0.25,0.17,79.12,54.05,44.83,1.38,24.0,3.0,4.0,Ecuador Serie A,3.0
Jean Carlos Blanco,0.65,0.25,63.64,2.0,0.25,0.0,0.1,0.05,0.1,71.9,41.77,40.54,0.65,20.0,3.0,4.0,Ecuador Serie A,3.0
Junior Sornoza,0.12,0.19,50.0,2.0,0.0,0.0,0.12,0.12,0.12,85.36,23.08,47.87,0.77,26.0,2.0,4.0,Ecuador Serie A,3.0
Jeison Medina,0.53,0.13,33.33,1.67,0.2,0.0,0.07,0.13,0.2,79.57,42.31,44.3,1.2,15.0,2.0,4.0,Ecuador Serie A,3.0
Hancel Batalla,0.27,0.0,40.48,1.5,0.0,1.3,0.41,0.41,0.32,76.2,57.78,50.26,1.77,22.0,2.0,4.0,Ecuador Serie A,3.0
Ismael Díaz,0.4,0.5,59.21,2.85,0.05,0.0,0.4,0.05,0.05,86.8,53.85,50.32,0.9,20.0,2.0,4.0,Ecuador Serie A,3.0
Byron Palacios,0.27,0.15,67.57,1.62,0.04,0.0,0.19,0.23,0.15,60.0,46.85,48.26,1.04,26.0,2.0,4.0,Ecuador Serie A,3.0
Miller Bolaños,0.53,0.4,33.33,2.27,0.0,0.0,0.2,0.27,0.27,84.41,20.0,40.23,1.53,15.0,3.0,4.0,Ecuador Serie A,3.0
Andrés Parrales,0.62,0.15,41.18,2.38,0.15,0.77,0.04,0.04,0.0,81.58,42.31,44.89,1.65,26.0,2.0,4.0,Ecuador Serie A,3.0
Francisco Fydriszewski,0.44,0.07,61.54,2.3,0.04,0.0,0.26,0.11,0.11,66.51,46.55,41.98,0.93,27.0,2.0,4.0,Ecuador Serie A,3.0
Jaime Ayoví,0.36,0.07,36.84,2.29,0.0,0.0,0.07,0.21,0.0,64.58,37.93,32.59,0.79,14.0,3.0,4.0,Ecuador Serie A,3.0
Facundo Castelli,0.33,0.25,20.0,3.0,0.08,0.0,0.08,0.0,0.08,60.93,41.79,44.44,2.5,12.0,2.0,4.0,Ecuador Serie A,3.0
Alexander Bolaños,0.29,0.17,48.89,2.04,0.04,0.0,0.25,0.08,0.04,70.21,47.27,50.88,1.88,24.0,1.0,4.0,Ecuador Serie A,3.0
Raúl Becerra,0.36,0.21,57.14,2.0,0.14,0.0,0.14,0.07,0.07,75.97,41.3,43.55,1.04,28.0,3.0,4.0,Ecuador Serie A,3.0
Arón Rodríguez,0.18,0.18,38.6,2.43,0.0,0.0,0.5,0.21,0.14,75.96,36.67,46.4,1.82,28.0,1.0,4.0,Ecuador Serie A,3.0
Luis Estupiñan,0.11,0.0,35.0,1.04,0.0,0.0,0.15,0.15,0.07,70.78,24.44,42.38,1.48,27.0,1.0,4.0,Ecuador Serie A,3.0
Alejandro Cabeza,0.2,0.13,55.56,1.4,0.0,0.0,0.2,0.07,0.07,76.05,37.93,33.83,1.0,15.0,2.0,4.0,Ecuador Serie A,3.0
Paolo Guerrero,0.38,0.15,42.86,1.77,0.0,0.0,0.0,0.0,0.0,80.0,48.28,36.92,0.38,13.0,3.0,4.0,Ecuador Serie A,3.0
Jose Enrique Angulo,0.23,0.18,42.31,2.0,0.0,0.0,0.09,0.14,0.09,76.72,27.27,33.6,0.55,22.0,2.0,4.0,Ecuador Serie A,3.0
Diego Ledesma,0.27,0.12,27.27,1.46,0.15,0.0,0.08,0.04,0.04,72.6,27.66,37.96,1.19,26.0,2.0,4.0,Ecuador Serie A,3.0
Sergio Gonzalez,0.2,0.2,50.0,1.9,0.07,0.0,0.17,0.17,0.1,71.78,46.97,46.4,1.23,30.0,2.0,4.0,Ecuador Serie A,3.0
Jhon Cifuente,0.39,0.14,40.0,1.57,0.0,0.0,0.0,0.14,0.07,69.65,43.75,27.27,0.21,28.0,3.0,4.0,Ecuador Serie A,3.0
Alexis Rodríguez,0.17,0.23,44.0,1.63,0.0,0.0,0.2,0.13,0.17,73.56,29.82,42.46,0.97,30.0,2.0,4.0,Ecuador Serie A,3.0
Juan Anangonó,0.27,0.09,66.67,1.27,0.0,0.0,0.0,0.18,0.0,69.57,29.63,36.96,0.64,11.0,3.0,4.0,Ecuador Serie A,3.0
Angel Quiñonez,0.29,0.12,50.0,1.53,0.0,0.0,0.06,0.0,0.0,66.9,40.35,37.63,0.29,17.0,2.0,4.0,Ecuador Serie A,3.0
Kevin Rodriguez,0.25,0.06,51.43,2.06,0.0,0.0,0.0,0.06,0.0,81.82,57.14,47.01,1.5,16.0,1.0,4.0,Ecuador Serie A,3.0
Anderson Naula,0.1,0.1,40.91,1.03,0.03,0.0,0.53,0.0,0.03,74.28,39.71,51.69,2.37,30.0,2.0,4.0,Ecuador Serie A,3.0
Vinicio Angulo,0.12,0.06,60.0,1.18,0.0,0.0,0.06,0.0,0.0,68.98,52.31,49.06,0.59,17.0,3.0,4.0,Ecuador Serie A,3.0
Cristian Colmán,0.15,0.23,28.57,1.92,0.08,0.0,0.15,0.0,0.0,68.09,53.57,46.75,0.69,13.0,2.0,4.0,Ecuador Serie A,3.0
Daniel Porozo,0.19,0.11,65.0,2.07,0.0,0.0,0.15,0.04,0.07,62.7,36.36,40.98,0.96,27.0,2.0,4.0,Ecuador Serie A,3.0
Lautaro Díaz,0.17,0.0,41.67,1.74,0.09,0.0,0.04,0.09,0.0,70.42,25.81,37.07,0.74,23.0,2.0,4.0,Ecuador Serie A,3.0
Bryan Rodriguez,0.08,0.0,55.56,0.67,0.08,0.0,0.17,0.08,0.0,82.14,0.0,43.75,0.83,12.0,3.0,4.0,Ecuador Serie A,3.0
Renny Sinisterra,0.25,0.0,40.91,1.11,0.07,0.0,0.29,0.04,0.04,66.91,61.54,42.48,0.79,28.0,2.0,4.0,Ecuador Serie A,3.0
Agustin Maziero,0.2,0.13,40.74,1.7,0.07,0.0,0.1,0.03,0.07,68.25,36.69,36.92,0.63,30.0,2.0,4.0,Ecuador Serie A,3.0
Jefferson Caicedo,0.16,0.05,50.0,0.74,0.0,0.0,0.42,0.05,0.05,65.79,38.89,53.19,1.37,19.0,2.0,4.0,Ecuador Serie A,3.0
Wilter Ayovi,0.07,0.14,73.33,1.57,0.0,0.0,0.14,0.0,0.0,69.54,30.77,51.95,1.29,14.0,2.0,4.0,Ecuador Serie A,3.0
Marcelo Moreno,0.2,0.25,75.0,1.8,0.1,0.0,0.2,0.1,0.0,77.52,33.33,34.43,0.2,20.0,3.0,4.0,Ecuador Serie A,3.0
Yilmar Filigrana,0.0,0.07,55.56,1.21,0.0,0.0,0.0,0.29,0.07,64.66,43.24,41.79,0.36,14.0,3.0,4.0,Ecuador Serie A,3.0
Enzo López,0.15,0.12,100.0,0.88,0.0,0.0,0.15,0.0,0.04,65.95,41.3,39.29,0.27,26.0,2.0,4.0,Ecuador Serie A,3.0
Diego Hurtado,0.07,0.07,100.0,0.36,0.07,0.0,0.0,0.0,0.0,76.74,46.67,56.67,0.43,14.0,2.0,4.0,Ecuador Serie A,3.0
