Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Joaquín Vergés,0.37,4.359,2.83,0.051000000000000004,1.53,0.6,0.43,0.17,0.17,2.717,7.215000000000001,0.637,4.6899999999999995,3.7039999999999997,5.0,1.03,1.0,30.0,3.0,3.0,Ecuador Serie A,3.0
Mauro Díaz,0.29,6.8420000000000005,1.29,0.0,0.86,0.57,0.48,0.43,0.14,3.7049999999999996,8.379999999999999,1.205,6.8,5.0,6.226,2.38,0.95,21.0,3.0,3.0,Ecuador Serie A,3.0
Alexander Alvarado,0.32,5.61,1.9,0.027000000000000003,0.9,0.19,0.19,0.1,0.16,3.129,8.546,1.287,7.962999999999999,6.0,5.213,1.23,1.1,31.0,1.0,3.0,Ecuador Serie A,3.0
Rómulo Otero,0.08,6.25,2.12,0.016,0.72,0.16,0.32,0.2,0.12,2.144,8.395999999999999,0.696,7.253,5.333,6.579000000000001,3.36,0.56,25.0,3.0,3.0,Ecuador Serie A,3.0
Sergio López,0.27,4.762,3.13,0.095,0.47,0.27,0.33,0.13,0.07,3.353,7.575,0.993,5.517,3.75,4.6530000000000005,1.2,0.8,15.0,3.0,3.0,Ecuador Serie A,3.0
Damián Díaz,0.42,5.0,1.54,0.0,0.63,0.38,0.38,0.25,0.25,3.0,7.708,0.9789999999999999,6.364,3.3329999999999997,4.918,1.13,0.42,24.0,3.0,3.0,Ecuador Serie A,3.0
Facundo Martinez,0.04,5.862,0.96,0.0,1.68,0.71,0.54,0.07,0.14,6.186,8.678,1.579,7.026000000000001,6.176,5.475,1.29,1.43,28.0,3.0,3.0,Ecuador Serie A,3.0
Lucas Mancinelli,0.12,4.167,1.96,0.0,0.46,0.23,0.65,0.38,0.31,2.446,7.579000000000001,0.642,5.476,1.739,4.884,2.04,0.69,26.0,3.0,3.0,Ecuador Serie A,3.0
Braian Oyola,0.27,6.5,1.43,0.0,0.73,0.27,0.47,0.23,0.13,2.503,6.711,0.837,4.588,1.0,5.470000000000001,1.77,1.03,30.0,2.0,3.0,Ecuador Serie A,3.0
Nicolás Rinaldi,0.04,3.529,1.07,0.0,1.96,1.0,1.0,0.15,0.07,3.193,8.584999999999999,0.6559999999999999,7.17,5.238,5.388,1.78,1.74,27.0,2.0,3.0,Ecuador Serie A,3.0
Renato Ibarra,0.12,5.0,1.85,0.0,0.88,0.19,0.35,0.12,0.15,2.2809999999999997,8.229000000000001,0.931,5.714,4.167,5.667,1.65,0.54,26.0,3.0,3.0,Ecuador Serie A,3.0
José Cevallos,0.12,6.364,1.24,0.0,0.88,0.36,0.44,0.16,0.12,3.524,8.501999999999999,0.9039999999999999,6.882,5.0,5.054,0.52,0.64,25.0,2.0,3.0,Ecuador Serie A,3.0
Jefferson Valverde,0.0,6.667,1.94,0.0,1.94,1.44,0.72,0.17,0.0,3.65,7.991,0.8779999999999999,4.898,4.4,4.8229999999999995,0.56,1.78,18.0,1.0,3.0,Ecuador Serie A,3.0
Yerson Candelo,0.07,6.667,0.6,0.0,1.13,0.47,0.4,0.07,0.13,3.707,7.572,0.7070000000000001,5.682,5.556,5.152,0.27,0.53,15.0,3.0,3.0,Ecuador Serie A,3.0
Diego García,0.04,5.439,1.5,0.0,1.5,0.81,0.85,0.19,0.04,2.854,7.439,0.8230000000000001,5.495,4.231,5.364,1.42,0.88,26.0,2.0,3.0,Ecuador Serie A,3.0
Bagner Delgado,0.12,5.714,0.82,0.0,1.0,0.47,0.35,0.29,0.12,2.259,7.526000000000001,0.835,7.429,1.6670000000000003,4.586,1.47,0.71,17.0,2.0,3.0,Ecuador Serie A,3.0
Kevin Minda,0.11,8.181999999999999,1.15,0.0,0.78,1.19,0.37,0.04,0.04,4.752000000000001,8.753,0.893,6.714,5.333,5.299,0.59,0.85,27.0,2.0,3.0,Ecuador Serie A,3.0
Kendry Páez,0.21,5.758,1.75,0.10400000000000001,0.5,0.21,0.29,0.08,0.04,2.367,8.081,0.9,6.615,1.111,4.352,0.63,0.79,24.0,1.0,3.0,Ecuador Serie A,3.0
Jordy Alcivar,0.12,5.0,1.0,0.0,0.64,0.44,0.12,0.0,0.12,4.215999999999999,8.966,0.9199999999999999,6.882,5.2170000000000005,5.299,1.0,0.76,25.0,1.0,3.0,Ecuador Serie A,3.0
Samuel Sosa,0.12,5.1850000000000005,1.82,0.0,0.82,0.24,0.24,0.18,0.18,1.9,7.864,0.5820000000000001,4.828,4.375,4.8,1.47,1.76,17.0,1.0,3.0,Ecuador Serie A,3.0
Maicon Solís,0.25,4.262,1.64,0.0,1.04,0.39,0.21,0.25,0.18,2.2359999999999998,7.156999999999999,0.736,4.247,3.947,4.14,0.68,1.14,28.0,2.0,3.0,Ecuador Serie A,3.0
Luis Cano,0.17,4.167,0.67,0.0,0.58,0.5,0.29,0.17,0.29,1.842,7.986,0.513,5.0,3.5,5.182,1.67,0.63,24.0,1.0,3.0,Ecuador Serie A,3.0
Óscar Zambrano,0.0,5.714,0.75,0.0,1.17,0.83,0.63,0.04,0.0,4.083,9.112,0.954,8.176,4.0,4.836,0.63,1.0,24.0,1.0,3.0,Ecuador Serie A,3.0
