Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
José Quintero,0.22,0.04,1.22,0.83,0.0,1.61,0.0,0.35,0.22,29.43,77.4,6.7,54.72,0.43,84.0,63.08,1.0,23.0,3.0,2.0,Ecuador Serie A,3.0
Richard Schunke,0.0,0.0,0.86,1.14,0.0,3.21,0.0,0.29,0.36,64.07,85.84,6.43,58.23,0.79,50.0,55.74,0.71,14.0,3.0,2.0,Ecuador Serie A,3.0
Ricardo Adé,0.0,0.0,1.11,1.29,0.11,3.29,0.0,0.29,0.07,44.07,86.14,2.82,52.97,0.5,67.86,64.15,0.68,28.0,3.0,2.0,Ecuador Serie A,3.0
Bruno Duarte,0.07,0.07,1.07,2.86,0.0,5.0,0.0,0.07,0.07,32.14,76.22,1.07,41.05,1.07,75.0,67.74,1.0,14.0,2.0,2.0,Ecuador Serie A,3.0
Agustín García Basso,0.07,0.0,0.67,0.74,0.04,1.52,0.0,0.15,0.0,70.52,89.65,11.11,69.49,0.81,57.5,53.92,0.7,27.0,3.0,2.0,Ecuador Serie A,3.0
Anthony Landázuri,0.04,0.04,0.96,0.91,0.0,1.48,0.0,0.22,0.26,52.83,83.37,11.96,53.04,0.65,58.33,50.77,1.43,23.0,2.0,2.0,Ecuador Serie A,3.0
Luis Fernando León,0.0,0.0,0.88,0.64,0.0,3.92,0.0,0.32,0.04,46.24,85.29,3.68,58.38,0.64,67.09,57.14,1.2,25.0,2.0,2.0,Ecuador Serie A,3.0
Luis Cangá,0.04,0.0,1.46,0.5,0.0,4.54,0.0,0.58,0.08,35.65,82.31,3.19,57.79,0.96,70.91,54.55,1.58,26.0,2.0,2.0,Ecuador Serie A,3.0
Fausto Grillo,0.0,0.0,1.0,0.5,0.0,3.29,0.0,0.57,0.0,48.64,85.46,5.14,60.0,0.64,63.27,59.26,0.93,14.0,2.0,2.0,Ecuador Serie A,3.0
Teodoro Paredes,0.11,0.0,1.96,1.48,0.04,5.26,0.0,0.52,0.0,30.56,70.67,2.59,36.62,1.04,58.97,61.73,0.85,27.0,2.0,2.0,Ecuador Serie A,3.0
