Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Lucas Zelarayán,0.34,0.03,55.48,2.93,0.0,0.31,1.07,0.52,0.0,0.03,0.0,0.52,0.41,0.24,39.66,78.87,16.83,66.19,0.0,0.14,0.0,0.0,1.0,0.14,0.1,0.0,33.33,52.65,2.69,0.83,29,3,4,EEUU MLS,4
Carles Gil,0.21,0.24,60.42,2.09,0.0,0.0,0.52,0.27,0.0,0.12,0.0,0.73,0.48,0.27,61.15,82.46,21.48,65.18,0.0,0.27,0.0,0.0,1.27,0.18,0.09,0.0,28.57,60.63,2.67,0.33,33,3,3,EEUU MLS,4
Hany Mukhtar,0.68,0.41,41.18,3.74,0.09,0.18,0.41,0.18,0.0,0.12,0.0,0.59,0.26,0.21,27.38,79.48,8.74,56.86,0.0,0.15,0.0,0.0,0.94,0.21,0.12,0.0,36.36,43.21,2.15,0.68,34,2,4,EEUU MLS,4
Lorenzo Insigne,0.55,0.45,46.15,4.45,0.0,0.0,0.82,0.82,0.0,0.0,0.0,0.45,0.45,0.18,53.0,80.96,18.0,71.93,0.0,0.09,0.0,0.0,1.18,0.45,0.09,0.0,50.0,46.34,0.91,0.45,11,3,4,EEUU MLS,4
Federico Bernardeschi,0.62,0.15,48.28,3.08,0.0,0.0,1.0,0.0,0.0,0.15,0.0,0.85,0.31,0.15,27.69,72.5,11.23,60.47,0.0,0.08,0.0,0.0,1.62,0.46,0.38,0.0,33.33,44.76,1.54,0.92,13,2,4,EEUU MLS,4
Cucho Hernández,0.56,0.19,50.0,5.5,0.19,0.0,0.75,0.06,0.0,0.31,0.0,0.44,0.06,0.13,29.75,72.06,11.06,66.67,0.0,0.19,0.0,0.0,0.88,0.25,0.19,0.0,37.5,44.76,1.5,0.75,16,1,4,EEUU MLS,4
Alex Monis,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,EEUU MLS,4
Đorđe Mihailović,0.38,0.03,61.4,1.59,0.03,0.0,1.28,0.41,0.0,0.34,0.0,0.66,0.24,0.17,33.07,82.59,10.0,65.33,0.0,0.03,0.0,0.0,1.1,0.1,0.24,0.0,26.92,51.24,1.55,0.79,29,2,3,EEUU MLS,4
Kai Wagner,0.0,0.0,50.0,0.42,0.0,0.0,1.39,1.69,0.06,1.64,0.0,0.67,0.39,0.25,37.06,74.44,6.78,52.44,0.0,0.42,0.0,0.0,0.64,0.14,0.14,0.03,71.67,58.85,0.83,1.08,36,2,2,EEUU MLS,4
Jefferson Savarino,0.35,0.1,64.71,2.9,0.05,0.0,0.65,0.3,0.0,0.1,0.0,0.2,0.35,0.25,24.5,82.86,9.4,67.57,0.0,0.1,0.0,0.0,0.95,0.1,0.1,0.0,13.33,49.18,0.6,0.25,20,2,3,EEUU MLS,4
Maxi Moralez,0.16,0.13,74.07,1.5,0.0,0.0,1.66,0.41,0.0,0.28,0.0,0.97,0.28,0.19,55.09,82.08,17.13,63.45,0.0,0.09,0.0,0.0,0.88,0.16,0.16,0.0,28.0,59.0,2.31,1.03,32,3,3,EEUU MLS,4
Thiago Almada,0.21,0.1,73.47,2.66,0.0,0.0,0.79,0.45,0.0,0.07,0.0,0.69,0.31,0.24,53.93,85.93,18.31,72.41,0.0,0.1,0.0,0.0,1.28,0.14,0.14,0.03,20.0,50.79,1.07,0.62,29,1,3,EEUU MLS,4
Valentin Castellanos,0.76,0.71,48.39,4.76,0.06,0.0,0.41,0.35,0.0,0.94,0.0,0.76,0.35,0.12,24.18,64.23,8.47,31.58,0.0,0.29,0.0,0.0,0.82,0.06,0.53,0.0,49.48,41.1,1.18,1.82,17,2,4,EEUU MLS,4
Ryan Gauld,0.29,0.11,61.22,2.68,0.0,0.0,1.43,0.86,0.0,0.36,0.0,0.86,0.25,0.18,30.54,79.3,11.71,49.23,0.0,0.14,0.0,0.0,1.18,0.25,0.21,0.0,41.67,51.49,1.32,0.93,28,2,4,EEUU MLS,4
Carlos Vela,0.34,0.2,41.94,2.03,0.0,0.0,0.63,0.23,0.0,0.26,0.0,0.46,0.34,0.34,29.29,78.54,11.89,73.4,0.0,0.03,0.0,0.0,0.83,0.09,0.11,0.0,34.0,43.12,1.54,1.0,35,3,4,EEUU MLS,4
Simon Becher,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,EEUU MLS,4
Chris Brady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,54.84,1.0,27.78,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,EEUU MLS,4
Emanuel Reynoso,0.37,0.13,57.14,2.63,0.0,0.0,1.13,0.43,0.0,0.07,0.0,1.43,0.43,0.2,44.63,76.33,18.53,66.88,0.0,0.03,0.0,0.0,1.0,0.27,0.33,0.0,29.79,46.18,2.73,1.67,30,2,3,EEUU MLS,4
Adam Buksa,0.7,0.1,71.43,3.4,0.4,0.0,0.5,0.0,0.0,1.2,0.0,0.4,0.2,0.2,16.4,71.95,4.6,83.33,0.0,0.1,0.0,0.0,1.1,0.2,0.1,0.1,54.93,47.55,1.4,1.8,10,2,4,EEUU MLS,4
Luciano Acosta,0.34,0.31,49.64,2.09,0.0,0.0,1.56,0.28,0.0,0.13,0.0,1.38,0.59,0.41,40.72,73.6,15.25,49.11,0.0,0.06,0.0,0.0,1.25,0.28,0.22,0.03,14.29,43.56,2.06,1.75,32,2,4,EEUU MLS,4
Jesús Ferreira,0.51,0.4,56.1,2.57,0.06,1.14,0.74,0.46,0.0,0.66,0.0,0.49,0.29,0.17,24.46,76.05,7.29,48.98,0.0,0.06,0.0,0.0,0.71,0.17,0.14,0.0,8.57,37.87,0.34,0.6,35,1,4,EEUU MLS,4
Gastón Brugman,0.19,0.0,60.87,1.06,0.0,0.0,2.88,1.25,0.0,0.75,0.0,1.31,0.19,0.06,68.75,87.91,12.94,71.95,0.0,0.06,0.0,0.0,1.31,0.0,0.25,0.0,75.0,57.64,1.06,1.31,16,3,3,EEUU MLS,4
Diego Rubio,0.53,0.23,65.22,3.1,0.1,0.74,0.8,0.3,0.0,1.0,0.0,0.6,0.27,0.17,27.23,72.09,9.03,57.89,0.0,0.1,0.0,0.0,1.27,0.13,0.27,0.03,55.88,56.16,2.53,1.17,30,2,4,EEUU MLS,4
David Bingham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.5,38.46,1.0,23.53,5.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,100.0,100.0,0.0,0.0,2,3,1,EEUU MLS,4
Erik Thommy,0.25,0.08,68.0,3.17,0.0,0.0,1.0,0.42,0.0,0.17,0.0,0.83,0.0,0.08,34.92,88.31,11.5,84.78,0.0,0.0,0.0,0.0,0.67,0.17,0.08,0.0,37.5,49.07,1.75,0.83,12,2,3,EEUU MLS,4
Pablo Sisniega,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,32.0,62.5,1.5,47.83,4.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,100.0,100.0,1.0,0.0,2,2,1,EEUU MLS,4
Kendall Mcintosh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,76.67,0.5,41.67,4.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,100.0,100.0,0.0,0.0,2,2,1,EEUU MLS,4
Alejandro Pozuelo,0.21,0.14,59.2,1.17,0.0,0.0,1.48,0.24,0.0,0.17,0.0,0.79,0.55,0.28,51.52,84.67,18.07,49.28,0.0,0.03,0.0,0.0,1.52,0.24,0.17,0.03,17.39,50.89,1.72,0.93,29,3,3,EEUU MLS,4
Đorđe Petrović,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.86,0.05,0.05,0.0,0.0,25.33,63.53,0.43,28.89,4.05,0.33,0.57,0.19,1.14,0.14,0.0,0.0,100.0,87.5,0.05,0.0,21,1,1,EEUU MLS,4
Brooks Lennon,0.08,0.2,45.83,0.68,0.0,2.0,1.36,0.28,0.0,1.36,0.0,0.48,0.36,0.24,38.28,85.89,9.44,42.62,0.0,0.16,0.0,0.0,1.28,0.12,0.04,0.0,38.0,49.02,0.44,0.56,25,2,2,EEUU MLS,4
Mauricio Pereyra,0.03,0.03,58.62,1.0,0.0,0.61,1.82,0.85,0.0,0.33,0.0,1.21,0.27,0.24,47.3,82.83,17.09,67.5,0.0,0.03,0.0,0.0,1.12,0.24,0.18,0.0,35.29,50.84,1.94,1.27,33,3,3,EEUU MLS,4
Riqui Puig,0.25,0.08,54.55,2.58,0.0,0.0,0.92,0.75,0.0,0.08,0.0,1.33,0.17,0.17,69.92,91.18,22.33,85.0,0.0,0.08,0.0,0.0,1.33,0.08,0.17,0.0,28.57,54.7,2.75,0.58,12,1,3,EEUU MLS,4
Nicolás Lodeiro,0.25,0.07,43.48,1.43,0.0,0.0,1.14,0.5,0.0,0.43,0.0,1.43,0.36,0.25,62.39,84.66,20.68,58.33,0.0,0.14,0.0,0.0,1.0,0.21,0.21,0.0,42.42,46.67,2.39,1.0,28,3,3,EEUU MLS,4
Sebastián Driussi,0.68,0.3,50.0,3.05,0.08,0.0,0.86,0.3,0.0,0.97,0.0,0.78,0.27,0.14,37.24,78.81,10.89,59.68,0.0,0.11,0.0,0.0,1.24,0.14,0.19,0.0,42.11,45.34,1.62,1.16,37,2,3,EEUU MLS,4
Cecilio Domínguez,0.5,0.5,42.86,2.25,0.0,0.0,1.25,0.25,0.0,0.75,0.0,0.5,0.25,0.0,21.75,83.91,6.5,50.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,100.0,65.52,2.25,0.75,4,2,3,EEUU MLS,4
Hassani Dotson,0.14,0.0,68.75,0.43,0.0,0.0,2.0,0.86,0.14,2.14,0.0,0.43,0.14,0.29,42.0,75.85,7.29,53.13,0.0,0.29,0.0,0.0,0.71,0.14,0.14,0.0,58.82,57.14,1.29,1.86,7,2,3,EEUU MLS,4
Xherdan Shaqiri,0.24,0.0,53.19,1.76,0.0,0.0,0.62,0.1,0.0,0.07,0.0,0.34,0.38,0.21,38.0,77.59,14.31,60.0,0.0,0.21,0.0,0.0,1.1,0.17,0.17,0.0,44.83,45.65,1.69,0.9,29,3,3,EEUU MLS,4
John McCarthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,12.5,64.0,0.5,25.0,2.5,0.0,1.0,0.0,1.5,0.0,0.0,0.0,100.0,100.0,0.0,0.0,2,3,1,EEUU MLS,4
Domenico Criscito,0.07,0.0,63.64,1.13,0.0,0.0,2.53,1.53,0.0,2.4,0.0,0.8,0.07,0.0,49.53,83.04,11.33,53.85,0.0,0.13,0.0,0.0,1.0,0.33,0.27,0.0,71.43,69.64,1.53,0.6,15,3,2,EEUU MLS,4
Gastón Giménez,0.0,0.0,70.0,1.32,0.0,0.0,2.18,1.23,0.0,0.5,0.0,0.77,0.09,0.09,40.73,83.82,7.64,65.85,0.0,0.23,0.0,0.0,1.09,0.05,0.27,0.0,55.0,56.54,0.95,1.36,22,3,3,EEUU MLS,4
Cristian Espinoza,0.21,0.06,45.88,2.15,0.0,0.0,0.79,0.44,0.0,0.18,0.0,1.18,0.38,0.26,29.59,84.69,11.06,70.15,0.0,0.09,0.0,0.0,1.47,0.32,0.12,0.0,25.0,39.76,0.94,0.94,34,2,3,EEUU MLS,4
Jonathan Osorio,0.39,0.04,56.86,1.09,0.0,0.0,1.61,0.96,0.0,0.87,0.0,0.43,0.04,0.17,49.04,90.69,14.78,72.34,0.0,0.09,0.0,0.0,1.26,0.17,0.22,0.0,33.33,54.87,1.48,0.83,23,3,3,EEUU MLS,4
