Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Josep Chavarría,0.0,0.0,50.0,0.5,0.0,0.0,3.0,1.5,0.0,1.5,0.0,1.0,0.5,0.0,49.0,76.53,5.5,35.71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,1.5,1.0,2,2,2,La Liga 2,2
Andy Rodríguez,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,2.0,0.0,24.5,79.59,5.5,66.67,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,66.67,46.15,0.5,0.5,2,3,3,La Liga 2,2
Mario Garcia,0.33,0.0,75.0,1.0,0.0,0.0,2.33,1.0,0.0,1.33,0.0,1.33,0.67,0.33,31.33,77.66,6.0,33.33,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,33.33,46.43,0.33,1.33,3,1,2,La Liga 2,2
Jonathan Viera,0.22,0.19,52.89,2.44,0.0,0.0,0.94,0.31,0.0,0.09,0.0,0.75,0.25,0.16,76.31,86.98,28.66,63.75,0.0,0.25,0.0,0.0,0.66,0.09,0.16,0.0,50.0,49.05,1.63,0.72,32,3,3,La Liga 2,2
Pablo De Blasis,0.05,0.02,50.0,0.8,0.0,0.0,1.37,0.54,0.0,0.41,0.0,1.29,0.39,0.2,49.76,77.84,12.17,61.61,0.0,0.22,0.0,0.0,0.93,0.07,0.17,0.0,46.23,47.03,1.49,0.93,41,3,3,La Liga 2,2
Jokin Ezkieta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,20.67,45.97,1.5,30.21,3.17,0.5,0.0,0.0,0.67,0.17,0.0,0.0,66.67,75.0,0.0,0.0,6,2,1,La Liga 2,2
Manuel Fuster,0.2,0.18,48.11,1.8,0.0,0.0,0.93,0.1,0.0,0.33,0.0,0.85,0.3,0.15,33.83,74.13,12.23,52.33,0.0,0.08,0.0,0.0,0.95,0.13,0.1,0.0,27.27,48.36,2.0,0.6,40,2,3,La Liga 2,2
Pepelu,0.03,0.1,65.52,1.03,0.0,0.0,2.44,1.13,0.0,1.31,0.0,0.67,0.18,0.05,53.87,86.86,13.28,71.27,0.0,0.36,0.0,0.0,0.59,0.1,0.23,0.03,60.29,59.2,0.97,1.46,39,2,3,La Liga 2,2
Kelechi Nwakali,0.03,0.0,83.61,0.89,0.0,0.0,1.81,1.11,0.0,0.72,0.0,0.92,0.03,0.11,51.08,86.51,9.06,64.07,0.0,0.14,0.0,0.0,0.83,0.14,0.31,0.0,40.54,61.04,1.89,1.17,36,2,3,La Liga 2,2
José Antonio Caro,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,1.2,0.05,0.05,0.0,0.0,32.22,55.03,3.49,40.67,3.0,0.46,0.12,0.05,0.61,0.1,0.02,0.02,92.31,88.46,0.24,0.02,41,2,1,La Liga 2,2
Dani Cárdenas,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.88,0.0,0.0,0.0,0.03,27.88,70.89,1.85,43.93,2.56,0.5,0.06,0.06,0.56,0.12,0.12,0.0,100.0,100.0,0.21,0.0,34,2,1,La Liga 2,2
Nicolas Ratti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.05,0.0,0.0,0.0,48.55,89.08,0.35,53.65,2.45,0.45,0.15,0.0,0.75,0.05,0.0,0.0,50.0,71.43,0.1,0.0,20,2,1,La Liga 2,2
Joni Montiel,0.18,0.1,58.33,2.21,0.0,0.14,0.77,0.15,0.0,0.26,0.0,0.62,0.41,0.08,26.85,81.38,10.0,61.67,0.0,0.03,0.0,0.0,0.41,0.13,0.28,0.0,24.24,47.85,1.49,1.1,39,2,3,La Liga 2,2
Alex Domínguez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.13,0.0,0.0,0.0,28.88,71.43,0.63,36.0,2.75,0.38,0.38,0.13,0.75,0.0,0.13,0.0,100.0,100.0,0.13,0.0,8,2,1,La Liga 2,2
Mika Mármol,0.03,0.08,73.17,0.41,0.0,0.0,1.54,2.05,0.0,2.35,0.0,0.49,0.05,0.03,92.49,90.01,10.16,46.64,0.0,0.3,0.0,0.0,0.68,0.05,0.14,0.0,39.29,50.32,0.97,1.59,37,1,2,La Liga 2,2
Miguel Rubio,0.03,0.03,100.0,0.41,0.0,0.0,1.38,1.84,0.03,3.31,0.0,0.09,0.03,0.03,48.91,82.68,3.53,40.43,0.0,0.5,0.0,0.0,0.44,0.13,0.25,0.03,67.07,65.2,0.5,0.94,32,2,2,La Liga 2,2
Kirian Rodríguez,0.0,0.0,75.0,0.4,0.0,0.0,1.4,0.6,0.0,0.6,0.0,1.2,0.4,0.2,65.4,92.35,11.8,73.08,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,14.29,54.35,2.2,0.6,5,2,3,La Liga 2,2
Jorge Chanza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1,2,1,La Liga 2,2
Eric Curbelo,0.03,0.03,83.33,0.38,0.0,0.0,1.03,1.53,0.0,1.68,0.03,0.15,0.03,0.06,68.26,92.12,4.88,63.74,0.0,0.5,0.0,0.0,0.5,0.06,0.24,0.0,70.31,63.75,0.5,0.88,34,2,2,La Liga 2,2
Rubén Duarte,0.0,0.0,42.86,0.43,0.0,0.0,1.92,1.38,0.0,1.7,0.0,0.73,0.24,0.14,31.81,72.73,6.78,41.31,0.0,0.32,0.0,0.0,0.59,0.11,0.38,0.03,61.32,60.0,1.38,1.46,37,2,2,La Liga 2,2
Pedro Díaz,0.12,0.0,52.24,1.24,0.0,0.51,1.64,0.76,0.0,0.12,0.0,1.21,0.27,0.15,38.91,84.5,8.82,63.58,0.0,0.09,0.0,0.0,0.97,0.18,0.09,0.0,36.84,46.33,0.73,0.88,33,2,3,La Liga 2,2
Roberto López,0.18,0.08,48.15,2.03,0.0,0.0,1.15,0.45,0.0,0.2,0.0,0.55,0.28,0.1,29.83,78.54,8.35,59.46,0.0,0.0,0.0,0.0,0.75,0.13,0.1,0.0,38.46,46.44,0.55,0.35,40,1,4,La Liga 2,2
Raúl García,0.49,0.28,37.5,2.44,0.08,0.0,0.31,0.18,0.0,0.82,0.0,0.38,0.1,0.18,18.87,64.4,5.9,62.5,0.0,0.15,0.0,0.0,0.97,0.21,0.08,0.0,45.85,43.61,1.38,0.82,39,1,4,La Liga 2,2
Aarón Escandell,0.0,0.0,100.0,0.03,0.0,0.0,0.0,0.0,0.0,0.89,0.03,0.0,0.0,0.0,28.72,74.66,0.97,48.27,3.03,0.36,0.17,0.03,0.97,0.06,0.08,0.0,90.0,94.44,0.19,0.0,36,2,1,La Liga 2,2
Sandro Ramírez,0.33,0.19,43.4,2.86,0.0,2.38,0.48,0.14,0.0,0.14,0.0,0.14,0.24,0.14,19.24,87.13,8.19,85.71,0.0,0.05,0.0,0.0,0.48,0.0,0.19,0.0,41.18,52.67,1.38,0.48,21,2,4,La Liga 2,2
Myrto Uzuni,0.61,0.61,45.83,2.66,0.03,0.0,0.82,0.39,0.0,0.21,0.0,0.74,0.13,0.13,14.92,77.25,4.82,61.29,0.0,0.26,0.0,0.0,0.47,0.16,0.16,0.0,33.01,43.49,1.29,0.89,38,2,4,La Liga 2,2
Nacho Martínez,0.06,0.06,36.36,0.72,0.0,0.0,1.81,1.33,0.0,0.97,0.0,1.19,0.25,0.14,35.86,76.37,8.58,47.66,0.0,0.19,0.0,0.0,0.69,0.11,0.33,0.03,40.0,50.95,1.03,0.78,36,3,2,La Liga 2,2
José Callejón,0.1,0.1,37.5,1.31,0.02,0.0,0.48,0.26,0.0,0.45,0.0,0.45,0.29,0.21,26.9,80.0,8.93,57.14,0.0,0.07,0.0,0.0,0.45,0.12,0.1,0.0,36.05,45.2,1.19,0.62,42,3,4,La Liga 2,2
