Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Julien Maggiotti,0.39,0.06,70.27,1.89,0.11,0.0,0.94,0.06,0.0,0.33,0.0,1.5,0.28,0.17,35.0,75.56,8.67,66.96,0.0,0.06,0.0,0.0,0.94,0.22,0.17,0.0,41.18,46.72,0.78,0.72,18,2,3,Francia Liga 2,3
Felix Tomi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,71.43,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,3,Francia Liga 2,3
Romain Spano,0.33,0.33,0.0,3.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.67,10.67,75.0,4.33,60.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,37.5,0.67,0.67,3,2,4,Francia Liga 2,3
Moustapha Name,0.0,0.0,100.0,1.4,0.0,0.0,2.8,0.4,0.0,0.4,0.0,0.8,0.2,0.0,74.2,88.68,10.8,74.19,0.0,0.2,0.0,0.0,1.0,0.0,0.4,0.0,50.0,66.67,2.0,1.0,5,2,3,Francia Liga 2,3
Yoann Barbet,0.17,0.07,80.0,1.1,0.03,1.03,1.07,1.76,0.0,3.83,0.03,0.41,0.07,0.07,67.69,86.25,6.1,56.83,0.0,0.41,0.0,0.0,0.52,0.24,0.21,0.0,72.73,66.02,0.72,0.86,29,2,2,Francia Liga 2,3
Yannis Clementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,90.32,1.0,62.5,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,Francia Liga 2,3
Adilson Malanda,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,50.0,74.0,5.0,16.67,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,50.0,0.0,3.0,1,1,2,Francia Liga 2,3
Formose Mendy,0.03,0.0,72.41,0.75,0.03,0.0,3.47,2.41,0.06,3.41,0.0,1.0,0.03,0.0,45.94,81.63,6.69,59.92,0.0,0.22,0.0,0.0,1.16,0.03,0.16,0.0,69.92,67.1,1.38,1.31,32,1,2,Francia Liga 2,3
Gautier Lloris,0.11,0.04,28.57,0.63,0.07,0.0,1.11,0.78,0.0,3.26,0.0,0.41,0.11,0.11,67.15,90.35,4.56,53.33,0.0,0.63,0.0,0.0,0.37,0.04,0.11,0.0,68.38,63.96,0.52,0.56,27,2,2,Francia Liga 2,3
Kylian Kaiboue,0.06,0.06,66.67,1.39,0.0,0.43,2.35,1.9,0.06,1.71,0.0,1.13,0.26,0.16,56.61,75.27,8.26,50.0,0.0,0.29,0.0,0.0,0.87,0.16,0.39,0.0,61.22,60.88,2.52,1.39,31,2,2,Francia Liga 2,3
Vital Nsimba,0.0,0.0,50.0,0.4,0.0,0.0,2.27,0.87,0.0,1.13,0.0,0.73,0.53,0.2,41.8,79.98,9.1,52.27,0.0,0.33,0.0,0.0,0.57,0.27,0.13,0.0,54.76,54.45,1.33,1.17,30,2,2,Francia Liga 2,3
Jean-Philippe Krasso,0.49,0.11,48.78,2.23,0.03,0.0,1.71,0.17,0.0,0.77,0.0,0.91,0.31,0.34,27.2,72.06,8.74,57.14,0.0,0.11,0.0,0.0,1.23,0.17,0.14,0.03,47.18,44.05,1.91,1.69,35,2,4,Francia Liga 2,3
Saturnin Allagbe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,18.75,65.33,0.25,43.48,3.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,4,2,1,Francia Liga 2,3
Christopher Operi,0.06,0.0,52.11,0.94,0.0,0.0,2.4,1.54,0.0,2.0,0.0,0.49,0.26,0.06,51.74,80.56,9.71,43.24,0.0,0.51,0.0,0.0,0.51,0.03,0.29,0.0,60.0,56.72,0.91,1.34,35,2,2,Francia Liga 2,3
Georges Mikautadze,0.62,0.11,41.1,2.81,0.0,0.0,0.24,0.27,0.0,0.24,0.0,0.7,0.19,0.22,23.03,79.81,7.65,80.77,0.0,0.16,0.0,0.0,0.54,0.05,0.11,0.0,30.14,38.5,1.7,0.78,37,1,4,Francia Liga 2,3
Mehdi Bariki,0.5,0.0,50.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,72.73,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,55.56,0.5,1.0,2,1,4,Francia Liga 2,3
