Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Ryan Manning,0.12,0.05,58.14,1.35,0.0,0.0,1.95,1.26,0.0,1.0,0.02,0.51,0.33,0.23,52.77,81.84,12.63,38.79,0.0,0.21,0.0,0.0,1.09,0.16,0.26,0.0,58.33,64.17,2.21,0.95,43,2,2,Inglaterra Championship,2
Oliver Norwood,0.04,0.02,57.14,1.09,0.0,0.2,2.41,1.67,0.0,1.72,0.0,0.91,0.2,0.11,53.76,78.33,13.07,48.65,0.0,0.33,0.0,0.0,0.72,0.09,0.15,0.0,50.0,59.43,0.61,0.61,46,3,3,Inglaterra Championship,2
Ross Stewart,0.77,0.46,41.18,3.54,0.15,0.0,1.0,0.15,0.0,1.77,0.0,0.69,0.08,0.23,25.85,68.75,6.38,65.0,0.0,0.23,0.0,0.0,0.92,0.15,0.0,0.0,48.94,48.82,1.31,1.0,13,2,4,Inglaterra Championship,2
Sam Tickle,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,70.0,2.0,35.71,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,1,1,Inglaterra Championship,2
Gustavo Hamer,0.22,0.15,56.79,2.56,0.0,0.0,2.63,1.05,0.0,0.71,0.02,1.73,0.39,0.24,45.2,72.58,12.0,49.84,0.0,0.24,0.0,0.0,0.98,0.02,0.15,0.05,32.0,47.57,0.83,1.68,41,2,3,Inglaterra Championship,2
João Pedro,0.31,0.11,57.14,2.37,0.06,0.0,1.6,0.66,0.0,0.57,0.0,0.4,0.23,0.11,35.09,74.76,10.49,58.76,0.0,0.14,0.0,0.0,0.89,0.03,0.2,0.0,48.28,53.11,2.26,1.11,35,1,4,Inglaterra Championship,2
Josh Brownhill,0.17,0.1,58.62,1.39,0.0,0.0,2.22,0.93,0.0,0.73,0.0,0.8,0.22,0.2,48.12,82.67,15.73,42.4,0.0,0.37,0.0,0.0,0.61,0.02,0.22,0.0,52.73,50.0,0.51,1.59,41,2,3,Inglaterra Championship,2
John Swift,0.13,0.07,57.38,1.42,0.0,0.0,0.96,0.4,0.0,0.31,0.0,0.76,0.49,0.2,32.6,82.14,11.13,58.82,0.0,0.04,0.0,0.0,0.64,0.22,0.07,0.0,44.12,44.76,0.73,0.6,45,2,3,Inglaterra Championship,2
Taylor Harwood-Bellis,0.03,0.09,57.14,0.53,0.03,0.0,1.06,1.84,0.0,3.13,0.0,0.22,0.13,0.06,81.06,85.27,7.53,48.76,0.0,0.34,0.0,0.0,0.84,0.03,0.19,0.0,62.5,63.43,0.31,0.47,32,1,2,Inglaterra Championship,2
Alfie Doughty,0.07,0.04,49.06,1.0,0.0,0.0,1.96,0.71,0.0,1.11,0.0,0.79,0.21,0.14,27.54,69.65,7.18,38.78,0.0,0.32,0.0,0.0,0.64,0.04,0.36,0.0,64.79,50.77,0.18,1.36,28,1,3,Inglaterra Championship,2
James Shea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,41.94,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,Inglaterra Championship,2
Robbie Hemfrey,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,60.0,0.0,53.85,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,1,1,1,Inglaterra Championship,2
Jordan Beyer,0.03,0.0,75.0,0.43,0.03,0.0,2.1,1.23,0.0,2.13,0.0,0.43,0.03,0.1,75.17,91.57,4.2,66.67,0.0,0.47,0.0,0.0,0.63,0.03,0.17,0.0,57.76,65.4,0.8,0.5,30,1,2,Inglaterra Championship,2
Hjalmar Ekdal,0.11,0.0,66.67,0.11,0.0,0.0,2.0,0.33,0.0,2.33,0.0,0.44,0.11,0.11,82.44,87.47,6.44,40.3,0.0,0.44,0.0,0.0,0.22,0.0,0.11,0.0,66.67,64.63,1.0,0.89,9,2,2,Inglaterra Championship,2
Imrân Louza,0.24,0.1,37.5,1.14,0.0,1.59,1.95,0.71,0.0,0.43,0.0,1.14,0.24,0.19,47.71,83.93,10.9,49.57,0.0,0.19,0.0,0.0,1.05,0.0,0.33,0.0,62.07,46.99,0.86,1.52,21,1,3,Inglaterra Championship,2
Carlton Morris,0.45,0.16,56.92,2.61,0.14,0.0,0.55,0.07,0.0,1.11,0.0,0.48,0.25,0.16,21.02,64.97,6.98,48.57,0.0,0.09,0.0,0.0,0.61,0.05,0.25,0.0,51.45,45.42,0.93,1.5,44,2,4,Inglaterra Championship,2
Gavin Kilkenny,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,16.0,83.33,3.0,42.86,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,50.0,69.23,0.67,0.33,3,1,3,Inglaterra Championship,2
Luke McNally,0.0,0.0,77.78,0.62,0.0,0.0,2.05,2.24,0.0,4.52,0.0,0.57,0.0,0.0,34.95,70.44,2.43,25.93,0.0,0.38,0.0,0.0,0.67,0.05,0.05,0.0,69.49,67.77,0.52,0.67,21,1,2,Inglaterra Championship,2
