Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Ronie Carrillo,0.6,0.27,53.33,4,0,0,0.33,0.13,0,0.47,0,0.07,0.2,0.27,16.07,67.22,4.87,40,0,0,0,0,1.2,0.07,0.07,0,43.88,41.95,1.13,1.67,15,2,4
Brian Heras,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,23.71,54.52,1.71,43.08,4.21,0.5,0.21,0,0.57,0.14,0.14,0.07,66.67,85.71,0.29,0,14,2,1
Joaquín Vergés,0.37,0.17,43.59,2.83,0,0.51,1.53,0.6,0,0.37,0,0.43,0.17,0.17,27.17,72.15,6.37,46.9,0,0.03,0,0,1.5,0.17,0.2,0,37.04,50,1.03,1,30,3,3
Mauro Díaz,0.29,0,68.42,1.29,0,0,0.86,0.57,0,0.1,0,0.48,0.43,0.14,37.05,83.8,12.05,68,0,0.05,0,0,0.95,0.05,0.29,0,50,62.26,2.38,0.95,21,3,3
Alexander Domínguez,0,0,0,0,0,0,0.04,0,0,0.26,0,0,0,0,23,77.13,0.96,53.85,3.41,0.52,0.15,0.07,0.52,0.07,0.07,0,100,100,0.04,0,27,3,1
Alexander Alvarado,0.32,0.06,56.1,1.9,0,0.27,0.9,0.19,0,0.1,0,0.19,0.1,0.16,31.29,85.46,12.87,79.63,0,0,0,0,0.42,0.06,0.23,0,60,52.13,1.23,1.1,31,1,3
Rafael Romo,0,0,0,0,0,0,0,0,0,1.04,0,0.09,0,0,24.65,74.6,0.78,43.93,4.04,0.43,0.13,0,1.09,0.04,0.09,0,75,75,0.26,0,23,3,1
Rómulo Otero,0.08,0,62.5,2.12,0,0.16,0.72,0.16,0,0.2,0,0.32,0.2,0.12,21.44,83.96,6.96,72.53,0,0.12,0,0,0.68,0.16,0.08,0,53.33,65.79,3.36,0.56,25,3,3
Alex Mendoza,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,4
Hernán Galíndez,0,0,0,0,0,0,0.04,0,0,0.74,0,0.04,0,0,24.91,57.59,1.61,35.85,4.04,0.43,0.13,0,1,0.17,0.04,0,50,60,0.04,0,23,3,1
Michael Hoyos,0.5,0.17,30.77,2.79,0.17,0,0.33,0.25,0,0.21,0,0.42,0.25,0.17,16.17,79.12,6.04,55.17,0,0.08,0,0,0.75,0.04,0.04,0,54.05,44.83,1.38,1,24,3,4
Sergio López,0.27,0,47.62,3.13,0.07,0.95,0.47,0.27,0,0.2,0,0.33,0.13,0.07,33.53,75.75,9.93,55.17,0,0.07,0,0,0.67,0.13,0.2,0.13,37.5,46.53,1.2,0.8,15,3,3
Damián Díaz,0.42,0.04,50,1.54,0.04,0,0.63,0.38,0,0.17,0,0.38,0.25,0.25,30,77.08,9.79,63.64,0,0.04,0,0,0.75,0.04,0.29,0.04,33.33,49.18,1.13,0.42,24,3,3
Facundo Martinez,0.04,0.04,58.62,0.96,0,0,1.68,0.71,0,1,0,0.54,0.07,0.14,61.86,86.78,15.79,70.26,0,0.18,0,0,0.93,0.07,0.29,0.04,61.76,54.75,1.29,1.43,28,3,3
Lucas Mancinelli,0.12,0.08,41.67,1.96,0,0,0.46,0.23,0,0.08,0,0.65,0.38,0.31,24.46,75.79,6.42,54.76,0,0.15,0,0,0.65,0.19,0.08,0,17.39,48.84,2.04,0.69,26,3,3
Jean Carlos Blanco,0.65,0.25,63.64,2,0.25,0,0.35,0.1,0,0.45,0,0.35,0.05,0.1,16.55,71.9,4.6,42.86,0,0.1,0,0,0.75,0.05,0.25,0,41.77,40.54,0.65,0.9,20,3,4
José Quintero,0.22,0.04,57.89,0.91,0.04,0,1.22,0.83,0,1.61,0,0.35,0.22,0.13,29.43,77.4,6.7,54.72,0,0.22,0,0,0.43,0.13,0,0.09,84,63.08,0.96,1,23,3,2
Pedro Ortiz,0,0,0,0,0,0,0,0,0,0.33,0,0.03,0,0,21,68.89,0.9,41.46,3.37,0.47,0.27,0.03,0.8,0.13,0.03,0,100,85.71,0.1,0.03,30,3,1
