Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Jack Byrne,0.17,0,67.86,0.87,0,0,0.43,0.39,0,0.13,0,0.22,0.3,0.3,56.43,79.58,17.57,57.99,0,0.09,0,0,0.52,0.22,0.13,0,0,43.48,0.91,0.35,23,2,4
Tiernan McGinty,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Cian Byrne,0,0,100,0.75,0,0,0.75,1,0,2,0,0.25,0.25,0,59.25,81.01,4.75,68.42,0,0.5,0,0,0.25,0.25,0,0,64.29,69.57,0.75,0.25,4,1,2
Ben Doherty,0.15,0.12,56.25,1.06,0,0,1.41,1.47,0,0.74,0,0.5,0.12,0.26,43.29,73.85,10.74,43.52,0,0.41,0,0,0.56,0.09,0.21,0,52.5,56.1,1.5,1.12,34,2,2
Michael Duffy,0.32,0.14,32.56,2.09,0.05,0,0.82,0.27,0,0.73,0,0.59,0.27,0.27,25.45,75.36,8.5,50,0,0.23,0,0,0.32,0.09,0.05,0,38.3,43.6,1.14,0.59,22,2,3
William Patching,0.24,0.03,55,1.69,0,0,0.83,0.41,0,0.38,0,0.28,0.21,0.24,32.72,83.25,9.83,65.52,0,0.24,0,0,0.45,0,0.07,0,35.48,46.3,1,0.72,29,2,3
Harry Wood,0.14,0.07,64.29,3,0,0,0.64,0.07,0,0.36,0,0.43,0.5,0.5,35.79,71.46,10.36,52.17,0,0.14,0,0,0.43,0.29,0.14,0,35,42.73,0.93,0.64,14,1,3
Daryl Horgan,0.27,0,40,1.27,0,0,0.55,0.27,0,0.27,0,0.18,0.27,0.18,26.55,78.77,8.91,58.33,0,0,0,0,0.82,0.09,0.18,0,0,38.89,0.55,0.36,11,3,3
Roberto Lopes,0.06,0,100,0.71,0.06,0,1.16,1.68,0,3.45,0.03,0.19,0,0,56.68,82.36,3.55,43.6,0,0.52,0,0,0.39,0.16,0.06,0.03,69.79,71.11,0.65,0.42,31,3,2
Rory Gaffney,0.24,0.18,58.54,2.21,0.06,0,0.36,0.03,0,0.15,0,0.06,0.18,0.24,20.09,76.02,7.76,78.46,0,0.12,0,0,0.45,0.09,0.03,0,42.86,36.84,0.36,1,33,3,4
Jordan Flores,0.17,0.03,75,2.07,0,0.56,1.8,0.8,0,0.93,0,0.73,0.13,0.13,46.77,74.7,10.33,52.91,0,0.23,0,0,0.83,0.23,0.2,0.03,53.7,55.4,0.47,0.9,30,2,3
Paul McMullan,0,0,27.78,0.92,0,0,0.92,0.25,0,0.42,0,0.75,0.5,0.42,21.92,73.76,8.67,40,0,0.25,0,0,0.42,0,0.17,0,50,40.58,0.58,0.67,12,2,4
Tiernan Brooks,0,0,0,0,0,0,0,0.33,0,1.33,0,0,0,0,33,47.47,3.33,34.62,3,0.33,0,0,0,0.67,0,0,0,100,0.33,0,3,1,1
Graham Burke,0.39,0.03,42.42,2.94,0,0,0.32,0.19,0,0.1,0,0.26,0.06,0.06,30.48,87.09,10.77,76.36,0,0.03,0,0,0.42,0.13,0.23,0.03,23.08,42.11,1.61,0.68,31,2,4
Lee Grace,0.15,0,87.5,1.19,0.15,0,1.15,1.33,0,1.52,0,0.22,0,0.07,64,83.74,7.26,50,0,0.56,0,0,0.44,0.22,0.22,0.04,72.12,64.53,0.7,1.11,27,3,2
