Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Salvatore Esposito,0.12,0,61.54,1.29,0,0.35,2.59,0.35,0,1.18,0,0.71,0.18,0.12,68.12,87.13,13.18,66.44,0,0.41,0,0,1,0.12,0.29,0,52.94,69.47,3.71,1.18,17,1,3
Nicolò Manfredini,0,0,0,0,0,0,0,0,0,0.63,0,0.13,0,0,21.75,55.17,1,35.34,5,0.13,0.13,0,0.88,0.25,0,0,80,71.43,0.13,0,8,3,1
Luca Matarese,1,0,0,2,0,0,3,3,0,4,0,3,1,0,51,56.86,10,14.29,0,1,0,0,0,0,0,0,66.67,42.86,1,2,1,2,4
Giovanni Zaro,0.14,0.06,80,0.61,0.06,0,2.17,1.53,0.03,5.44,0,0.86,0.03,0,34.25,74.29,2.58,43.49,0,0.42,0,0,0.67,0.17,0.17,0,69.3,62.93,0.67,1.06,36,2,2
Joel Pohjanpalo,0.51,0.27,52,2.57,0.08,0,0.24,0.08,0,0.84,0,0.11,0.16,0.19,17.16,69.45,4.32,51.61,0,0,0,0,0.86,0.16,0.05,0,50.94,49.51,0.57,0.73,37,2,4
Eric Botteghin,0.08,0.08,76.47,0.84,0.08,0,1.78,2.38,0.08,4.03,0.03,0.43,0.03,0.03,49.11,79.91,4.03,55.08,0,0.24,0,0,1.19,0.03,0.16,0,72.15,65.16,0.22,1.16,37,3,2
Antonio Palumbo,0.11,0.03,47.92,1.2,0,0,1.26,0.49,0,0.37,0,1.06,0.46,0.23,37.51,76.92,12.11,59.69,0,0.06,0,0,0.86,0.2,0.2,0,15.79,42.12,1.31,0.97,35,2,3
Marco Mancosu,0.21,0.08,58.06,1.71,0.04,0.6,0.83,0.29,0,0.29,0,0.58,0.38,0.13,28.71,77.07,10.04,58.14,0,0.13,0,0,0.5,0.04,0.04,0,40.43,43.79,0.71,0.63,24,3,3
Anthony Oyono,0,0,65.63,0.62,0,0,2.54,0.54,0,1.31,0,0.54,0.08,0.15,36.54,81.89,7.92,39.22,0,0.54,0,0,0.23,0.08,0.08,0,62.96,69.84,1.31,0.46,13,1,2
Alberto Dossena,0,0.04,0,0.7,0,0,1.43,1.3,0,4.39,0,0.48,0,0,38.91,83.91,1.96,60.42,0,0.35,0,0,0.52,0,0.26,0,68.5,64.76,1.22,1.13,23,2,2
Biagio Meccariello,0.06,0,58.33,0.34,0.03,0,2.29,2.37,0.03,4.46,0,0.69,0,0,60.31,87.97,4.29,61.75,0,0.2,0,0,1.11,0.17,0.29,0.03,75.84,63.68,1.2,1.86,35,3,2
Franco Vázquez,0.31,0.22,51.5,2.75,0.06,0,1.44,0.83,0,0.75,0,0.64,0.22,0.19,41.83,78.55,14.94,68.18,0,0.22,0,0,0.83,0.08,0.19,0,52.21,50,4.03,1.86,36,3,4
