Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Jun Ichimori,0,0,0,0,0,0,0,0,0,1.67,0,0.22,0,0,34.67,66.99,1.67,39.64,4.11,0.33,0.11,0.11,1,0,0,0,87.5,70,0.11,0,9,3,1
Gakuto Notsuda,0.11,0.04,77.78,1.07,0,0.45,2.68,1.54,0,0.64,0,0.96,0.14,0.29,60.5,86.6,14.36,44.81,0,0.21,0,0,0.93,0.07,0.18,0,50,56.58,1.04,1.39,28,2,3
Kojiro Yasuda,0,0,100,2,0,0,3,1,0,0,0,0,0,0,7,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,1,3
Yuki Saneto,0.2,0,75,0.6,0,0,0.4,3,0,5.8,0,0,0,0,51.4,84.05,6.2,52.38,0,0.4,0,0,0.4,0,0.2,0,69.23,69.57,1.8,0.8,5,3,2
Tomoya Wakahara,0,0,0,0,0,0,0.5,0,0,3,0,0.25,0,0,29.75,34.45,1.25,11.49,5.25,0,0,0,1.5,0.25,0,0,0,75,0.25,0,4,1,1
Hiroki Mawatari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,2,20.83,2,1,0,0,0,0,1,0,0,100,2,0,1,2,1
Yasuto Wakizaka,0.16,0.13,62.79,1.44,0,0.31,0.97,0.94,0,0.25,0,0.47,0.44,0.31,41.59,86.55,13.84,66.23,0,0,0,0,0.84,0.13,0.03,0,21.43,49.15,0.81,0.81,32,2,3
Makoto Mitsuta,0.31,0.14,45.28,2.55,0,0.69,1.83,0.66,0,0.17,0,1.14,0.28,0.28,30.76,77.13,9.62,44.44,0,0.07,0,0,0.9,0.1,0,0,30.43,42.91,1.24,1.17,29,1,4
Mateus Castro,0.27,0.1,54.1,2.8,0,0.19,0.67,0.37,0,0.27,0,0.57,0.33,0.13,22.93,76.31,8.13,72.15,0,0.1,0,0,0.83,0.13,0.13,0,26.19,44.83,1.97,1.1,30,2,4
Ken Iwao,0.03,0,70,0.48,0,0,1.03,1.59,0,1.66,0.03,0.79,0.24,0.21,59.72,86.32,10.31,60.39,0,0.24,0,0,0.83,0.1,0,0.03,61.54,53.3,0.72,0.72,29,3,3
Eduardo,0.04,0,85.71,0.83,0.04,0,1,2.52,0,4.3,0.04,0.43,0.04,0.04,67.57,84.23,5.87,54.79,0,0.3,0,0,0.96,0.04,0.17,0,73.53,63.91,0.17,1,23,2,2
Akihiro Ienaga,0.35,0.12,57.41,1.41,0.03,0,0.71,0.18,0,1.15,0,0.35,0.21,0.15,55.65,89.9,20.59,70.31,0,0.18,0,0,0.97,0.18,0.09,0,48.08,49.36,1.03,0.79,34,3,4
Yuma Suzuki,0.22,0.13,50,1.72,0.06,0,0.63,0.25,0,1.16,0,0.34,0.31,0.31,29,69.94,9.25,67.35,0,0.16,0,0,0.97,0.19,0.16,0,43.2,45.39,2,1.28,32,2,4
Sho Sasaki,0.09,0,58.82,0.65,0.09,0,1.68,2.53,0,1.85,0.06,0.26,0.06,0.06,59.65,82.15,9.5,44.29,0,0.35,0,0,1.06,0.12,0.06,0,69.4,67.19,1.62,1.12,34,3,2
Thiago Santana,0.52,0.3,44.62,2.63,0.19,0,0.41,0.15,0,0.85,0,0.22,0.37,0.22,14.85,72.82,4.56,91.3,0,0.15,0,0,1.3,0.26,0.11,0,34.97,40.06,1.41,1.07,27,2,4
