#,Team,Name
1,,Sam Tickle
2,,James Shea
3,,Robbie Hemfrey
4,,Josh Vickers
5,,Viktor Johansson
6,,Daniel Grimshaw
7,,Karl Darlow
8,,Matt Ingram
9,,Ben Wilson
10,,Daniel Bachmann
11,,Arijanet Murić
12,,Lee Nicholls
13,,Joshua Griffiths
14,,Angus Gunn
15,,Matija Šarkić
16,,Thomas Kaminski
17,,Adam Davies
18,,Bartosz Białkowski
19,,Alex Palmer
20,,Tomáš Vaclík
21,,Freddie Woodman
22,,Aynsley Pears
23,,Anthony Patterson
24,,Ethan Horvath
25,,Max O'Leary
26,,Zack Steffen
27,,John Ruddy
28,,Josef Bursik
29,,Chris Maxwell
30,,Wesley Foderingham
31,,Bailey Peacock-Farrell
32,,Tim Krul
33,,Neil Etheridge
34,,George Long
35,,Jack Bonham
36,,Andrew Fisher
37,,Steven Benda
38,,Daniel Bentley
39,,Seny Dieng
40,,Ryan Allsop
41,,Joe Lumley
42,,Jordan Amissah
43,,Coniah Boyce-Clarke
44,,Nathan Baxter
45,,Liam Roberts
46,,Ben Amos
47,,Nicholas Bilokapic
48,,Jamie Jones
49,,Jak Alnwick
50,,Ben Hamer
51,,Dean Bouzanis
52,,David Button
53,,Harry Isted
54,,Simon Moore
55,,Rohan Luthra
