#,Team,Name,Appearances
1,,Ryan Manning,43
2,,Oliver Norwood,46
3,,Ross Stewart,13
4,,Sam Tickle,1
5,,Gustavo Hamer,41
6,,João Pedro,35
7,,Josh Brownhill,41
8,,John Swift,45
9,,Taylor Harwood-Bellis,32
10,,Alfie Doughty,28
11,,James Shea,1
12,,Robbie Hemfrey,1
13,,Jordan Beyer,30
14,,Hjalmar Ekdal,9
15,,Imrân Louza,21
16,,Carlton Morris,44
17,,Gavin Kilkenny,3
18,,Luke McNally,21
19,,Zian Flemming,43
20,,James Bree,27
21,,Chuba Akpom,38
22,,Charlie Cresswell,28
23,,Josh Vickers,3
24,,Anel Ahmedhodžić,34
25,,Ben Wilmot,39
26,,Ilias Chair,40
27,,Viktor Johansson,43
28,,Iliman Ndiaye,46
29,,Cameron Archer,20
30,,Adama Traoré,12
31,,Tom Lockyer,39
32,,Cody Drameh,16
33,,Dara O'Shea,37
34,,Jack Robinson,27
35,,Daniel Grimshaw,18
36,,Matt Grimes,44
37,,Michał Helik,36
38,,Karl Darlow,12
39,,George Saville,42
40,,Przemysław Płacheta,5
41,,Keshi Anderson,9
42,,Jamilu Collins,4
43,,Ryan Giles,45
44,,Grant Hanley,39
45,,James McClean,46
46,,Oliver McBurnie,38
47,,Okay Yokuşlu,38
48,,Sean McLoughlin,27
49,,Thomas Ince,38
50,,Gabriel Sara,40
51,,Kal Naismith,25
52,,Daniel Ayala,25
53,,Benjamin Whiteman,36
54,,Andy Carroll,30
55,,Ben Sheaf,35
56,,Mark McGuinness,19
57,,Matt Ingram,22
58,,Daniel Barlaser,39
59,,Dominic Hyam,39
60,,Scott Malone,33
61,,Ciaran Clark,10
62,,Ellis Simms,17
63,,Ben Wilson,43
64,,Robert Atkinson,26
65,,Conor Townsend,46
66,,Darragh Lenihan,41
67,,John Egan,45
68,,Wesley Hoedt,15
69,,Ian Maatsen,39
70,,Daniel Bachmann,45
71,,Will Smallbone,43
72,,Kian Harratt,4
73,,Robert Apter,1
74,,Josh Cullen,43
75,,Marc Roberts,25
76,,Jack Clarke,45
77,,Connor Roberts,43
78,,Arijanet Murić,41
79,,Morgan Fox,40
80,,Jonathan Panzo,29
81,,Lee Nicholls,28
82,,Shaun Hutchinson,28
83,,Sander Berge,37
84,,Joshua Griffiths,10
85,,Angus Gunn,30
86,,Max Lowe,26
87,,Joël Piroe,43
88,,Tommy Doyle,33
89,,Matija Šarkić,8
90,,Amad Diallo,37
91,,Liam Lindsay,37
92,,Aden Flint,9
93,,Sam Field,46
94,,Josh Sargent,40
95,,Kyle McFadzean,35
96,,Ki-Jana Hoever,15
97,,Auston Trusty,44
98,,Viktor Gyökeres,46
99,,Aaron Ramsey,29
100,,Phil Jagielka,27
101,,Ryan Porteous,17
102,,Hamza Choudhury,36
103,,Kasey Palmer,29
104,,Christian Kabasele,25
105,,Jean Michaël Seri,37
106,,Alex Pritchard,40
107,,Conor Coventry,16
108,,Jordan Storey,44
109,,Ajibola-Joshua Alese,20
110,,Cédric Kipré,42
111,,Thomas Kaminski,28
112,,Ryan Wintle,45
113,,Hayden Carter,30
114,,Robbie Brady,34
115,,Max Power,45
116,,Hassane Kamara,32
117,,Daniel Ballard,19
118,,Adam Wharton,18
119,,Kevin Long,17
120,,Jacob Greaves,44
121,,Adam Davies,7
122,,Anass Zaroury,34
123,,Lewis Baker,44
124,,Jake Cooper,46
