#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Ryan Manning,0.12,0.05,58.14,1.35,0,0
2,,Oliver Norwood,0.04,0.02,57.14,1.09,0,0.2
3,,Ross Stewart,0.77,0.46,41.18,3.54,0.15,0
4,,Sam Tickle,0,0,100,0,0,0
5,,Gustavo Hamer,0.22,0.15,56.79,2.56,0,0
6,,João Pedro,0.31,0.11,57.14,2.37,0.06,0
7,,Josh Brownhill,0.17,0.1,58.62,1.39,0,0
8,,John Swift,0.13,0.07,57.38,1.42,0,0
9,,Taylor Harwood-Bellis,0.03,0.09,57.14,0.53,0.03,0
10,,Alfie Doughty,0.07,0.04,49.06,1,0,0
11,,James Shea,0,0,0,0,0,0
12,,Robbie Hemfrey,0,0,0,0,0,0
13,,Jordan Beyer,0.03,0,75,0.43,0.03,0
14,,Hjalmar Ekdal,0.11,0,66.67,0.11,0,0
15,,Imrân Louza,0.24,0.1,37.5,1.14,0,1.59
16,,Carlton Morris,0.45,0.16,56.92,2.61,0.14,0
17,,Gavin Kilkenny,0,0,0,0,0,0
18,,Luke McNally,0,0,77.78,0.62,0,0
19,,Zian Flemming,0.35,0.12,49.37,3.02,0.05,0.33
20,,James Bree,0,0,40.74,0.63,0,0
21,,Chuba Akpom,0.74,0.45,55.13,2.61,0.18,0
22,,Charlie Cresswell,0.14,0,73.33,1.21,0.11,0
23,,Josh Vickers,0,0,0,0,0,0
24,,Anel Ahmedhodžić,0.18,0.09,40,1.15,0.09,0
25,,Ben Wilmot,0.08,0.08,63.64,0.87,0.03,0
26,,Ilias Chair,0.13,0.15,46.67,2.43,0,0.5
27,,Viktor Johansson,0,0,0,0,0,0
28,,Iliman Ndiaye,0.3,0.22,61.2,1.52,0.04,0
29,,Cameron Archer,0.55,0.1,47.73,1.85,0.05,0
30,,Adama Traoré,0.08,0,70,0.83,0,0
31,,Tom Lockyer,0.08,0.1,69.23,0.72,0.05,0
32,,Cody Drameh,0,0.06,50,0.38,0,0
33,,Dara O'Shea,0.05,0.03,66.67,0.68,0.03,0
34,,Jack Robinson,0.11,0,75,0.56,0.04,0
35,,Daniel Grimshaw,0,0,0,0,0,0
36,,Matt Grimes,0.02,0.02,82.35,0.66,0,0
37,,Michał Helik,0.06,0.08,100,0.61,0.06,0
38,,Karl Darlow,0,0,100,0,0,0
39,,George Saville,0.05,0,50,0.76,0,0
40,,Przemysław Płacheta,0.2,0,81.25,2,0,0
41,,Keshi Anderson,0,0,75,0.89,0,0
42,,Jamilu Collins,0,0,50,0.25,0,0
43,,Ryan Giles,0,0.02,38.78,0.36,0,0
44,,Grant Hanley,0.03,0.05,66.67,0.56,0,0
45,,James McClean,0.07,0.07,64.18,1.26,0.02,0
46,,Oliver McBurnie,0.34,0.21,41.86,2.24,0.11,0
47,,Okay Yokuşlu,0.11,0.05,77.78,0.79,0,0
48,,Sean McLoughlin,0,0,83.33,0.41,0,0
49,,Thomas Ince,0.24,0.03,38.75,1.74,0,0.22
50,,Gabriel Sara,0.18,0.03,48.68,1.55,0,0
51,,Kal Naismith,0,0,78.57,0.64,0,0
52,,Daniel Ayala,0.04,0.04,60,0.44,0.04,0
53,,Benjamin Whiteman,0.08,0,75,0.97,0,0.56
54,,Andy Carroll,0.3,0.03,56.25,1.4,0.07,0
55,,Ben Sheaf,0.06,0.03,59.65,1.31,0,0
56,,Mark McGuinness,0,0.05,85.71,0.63,0,0
57,,Matt Ingram,0,0,100,0,0,0
58,,Daniel Barlaser,0.05,0.03,54.29,0.46,0,0
59,,Dominic Hyam,0.03,0,28.57,0.31,0,0
60,,Scott Malone,0,0,61.54,0.58,0,0
61,,Ciaran Clark,0.2,0.1,40,0.5,0.1,0
62,,Ellis Simms,0.41,0.12,25,1.88,0.06,0
63,,Ben Wilson,0.02,0,100,0.02,0,0
64,,Robert Atkinson,0.15,0,76.92,0.58,0.15,0
65,,Conor Townsend,0.07,0.07,52.38,0.85,0,1.09
66,,Darragh Lenihan,0,0.1,66.67,0.76,0,0
67,,John Egan,0.04,0.13,90,1.02,0.02,0
68,,Wesley Hoedt,0.07,0,83.33,0.33,0,0
69,,Ian Maatsen,0.1,0.03,47.17,0.92,0,1.28
70,,Daniel Bachmann,0,0,100,0,0,0
71,,Will Smallbone,0.07,0.16,30,1,0,0
72,,Kian Harratt,0.25,0,0,0.5,0.25,0
73,,Robert Apter,0,0,100,1,0,0
74,,Josh Cullen,0.02,0,90,0.67,0,0
75,,Marc Roberts,0,0.04,100,0.64,0,0
76,,Jack Clarke,0.2,0.11,55.63,1.4,0.02,0
77,,Connor Roberts,0.09,0.07,37.5,0.67,0,0
78,,Arijanet Murić,0,0,100,0,0,0
79,,Morgan Fox,0,0.03,81.25,0.53,0,0
80,,Jonathan Panzo,0.03,0.03,50,0.52,0.03,0
81,,Lee Nicholls,0,0,0,0,0,0
82,,Shaun Hutchinson,0,0.04,0,0.5,0,0
83,,Sander Berge,0.16,0.08,61.73,1.46,0,0
84,,Joshua Griffiths,0,0,0,0,0,0
85,,Angus Gunn,0,0,0,0,0,0
86,,Max Lowe,0.04,0,52.63,0.38,0,0
87,,Joël Piroe,0.44,0.44,52.7,3.33,0,0.58
88,,Tommy Doyle,0.09,0,60,1.33,0,0.87
89,,Matija Šarkić,0,0,0,0,0,0
90,,Amad Diallo,0.35,0.16,47.33,1.81,0,0
91,,Liam Lindsay,0,0.03,37.5,0.41,0,0
92,,Aden Flint,0,0.22,0,1.33,0,0
93,,Sam Field,0.04,0.02,72.22,0.43,0,0
94,,Josh Sargent,0.33,0.23,44.78,2.3,0.05,0
95,,Kyle McFadzean,0.06,0,66.67,0.43,0,0
96,,Ki-Jana Hoever,0.27,0,43.48,0.93,0.07,0
97,,Auston Trusty,0.09,0.05,54.17,0.41,0.05,0
98,,Viktor Gyökeres,0.46,0.41,37.8,2.98,0.04,0
99,,Aaron Ramsey,0.28,0.1,54.9,1.24,0.03,0
