#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Ryan Manning,1.95,1.26,0,1,0.02,0.51
2,,Oliver Norwood,2.41,1.67,0,1.72,0,0.91
3,,Ross Stewart,1,0.15,0,1.77,0,0.69
4,,Sam Tickle,0,0,0,1,0,0
5,,Gustavo Hamer,2.63,1.05,0,0.71,0.02,1.73
6,,João Pedro,1.6,0.66,0,0.57,0,0.4
7,,Josh Brownhill,2.22,0.93,0,0.73,0,0.8
8,,John Swift,0.96,0.4,0,0.31,0,0.76
9,,Taylor Harwood-Bellis,1.06,1.84,0,3.13,0,0.22
10,,Alfie Doughty,1.96,0.71,0,1.11,0,0.79
11,,James Shea,0,0,0,1,0,0
12,,Robbie Hemfrey,1,0,0,0,0,0
13,,Jordan Beyer,2.1,1.23,0,2.13,0,0.43
14,,Hjalmar Ekdal,2,0.33,0,2.33,0,0.44
15,,Imrân Louza,1.95,0.71,0,0.43,0,1.14
16,,Carlton Morris,0.55,0.07,0,1.11,0,0.48
17,,Gavin Kilkenny,2,0,0,0.33,0,0.33
18,,Luke McNally,2.05,2.24,0,4.52,0,0.57
19,,Zian Flemming,1,0.65,0,1.02,0,0.53
20,,James Bree,1.26,0.93,0,1.89,0,0.44
21,,Chuba Akpom,0.68,0.18,0,0.39,0,0.24
22,,Charlie Cresswell,1.5,1.29,0,3.11,0.07,0.46
23,,Josh Vickers,0,0,0,1.33,0,0
24,,Anel Ahmedhodžić,2.15,1.82,0.03,2.85,0,0.65
25,,Ben Wilmot,1.9,1.74,0.03,3.28,0,0.49
26,,Ilias Chair,0.78,0.45,0,0.25,0,0.55
27,,Viktor Johansson,0.02,0.05,0,1.02,0.02,0
28,,Iliman Ndiaye,1.52,0.46,0,0.11,0,0.48
29,,Cameron Archer,0.25,0.05,0,0.1,0,0.35
30,,Adama Traoré,1,0.33,0,0.17,0,0.83
31,,Tom Lockyer,1.23,1.62,0.03,4.95,0,0.56
32,,Cody Drameh,3.13,1.06,0,2.06,0,1.56
33,,Dara O'Shea,1.08,1.81,0,3.59,0,0.19
34,,Jack Robinson,1.26,1.19,0,2.85,0.04,0.19
35,,Daniel Grimshaw,0,0,0,1.06,0,0
36,,Matt Grimes,1.5,0.55,0,0.91,0,0.43
37,,Michał Helik,1.56,1.69,0,6.03,0.03,0.39
38,,Karl Darlow,0,0,0,1.25,0,0
39,,George Saville,2.14,1.5,0,1.33,0,1.1
40,,Przemysław Płacheta,1.4,0.4,0,1.2,0,0.6
41,,Keshi Anderson,1.67,0.56,0,0.78,0,0.44
42,,Jamilu Collins,2,4,0,2.75,0,0
43,,Ryan Giles,1.16,0.71,0,1.07,0,0.33
44,,Grant Hanley,1.15,1.72,0.03,4.1,0,0.26
45,,James McClean,2.59,0.96,0,1.46,0,1.3
46,,Oliver McBurnie,0.5,0.13,0,1.21,0,0.24
47,,Okay Yokuşlu,1.97,1.32,0,1.58,0,0.53
48,,Sean McLoughlin,0.81,1.59,0,4,0,0.3
49,,Thomas Ince,1.68,0.63,0,0.21,0,1.05
50,,Gabriel Sara,1.3,0.48,0,0.75,0.03,0.8
51,,Kal Naismith,2.08,1,0.04,2.84,0.08,0.72
52,,Daniel Ayala,1.16,1.44,0,4.12,0,0.24
53,,Benjamin Whiteman,2.03,1.67,0,2,0,0.83
54,,Andy Carroll,0.17,0.07,0,1.93,0,0.17
55,,Ben Sheaf,2.97,1.63,0,1.11,0,1.54
56,,Mark McGuinness,1.16,2.21,0,5.11,0.05,0.53
57,,Matt Ingram,0,0,0,0.68,0.05,0.05
58,,Daniel Barlaser,1.36,0.69,0,0.72,0,0.62
59,,Dominic Hyam,1.51,1.1,0,4.49,0,0.49
60,,Scott Malone,1.52,0.55,0,0.39,0,0.42
61,,Ciaran Clark,2,1.3,0,2.9,0,0.4
62,,Ellis Simms,0.24,0.12,0,0.65,0,0.06
63,,Ben Wilson,0.05,0.05,0,0.51,0,0
64,,Robert Atkinson,1.62,1.38,0,3.42,0,0.54
65,,Conor Townsend,1.57,1.15,0.02,1.98,0,0.28
66,,Darragh Lenihan,0.93,1,0.02,3.49,0,0.24
67,,John Egan,1.29,1.78,0.02,4.22,0.07,0.29
68,,Wesley Hoedt,1.73,1.67,0,4,0,0.8
69,,Ian Maatsen,1.95,1.36,0,1.28,0,0.72
70,,Daniel Bachmann,0.04,0.02,0,0.89,0.02,0
71,,Will Smallbone,1.74,0.91,0,0.53,0,1.23
72,,Kian Harratt,0,0,0,0,0,0.25
73,,Robert Apter,2,0,0,0,0,0
74,,Josh Cullen,1.47,1.28,0.02,1,0.02,1.02
75,,Marc Roberts,1.08,0.92,0.04,5.44,0,0.52
76,,Jack Clarke,1.6,0.62,0,0.76,0,0.62
77,,Connor Roberts,1.09,0.58,0.02,1.42,0.02,0.4
78,,Arijanet Murić,0.05,0.02,0.02,0.66,0.02,0
79,,Morgan Fox,2.15,1.13,0,2.65,0,0.48
80,,Jonathan Panzo,1.55,1.72,0,2.9,0,0.34
81,,Lee Nicholls,0.04,0,0,0.79,0.04,0
82,,Shaun Hutchinson,1.68,1.57,0,2.82,0,0.39
83,,Sander Berge,1.24,0.41,0,0.57,0,0.3
84,,Joshua Griffiths,0,0,0,0.7,0.1,0
