#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Ryan Manning,0.26,0,58.33,64.17,2.21,0.95
2,,Oliver Norwood,0.15,0,50,59.43,0.61,0.61
3,,Ross Stewart,0,0,48.94,48.82,1.31,1
4,,Sam Tickle,0,0,0,100,0,0
5,,Gustavo Hamer,0.15,0.05,32,47.57,0.83,1.68
6,,João Pedro,0.2,0,48.28,53.11,2.26,1.11
7,,Josh Brownhill,0.22,0,52.73,50,0.51,1.59
8,,John Swift,0.07,0,44.12,44.76,0.73,0.6
9,,Taylor Harwood-Bellis,0.19,0,62.5,63.43,0.31,0.47
10,,Alfie Doughty,0.36,0,64.79,50.77,0.18,1.36
11,,James Shea,0,0,0,0,0,0
12,,Robbie Hemfrey,0,0,0,100,0,0
13,,Jordan Beyer,0.17,0,57.76,65.4,0.8,0.5
14,,Hjalmar Ekdal,0.11,0,66.67,64.63,1,0.89
15,,Imrân Louza,0.33,0,62.07,46.99,0.86,1.52
16,,Carlton Morris,0.25,0,51.45,45.42,0.93,1.5
17,,Gavin Kilkenny,0.33,0,50,69.23,0.67,0.33
18,,Luke McNally,0.05,0,69.49,67.77,0.52,0.67
19,,Zian Flemming,0.07,0,66.94,49.88,1.07,1.49
20,,James Bree,0.11,0,54.55,51.28,0.48,0.89
21,,Chuba Akpom,0.13,0,40.27,50.12,2.24,0.84
22,,Charlie Cresswell,0.14,0,60.58,59.83,0.54,0.86
23,,Josh Vickers,0,0,100,100,0.33,0
24,,Anel Ahmedhodžić,0.35,0,56.3,54.11,0.62,1.18
25,,Ben Wilmot,0.15,0,52.73,59.95,0.64,0.51
26,,Ilias Chair,0.05,0,21.05,38.8,0.53,0.55
27,,Viktor Johansson,0.07,0,72.73,83.78,0.37,0
28,,Iliman Ndiaye,0.13,0,19.57,47.89,1.59,1.04
29,,Cameron Archer,0.05,0,4.35,29.85,0.65,0.9
