#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Ryan Manning,0.33,0.23,52.77,81.84,12.63,38.79
2,,Oliver Norwood,0.2,0.11,53.76,78.33,13.07,48.65
3,,Ross Stewart,0.08,0.23,25.85,68.75,6.38,65
4,,Sam Tickle,0,0,30,70,2,35.71
5,,Gustavo Hamer,0.39,0.24,45.2,72.58,12,49.84
6,,João Pedro,0.23,0.11,35.09,74.76,10.49,58.76
7,,Josh Brownhill,0.22,0.2,48.12,82.67,15.73,42.4
8,,John Swift,0.49,0.2,32.6,82.14,11.13,58.82
9,,Taylor Harwood-Bellis,0.13,0.06,81.06,85.27,7.53,48.76
10,,Alfie Doughty,0.21,0.14,27.54,69.65,7.18,38.78
11,,James Shea,0,0,31,41.94,0,10
12,,Robbie Hemfrey,0,0,15,60,0,53.85
13,,Jordan Beyer,0.03,0.1,75.17,91.57,4.2,66.67
14,,Hjalmar Ekdal,0.11,0.11,82.44,87.47,6.44,40.3
15,,Imrân Louza,0.24,0.19,47.71,83.93,10.9,49.57
16,,Carlton Morris,0.25,0.16,21.02,64.97,6.98,48.57
17,,Gavin Kilkenny,0.33,0,16,83.33,3,42.86
18,,Luke McNally,0,0,34.95,70.44,2.43,25.93
19,,Zian Flemming,0.23,0.07,22.58,69.82,6.23,46.99
20,,James Bree,0.48,0.15,30.93,70.3,9.11,36.29
21,,Chuba Akpom,0.05,0.05,18.08,81.8,5.76,80.49
22,,Charlie Cresswell,0.07,0.07,39.71,70.77,4.04,41.42
23,,Josh Vickers,0,0,23,55.07,6.33,54.41
24,,Anel Ahmedhodžić,0.12,0.06,36.44,75.3,6.38,41.46
25,,Ben Wilmot,0.05,0,52.69,75.23,6.26,47.05
26,,Ilias Chair,0.3,0.23,34.53,81.54,13.25,44.68
27,,Viktor Johansson,0,0,29.37,33.49,3.65,29.44
28,,Iliman Ndiaye,0.22,0.22,22.54,82.26,8.72,48
29,,Cameron Archer,0.25,0.3,16.2,80.56,5.8,50
30,,Adama Traoré,0.5,0.17,24.92,85.95,7.5,100
31,,Tom Lockyer,0.03,0.03,40.82,67.78,4.41,44.07
32,,Cody Drameh,0.06,0.13,29.5,72.88,8.88,44.59
33,,Dara O'Shea,0,0.03,63.54,83.41,4.51,54.63
34,,Jack Robinson,0,0.04,40.81,74.59,5.11,30.23
35,,Daniel Grimshaw,0.06,0,31.28,61.63,2.22,39.94
36,,Matt Grimes,0.14,0.16,95.82,91.18,16.66,51.01
37,,Michał Helik,0.06,0.06,37.28,73.92,1.81,35.43
38,,Karl Darlow,0,0,44.92,76.25,1.17,32.42
39,,George Saville,0.02,0,28.93,73.66,6.86,48.2
40,,Przemysław Płacheta,0,0,26.2,70.99,5.2,25
41,,Keshi Anderson,0.11,0.22,24.22,82.11,7.44,83.33
42,,Jamilu Collins,0,0,31,77.42,6.5,39.13
43,,Ryan Giles,0.51,0.24,38.11,78.78,7.78,27.98
44,,Grant Hanley,0.03,0.03,53.87,86.39,2.77,54.85
45,,James McClean,0.2,0.17,33.04,71.32,6.54,25
46,,Oliver McBurnie,0.13,0.05,17.34,62.97,5.18,46.15
47,,Okay Yokuşlu,0.03,0,40.03,83.1,6.37,63.1
48,,Sean McLoughlin,0.11,0.04,55.3,83.46,2.89,36.84
49,,Thomas Ince,0.13,0.11,27.47,78.45,9.13,48.82
50,,Gabriel Sara,0.15,0.1,37.3,79.96,10.25,55.06
51,,Kal Naismith,0.12,0.08,56.4,73.26,6.2,43.03
52,,Daniel Ayala,0.04,0.04,47.28,87.31,0.84,58.46
53,,Benjamin Whiteman,0.08,0.06,39.22,78.33,7.5,38.76
54,,Andy Carroll,0.07,0.07,17.8,51.69,3.67,48.48
55,,Ben Sheaf,0.06,0.06,44.86,80.32,10.31,48.89
56,,Mark McGuinness,0.16,0,36.26,76.2,2,47.83
57,,Matt Ingram,0,0,36,69.82,0.68,35.81
58,,Daniel Barlaser,0.28,0.21,43.95,77.07,11.03,44.9
59,,Dominic Hyam,0.08,0.05,69.08,84.93,2.56,52.35
60,,Scott Malone,0.03,0.12,17.18,67.9,4.97,47.95
61,,Ciaran Clark,0,0,31.1,68.81,3.6,29.41
62,,Ellis Simms,0.29,0.12,14.88,64.82,4.12,50
63,,Ben Wilson,0,0,24.93,54.66,1.14,29.87
64,,Robert Atkinson,0.04,0.04,41.12,75.3,4.31,37.61
65,,Conor Townsend,0.09,0.07,41.98,75.92,8.83,35.14
66,,Darragh Lenihan,0.12,0.07,70.02,84.43,4.93,44.41
67,,John Egan,0.09,0.02,48.04,75.99,2.76,39
68,,Wesley Hoedt,0,0,58.2,79.73,5.87,60.45
69,,Ian Maatsen,0.28,0.15,57.31,83.49,12.59,41.15
70,,Daniel Bachmann,0.02,0,24.44,63,0.64,30.24
71,,Will Smallbone,0.16,0.12,30.95,77.16,8.98,48.78
72,,Kian Harratt,0,0,1.75,57.14,0.25,0
73,,Robert Apter,0,0,11,72.73,4,0
74,,Josh Cullen,0.07,0.09,71.21,88.08,15.02,51.29
75,,Marc Roberts,0.04,0.04,27.08,61.3,2.6,35.62
76,,Jack Clarke,0.16,0.24,25.87,75.17,7.42,49.62
77,,Connor Roberts,0,0.14,62.95,87.66,14.63,51.37
78,,Arijanet Murić,0.02,0,34.17,80.23,0.83,49
79,,Morgan Fox,0.08,0.08,50.23,73.17,7.6,39.15
80,,Jonathan Panzo,0,0.03,37.76,83.2,4.79,50
