#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Ryan Manning,0,0.21,0,0,1.09,0.16
2,,Oliver Norwood,0,0.33,0,0,0.72,0.09
3,,Ross Stewart,0,0.23,0,0,0.92,0.15
4,,Sam Tickle,2,1,0,0,0,0
5,,Gustavo Hamer,0,0.24,0,0,0.98,0.02
6,,João Pedro,0,0.14,0,0,0.89,0.03
7,,Josh Brownhill,0,0.37,0,0,0.61,0.02
8,,John Swift,0,0.04,0,0,0.64,0.22
9,,Taylor Harwood-Bellis,0,0.34,0,0,0.84,0.03
10,,Alfie Doughty,0,0.32,0,0,0.64,0.04
11,,James Shea,1,1,0,0,0,0
12,,Robbie Hemfrey,5,0,0,0,0,1
13,,Jordan Beyer,0,0.47,0,0,0.63,0.03
14,,Hjalmar Ekdal,0,0.44,0,0,0.22,0
15,,Imrân Louza,0,0.19,0,0,1.05,0
16,,Carlton Morris,0,0.09,0,0,0.61,0.05
17,,Gavin Kilkenny,0,0,0,0,0.33,0
18,,Luke McNally,0,0.38,0,0,0.67,0.05
19,,Zian Flemming,0,0.19,0,0,0.77,0.19
20,,James Bree,0,0.37,0,0,0.89,0.19
21,,Chuba Akpom,0,0.11,0,0,0.84,0.18
22,,Charlie Cresswell,0,0.18,0,0,0.96,0.18
23,,Josh Vickers,2.67,0.33,0.33,0.33,1,0
24,,Anel Ahmedhodžić,0,0.47,0,0,0.53,0.09
25,,Ben Wilmot,0,0.31,0,0,0.9,0.13
26,,Ilias Chair,0,0.03,0,0,1.15,0.13
27,,Viktor Johansson,3.72,0.3,0.14,0.02,1.19,0.12
28,,Iliman Ndiaye,0,0.17,0,0,0.65,0.07
29,,Cameron Archer,0,0.1,0,0,0.8,0.05
30,,Adama Traoré,0,0.17,0,0,0.92,0
31,,Tom Lockyer,0,0.41,0,0,0.77,0.08
32,,Cody Drameh,0,0.44,0,0,0.38,0
33,,Dara O'Shea,0,0.38,0,0,0.78,0.27
34,,Jack Robinson,0,0.37,0,0,0.59,0.07
