#,Team,Name
1,,José Quintero
2,,Richard Schunke
3,,Ricardo Adé
4,,Bruno Duarte
5,,Agustín García Basso
6,,Anthony Landázuri
7,,Yeltzin Erique
8,,Diogo Bagui
9,,Luis Fernando León
10,,Luis Cangá
11,,Fausto Grillo
12,,Teodoro Paredes
13,,Facundo Rodríguez
14,,Daykol Romero
15,,Carlos Rolón
16,,Anibal Chalá
17,,Carlos Rodríguez
18,,Aníbal Leguizamón
19,,Jhonnier Chala
20,,Franklin Guerra
21,,Caín Fara
22,,Tomás Oneto
23,,Jerry Parrales
24,,Jhon Ontaneda
25,,Gabriel Achilier
26,,Joao Quinones
27,,Bryan Ramirez
28,,Ángel Gracia
29,,Luca Sosa
30,,Luis Castillo
31,,Dennis Quintero
32,,Leonel Quiñónez
33,,Facundo Rivero
34,,Arián Pucheta
35,,Marcos Andrés López
36,,Joel Quintero
37,,Byron Mina
38,,Aubrey David
39,,Maikel Reyes
40,,Pedro Velasco
41,,Guillermo Fratta
42,,Jefferson Nazareno
43,,Darío Aimar
44,,Davor Montiel
45,,Carlos Uvilde Sanchez Esmeraldas
46,,Mateo Carabajal
47,,Layan Loor
48,,Edison Carcelen
49,,Jimmy Mina
50,,Nicolás Goitea
51,,Joshue Quinonez
52,,Gustavo Cortez
53,,Mayckel Uriarte
54,,Ousmane N’Dong
55,,Kevin Becerra
56,,Roger Arias
57,,Andrés Felipe Ávila
58,,Luciano Recalde
59,,Luis Caicedo
60,,Jordan Chillambo
61,,Jonnathan Mina
62,,Richard Mina
63,,Darwin Torres
64,,José Hernández
65,,Wilker Ángel
66,,Marco Alexander Carrasco Bonilla
67,,Ronny Biojo
68,,Darwin Estuardo Quilumba Diaz
69,,Marco Montaño
70,,Alex Rangel
71,,Romario Caicedo
72,,Guillermo Rendón
73,,Marlon Medranda
74,,Bryan Carabalí
75,,Ariel Garcia
76,,Andres Campas
77,,Mario Pineida
78,,Pablo Cifuentes
79,,Henry Mercado
80,,Jhon Narvaez
81,,Óscar Quiñónez
82,,Glendys Mina
83,,Orlin Quinonez
84,,Bryan Rivera
85,,Pedro Perlaza
86,,Jhoanner Chávez
87,,Robinson Requene
88,,Daniel Patino
89,,Carlos Cuero
90,,Rommel Cabezas
91,,Gregori Anangonó
92,,Milton Bolaños
93,,Cristian Enciso
94,,Eddie Guevara
95,,Edwin Mesa
96,,Segundo Portocarrero
97,,Luis Romero
98,,Yardely Rodriguez
99,,Beder Caicedo
100,,Juan Alvacete
101,,Bleiner Agrón
102,,Andres Arroyo
103,,Bryan Nazareno
104,,Richard Farias
105,,William Vargas
106,,Federico Arbeláez
107,,Byron Torrez
108,,Andy Burbano
109,,Jonnathan Bravo
110,,Roberto Luzárraga
111,,Marlon Mejía
112,,Edgar Lastre
113,,Jhonnier Estrada
114,,Dubar Enríquez
115,,Marlon Quiñónez
116,,Franklin Carabali
117,,Silvio Gutiérrez
118,,Carlos Medina
119,,Moisés Corozo
120,,Jose Luis Monaga Quinonez
121,,Rody Zambrano
122,,Yeison Nazareno
123,,Josué Cuero
124,,Christian Cruz
125,,Kevin Peralta
126,,José Orlando Pérez
127,,Jeremy Del Castillo
128,,Diego Corozo
129,,Jordan Morán
130,,Andres Garcia
131,,Henry Quinonez
132,,Facundo Queiroz
133,,Marcelo Mantilla
134,,Yerlin Quinonez
135,,Matias Ferreira
136,,Elkin Ruiz
137,,Byron Carabalí
138,,Jeison Mina
139,,Luis Cordova
140,,Yuber Mosquera
141,,Jeison Alfonso Dominguez
142,,Anderson Ordóñez
143,,Efrain Garcia
