#,Team,Name
1,,Brian Heras
2,,Alexander Domínguez
3,,Rafael Romo
4,,Hernán Galíndez
5,,Pedro Ortiz
6,,Damián Frascarelli
7,,Benjamin Cardenas
8,,Leodan Chalá
9,,Javier Burrai
10,,Hamilton Piedra
11,,Gonzalo Valle
12,,Leonel Nazareno
13,,Moisés Ramírez
14,,Alexis Villa
15,,Dennis Corozo
16,,Victor Mendoza
17,,Wilman Pabón
18,,Rolando David Silva
19,,Ethan Minda
20,,Johan Lara
21,,Walter Hinostroza
22,,Juan Bolado
23,,David Cabezas
24,,Jorge Pinos
25,,Walter Chavez
26,,Álvaro Preciado
27,,José Luis Angulo
28,,Kleber Pinargote Lara
29,,Adrián Bone
30,,Erick Viveros
31,,Diego Espinosa
32,,Adrián Gabbarini
33,,Alexander Eras
34,,Humberto Acevedo
35,,Darwin Cuero
36,,Juan Martin Rojas
37,,Eduardo Bores
38,,Carlos Ortiz
39,,Jose Cevallos
40,,Alexi Lemos
41,,Gilmar Napa
42,,Lenin Alex Usca
