#,Team,Name,Appearances
1,,Ronie Carrillo,15
2,,Brian Heras,14
3,,Joaquín Vergés,30
4,,Mauro Díaz,21
5,,Alexander Domínguez,27
6,,Alexander Alvarado,31
7,,Rafael Romo,23
8,,Rómulo Otero,25
9,,Alex Mendoza,1
10,,Hernán Galíndez,23
11,,Michael Hoyos,24
12,,Sergio López,15
13,,Damián Díaz,24
14,,Facundo Martinez,28
15,,Lucas Mancinelli,26
16,,Jean Carlos Blanco,20
17,,José Quintero,23
18,,Pedro Ortiz,30
19,,Damián Frascarelli,7
20,,Braian Oyola,30
21,,Junior Sornoza,26
22,,Jeison Medina,15
23,,Hancel Batalla,22
24,,Richard Schunke,14
25,,Benjamin Cardenas,3
26,,Ricardo Adé,28
27,,Bruno Duarte,14
28,,Ismael Díaz,20
29,,Agustín García Basso,27
30,,Byron Palacios,26
31,,Miller Bolaños,15
32,,Nicolás Rinaldi,27
33,,Andrés Parrales,26
34,,Anthony Landázuri,23
35,,Francisco Fydriszewski,27
36,,Renato Ibarra,26
37,,Jaime Ayoví,14
38,,Alexis Zapata,9
39,,Facundo Castelli,12
40,,José Cevallos,25
41,,Yeltzin Erique,1
42,,Diogo Bagui,1
43,,Richard Borja,2
44,,Jefferson Valverde,18
45,,Alexander Bolaños,24
46,,Dario Pazmino,8
47,,Leodan Chalá,12
48,,Yerson Candelo,15
49,,Diego García,26
50,,Bagner Delgado,17
51,,Luis Fernando León,25
52,,Luis Cangá,26
53,,Raúl Becerra,28
54,,Javier Burrai,22
55,,Arón Rodríguez,28
56,,Fausto Grillo,14
57,,Teodoro Paredes,27
58,,Luis Estupiñan,27
59,,Kevin Minda,27
60,,Kendry Páez,24
61,,Hamilton Piedra,28
62,,Facundo Rodríguez,26
63,,Jordy Alcivar,25
64,,Tobías Donsanti,7
65,,Samuel Sosa,17
66,,Maicon Solís,28
67,,Luis Cano,24
68,,Óscar Zambrano,24
69,,Gonzalo Valle,28
70,,Daykol Romero,15
71,,Ezequiel Piovi,27
72,,Lorenzo Faravelli,24
73,,Willian Cevallos,17
74,,Carlos Rolón,12
75,,Leonel Nazareno,26
76,,Mauricio Martínez,21
77,,Michael Carcelén,15
78,,Anibal Chalá,12
79,,Erick Plúas,29
80,,Kavier Ortiz,5
81,,Christian Alemán,1
82,,Alex Capuz,1
83,,Lisandro Alzugaray,30
84,,Juan Carlos Paredes,29
85,,Carlos Rodríguez,27
86,,Aníbal Leguizamón,26
87,,Jhonnier Chala,27
88,,Alejandro Cabeza,15
89,,Arnaldo Zambrano,7
90,,Paolo Guerrero,13
91,,Moisés Ramírez,23
92,,Jose Enrique Angulo,22
93,,Alexis Villa,5
94,,Franklin Guerra,29
95,,Cristhian Solano,30
96,,Diego Ledesma,26
97,,Nicolas Sottile,4
98,,Caín Fara,12
99,,Nixon Molina,23
100,,Elvis Patta,30
101,,Alan Minda,6
102,,Tomás Oneto,14
103,,Thiago Serpa,14
104,,Sergio Gonzalez,30
105,,Edison Caicedo,20
106,,Jordan Rezabala,21
107,,Gabriel Cortez,24
108,,Jhon Cifuente,28
109,,Jerry Parrales,25
110,,Jhojan Julio,27
111,,Bryan García,7
112,,Alexis Rodríguez,30
113,,Jan Hurtado,10
114,,Jhon Ontaneda,27
115,,Dennis Corozo,13
116,,Agustín Rodríguez,10
117,,Juan Ruiz Gómez,29
118,,Gabriel Achilier,29
119,,Eber Caicedo,10
120,,Juan Anangonó,11
121,,Joao Quinones,11
122,,Byron Angulo,28
123,,Robert Burbano,29
124,,Jorge Ordóñez,24
125,,Bryan Ramirez,25
126,,Ángel Gracia,3
127,,Andrés Sánchez,8
128,,Jorge Gongora,22
129,,Cristian García,26
130,,Matías Fernández,20
131,,Luca Sosa,29
132,,Elian Carabali,12
133,,Sebastián González,22
134,,Joseph Espinoza,19
135,,Luis Castillo,11
136,,Victor Mendoza,8
137,,Leonai Souza de Almeida,24
138,,Dennis Quintero,25
139,,Kelvin Osorio,10
140,,Jesús Trindade,15
141,,Juan Nazareno,6
142,,Wilman Pabón,10
143,,Francisco Gatti,12
144,,Rolando David Silva,30
145,,Leonel Quiñónez,23
146,,Facundo Rivero,21
147,,Christian Ortíz,25
148,,David Noboa,19
149,,Angel Quiñonez,17
150,,Arián Pucheta,23
151,,Esteban Davila,26
152,,Renny Jaramillo,28
153,,Marcos Andrés López,30
154,,Kevin Rodriguez,16
155,,Anderson Naula,30
156,,David Ribeiro Pereira,7
157,,Joel Quintero,1
158,,Byron Mina,4
159,,Aubrey David,6
