#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Ronie Carrillo,0.6,0.27,53.33,4,0,0
2,,Brian Heras,0,0,0,0,0,0
3,,Joaquín Vergés,0.37,0.17,43.59,2.83,0,0.51
4,,Mauro Díaz,0.29,0,68.42,1.29,0,0
5,,Alexander Domínguez,0,0,0,0,0,0
6,,Alexander Alvarado,0.32,0.06,56.1,1.9,0,0.27
7,,Rafael Romo,0,0,0,0,0,0
8,,Rómulo Otero,0.08,0,62.5,2.12,0,0.16
9,,Alex Mendoza,1,0,0,1,0,0
10,,Hernán Galíndez,0,0,0,0,0,0
11,,Michael Hoyos,0.5,0.17,30.77,2.79,0.17,0
12,,Sergio López,0.27,0,47.62,3.13,0.07,0.95
13,,Damián Díaz,0.42,0.04,50,1.54,0.04,0
14,,Facundo Martinez,0.04,0.04,58.62,0.96,0,0
15,,Lucas Mancinelli,0.12,0.08,41.67,1.96,0,0
16,,Jean Carlos Blanco,0.65,0.25,63.64,2,0.25,0
17,,José Quintero,0.22,0.04,57.89,0.91,0.04,0
18,,Pedro Ortiz,0,0,0,0,0,0
19,,Damián Frascarelli,0,0,0,0,0,0
20,,Braian Oyola,0.27,0.1,65,1.43,0,0
21,,Junior Sornoza,0.12,0.19,50,2,0,0
22,,Jeison Medina,0.53,0.13,33.33,1.67,0.2,0
23,,Hancel Batalla,0.27,0,40.48,1.5,0,1.3
24,,Richard Schunke,0,0.07,66.67,0.5,0,0
25,,Benjamin Cardenas,0,0,0,0,0,0
26,,Ricardo Adé,0,0,83.33,0.61,0,0
27,,Bruno Duarte,0.07,0,100,0.79,0.07,0
28,,Ismael Díaz,0.4,0.5,59.21,2.85,0.05,0
29,,Agustín García Basso,0.07,0,70,0.52,0,1.23
30,,Byron Palacios,0.27,0.15,67.57,1.62,0.04,0
31,,Miller Bolaños,0.53,0.4,33.33,2.27,0,0
32,,Nicolás Rinaldi,0.04,0.04,35.29,1.07,0.04,0
33,,Andrés Parrales,0.62,0.15,41.18,2.38,0.15,0.77
34,,Anthony Landázuri,0.04,0,66.67,0.78,0.04,0
35,,Francisco Fydriszewski,0.44,0.07,61.54,2.3,0.04,0
36,,Renato Ibarra,0.12,0.04,50,1.85,0.04,0
37,,Jaime Ayoví,0.36,0.07,36.84,2.29,0,0
38,,Alexis Zapata,0.22,0,57.89,1.33,0,5.56
39,,Facundo Castelli,0.33,0.25,20,3,0.08,0
40,,José Cevallos,0.12,0.16,63.64,1.24,0,0
41,,Yeltzin Erique,0,0,0,0,0,0
42,,Diogo Bagui,0,0,0,0,0,0
43,,Richard Borja,0,0,100,0.5,0,0
44,,Jefferson Valverde,0,0,66.67,1.94,0,0
45,,Alexander Bolaños,0.29,0.17,48.89,2.04,0.04,0
46,,Dario Pazmino,0,0,63.64,1.25,0,0
47,,Leodan Chalá,0,0,0,0,0,0
48,,Yerson Candelo,0.07,0,66.67,0.6,0,0
49,,Diego García,0.04,0.04,54.39,1.5,0,0
50,,Bagner Delgado,0.12,0,57.14,0.82,0,0
51,,Luis Fernando León,0,0.04,40,0.64,0,0
52,,Luis Cangá,0.04,0,66.67,0.69,0,0
53,,Raúl Becerra,0.36,0.21,57.14,2,0.14,0
54,,Javier Burrai,0,0,0,0,0,0
55,,Arón Rodríguez,0.18,0.18,38.6,2.43,0,0
56,,Fausto Grillo,0,0,66.67,0.64,0,0
57,,Teodoro Paredes,0.11,0,83.33,0.48,0,0
58,,Luis Estupiñan,0.11,0,35,1.04,0,0
59,,Kevin Minda,0.11,0.07,81.82,1.15,0,0
60,,Kendry Páez,0.21,0.21,57.58,1.75,0,1.04
61,,Hamilton Piedra,0,0,0,0,0,0
62,,Facundo Rodríguez,0.04,0.04,100,0.35,0,0
63,,Jordy Alcivar,0.12,0,50,1,0,0
64,,Tobías Donsanti,0.14,0.14,46.67,2.14,0.14,0
65,,Samuel Sosa,0.12,0,51.85,1.82,0,0
66,,Maicon Solís,0.25,0.04,42.62,1.64,0,0
67,,Luis Cano,0.17,0.08,41.67,0.67,0,0
68,,Óscar Zambrano,0,0,57.14,0.75,0,0
69,,Gonzalo Valle,0,0,0,0,0,0
70,,Daykol Romero,0,0,38.1,0.73,0,0
71,,Ezequiel Piovi,0,0,43.75,0.78,0,0
72,,Lorenzo Faravelli,0.08,0.04,25,1.17,0,0
73,,Willian Cevallos,0.18,0.06,28.57,1.76,0,0.49
74,,Carlos Rolón,0,0,100,0.83,0,0
75,,Leonel Nazareno,0,0,100,0,0,0
76,,Mauricio Martínez,0.1,0,68.18,1.24,0,0
77,,Michael Carcelén,0.07,0,45.83,1.13,0,0
78,,Anibal Chalá,0.17,0.17,29.41,0.92,0,0
79,,Erick Plúas,0,0,59.09,0.38,0,0
80,,Kavier Ortiz,0.2,0.2,55.56,2.8,0,0
81,,Christian Alemán,0,0,100,0,0,0
82,,Alex Capuz,0,0,0,1,0,0
83,,Lisandro Alzugaray,0.17,0.33,52.63,2.03,0.03,0
84,,Juan Carlos Paredes,0.03,0,57.89,0.62,0,0
85,,Carlos Rodríguez,0.11,0,33.33,0.56,0.07,0
86,,Aníbal Leguizamón,0.08,0.08,50,0.5,0.04,0
87,,Jhonnier Chala,0.11,0.04,33.33,0.59,0.04,0
88,,Alejandro Cabeza,0.2,0.13,55.56,1.4,0,0
89,,Arnaldo Zambrano,0,0.14,75,1.29,0,0
90,,Paolo Guerrero,0.38,0.15,42.86,1.77,0,0
91,,Moisés Ramírez,0,0,100,0,0,0
92,,Jose Enrique Angulo,0.23,0.18,42.31,2,0,0
