#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Ronie Carrillo,0.33,0.13,0,0.47,0,0.07
2,,Brian Heras,0,0,0,0.5,0,0
3,,Joaquín Vergés,1.53,0.6,0,0.37,0,0.43
4,,Mauro Díaz,0.86,0.57,0,0.1,0,0.48
5,,Alexander Domínguez,0.04,0,0,0.26,0,0
6,,Alexander Alvarado,0.9,0.19,0,0.1,0,0.19
7,,Rafael Romo,0,0,0,1.04,0,0.09
8,,Rómulo Otero,0.72,0.16,0,0.2,0,0.32
9,,Alex Mendoza,0,0,0,0,0,0
10,,Hernán Galíndez,0.04,0,0,0.74,0,0.04
11,,Michael Hoyos,0.33,0.25,0,0.21,0,0.42
12,,Sergio López,0.47,0.27,0,0.2,0,0.33
13,,Damián Díaz,0.63,0.38,0,0.17,0,0.38
14,,Facundo Martinez,1.68,0.71,0,1,0,0.54
15,,Lucas Mancinelli,0.46,0.23,0,0.08,0,0.65
16,,Jean Carlos Blanco,0.35,0.1,0,0.45,0,0.35
17,,José Quintero,1.22,0.83,0,1.61,0,0.35
18,,Pedro Ortiz,0,0,0,0.33,0,0.03
19,,Damián Frascarelli,0,0,0,0.86,0,0
20,,Braian Oyola,0.73,0.27,0,0.33,0,0.47
21,,Junior Sornoza,0.38,0.12,0,0.08,0,0.15
22,,Jeison Medina,0.13,0.07,0,0.33,0,0.07
23,,Hancel Batalla,0.64,0.41,0,0.86,0,0.23
24,,Richard Schunke,0.86,1.14,0,3.21,0,0.29
25,,Benjamin Cardenas,0,0,0,2.33,0,0
26,,Ricardo Adé,1.11,1.29,0.11,3.29,0,0.29
27,,Bruno Duarte,1.07,2.86,0,5,0,0.07
28,,Ismael Díaz,0.45,0.4,0,0.15,0,0.25
29,,Agustín García Basso,0.67,0.74,0.04,1.52,0,0.15
30,,Byron Palacios,0.27,0.19,0,0.31,0,0.04
31,,Miller Bolaños,0.47,0.2,0,0.13,0,0.2
32,,Nicolás Rinaldi,1.96,1,0,0.93,0,1
33,,Andrés Parrales,0.27,0.04,0.04,0.77,0,0.5
34,,Anthony Landázuri,0.96,0.91,0,1.48,0,0.22
35,,Francisco Fydriszewski,0.56,0.26,0,0.3,0,0.26
36,,Renato Ibarra,0.88,0.19,0,0.19,0,0.35
37,,Jaime Ayoví,0.29,0.07,0,1.43,0,0.21
38,,Alexis Zapata,0.56,0.33,0,0.22,0,0.22
39,,Facundo Castelli,0.92,0.08,0,0.92,0,0.25
40,,José Cevallos,0.88,0.36,0,0.72,0,0.44
41,,Yeltzin Erique,0,0,0,6,0,0
42,,Diogo Bagui,1,0,0,9,0,0
43,,Richard Borja,1,0,0,0,0,0.5
44,,Jefferson Valverde,1.94,1.44,0.06,0.78,0,0.72
45,,Alexander Bolaños,0.96,0.25,0,0.21,0,0.17
