#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Ronie Carrillo,0.07,0,43.88,41.95,1.13,1.67
2,,Brian Heras,0.14,0.07,66.67,85.71,0.29,0
3,,Joaquín Vergés,0.2,0,37.04,50,1.03,1
4,,Mauro Díaz,0.29,0,50,62.26,2.38,0.95
5,,Alexander Domínguez,0.07,0,100,100,0.04,0
6,,Alexander Alvarado,0.23,0,60,52.13,1.23,1.1
7,,Rafael Romo,0.09,0,75,75,0.26,0
8,,Rómulo Otero,0.08,0,53.33,65.79,3.36,0.56
9,,Alex Mendoza,1,0,0,0,0,1
10,,Hernán Galíndez,0.04,0,50,60,0.04,0
11,,Michael Hoyos,0.04,0,54.05,44.83,1.38,1
12,,Sergio López,0.2,0.13,37.5,46.53,1.2,0.8
13,,Damián Díaz,0.29,0.04,33.33,49.18,1.13,0.42
14,,Facundo Martinez,0.29,0.04,61.76,54.75,1.29,1.43
15,,Lucas Mancinelli,0.08,0,17.39,48.84,2.04,0.69
16,,Jean Carlos Blanco,0.25,0,41.77,40.54,0.65,0.9
17,,José Quintero,0,0.09,84,63.08,0.96,1
18,,Pedro Ortiz,0.03,0,100,85.71,0.1,0.03
19,,Damián Frascarelli,0.29,0.14,50,50,0,0
20,,Braian Oyola,0.07,0,10,54.7,1.77,1.03
21,,Junior Sornoza,0.23,0,23.08,47.87,0.77,0.42
22,,Jeison Medina,0.27,0,42.31,44.3,1.2,0.87
23,,Hancel Batalla,0.18,0,57.78,50.26,1.77,0.91
24,,Richard Schunke,0.21,0,50,55.74,0.64,0.71
25,,Benjamin Cardenas,0,0.33,0,0,0,0.33
26,,Ricardo Adé,0.32,0,67.86,64.15,0.32,0.68
27,,Bruno Duarte,0.36,0,75,67.74,0.36,1
28,,Ismael Díaz,0.05,0,53.85,50.32,0.9,0.75
29,,Agustín García Basso,0.11,0,57.5,53.92,0.26,0.7
30,,Byron Palacios,0.15,0,46.85,48.26,1.04,1.12
31,,Miller Bolaños,0.6,0,20,40.23,1.53,1.33
32,,Nicolás Rinaldi,0.33,0,52.38,53.88,1.78,1.74
33,,Andrés Parrales,0.31,0,42.31,44.89,1.65,1.15
34,,Anthony Landázuri,0.17,0.04,58.33,50.77,0.96,1.43
35,,Francisco Fydriszewski,0.3,0.04,46.55,41.98,0.93,1.78
36,,Renato Ibarra,0.08,0,41.67,56.67,1.65,0.54
37,,Jaime Ayoví,0.29,0,37.93,32.59,0.79,1.21
38,,Alexis Zapata,0,0,44.44,56.34,2.22,0.89
39,,Facundo Castelli,0.58,0.08,41.79,44.44,2.5,2.5
40,,José Cevallos,0.16,0.04,50,50.54,0.52,0.64
41,,Yeltzin Erique,0,0,0,66.67,2,0
42,,Diogo Bagui,0,0,0,100,0,0
43,,Richard Borja,0,0,50,70,1.5,0
44,,Jefferson Valverde,0.22,0,44,48.23,0.56,1.78
45,,Alexander Bolaños,0.25,0.08,47.27,50.88,1.88,1.25
46,,Dario Pazmino,0,0,25,57.14,3.25,1.13
47,,Leodan Chalá,0.08,0,50,85.71,0.25,0
48,,Yerson Candelo,0.2,0,55.56,51.52,0.27,0.53
49,,Diego García,0.35,0,42.31,53.64,1.42,0.88
50,,Bagner Delgado,0.12,0.06,16.67,45.86,1.47,0.71
51,,Luis Fernando León,0.36,0.08,67.09,57.14,0.6,1.2
52,,Luis Cangá,0.42,0,70.91,54.55,0.46,1.58
53,,Raúl Becerra,0.07,0,41.3,43.55,1.04,0.71
54,,Javier Burrai,0.18,0,100,100,0.36,0
55,,Arón Rodríguez,0.14,0,36.67,46.4,1.82,0.71
56,,Fausto Grillo,0.07,0,63.27,59.26,0.79,0.93
57,,Teodoro Paredes,0.22,0,58.97,61.73,0.63,0.85
58,,Luis Estupiñan,0.11,0,24.44,42.38,1.48,0.89
59,,Kevin Minda,0.19,0.04,53.33,52.99,0.59,0.85
60,,Kendry Páez,0.17,0,11.11,43.52,0.63,0.79
61,,Hamilton Piedra,0.18,0.04,100,85.71,0.14,0
62,,Facundo Rodríguez,0.31,0,64.58,63.78,0.81,0.92
63,,Jordy Alcivar,0.16,0.04,52.17,52.99,1,0.76
64,,Tobías Donsanti,0,0.14,42.86,43.66,1.71,1.86
65,,Samuel Sosa,0.29,0.06,43.75,48,1.47,1.76
66,,Maicon Solís,0.39,0,39.47,41.4,0.68,1.14
67,,Luis Cano,0.13,0,35,51.82,1.67,0.63
68,,Óscar Zambrano,0.08,0,40,48.36,0.63,1
69,,Gonzalo Valle,0.04,0.04,60,72.73,0.14,0.04
70,,Daykol Romero,0.2,0.07,52.17,51.35,0.6,0.8
71,,Ezequiel Piovi,0.19,0,52.17,49.02,0.56,1.26
72,,Lorenzo Faravelli,0.33,0,0,45.9,0.88,1.04
73,,Willian Cevallos,0.29,0,20,30.95,0.29,0.76
74,,Carlos Rolón,0.17,0,77.14,69.23,0.42,0.5
75,,Leonel Nazareno,0.23,0,88.89,90,0.35,0.04
76,,Mauricio Martínez,0.24,0,70.59,58.93,0.86,0.57
77,,Michael Carcelén,0.27,0,54.55,57.55,1.67,0.53
78,,Anibal Chalá,0.08,0,63.16,50.65,0.67,0.83
79,,Erick Plúas,0.1,0,42.86,57.23,0.59,0.55
80,,Kavier Ortiz,0,0,50,50,0.6,0.6
81,,Christian Alemán,1,0,66.67,55.56,2,2
82,,Alex Capuz,0,0,0,100,0,0
83,,Lisandro Alzugaray,0.07,0,35.71,45.99,0.53,0.37
84,,Juan Carlos Paredes,0.34,0,50,54.98,2.07,1
85,,Carlos Rodríguez,0.15,0.04,60.27,57.14,0.15,0.48
86,,Aníbal Leguizamón,0.35,0,60,54.36,0.12,0.96
87,,Jhonnier Chala,0.52,0.04,66.67,61.84,2.3,1.74
88,,Alejandro Cabeza,0.07,0,37.93,33.83,1,2
89,,Arnaldo Zambrano,0.14,0,30,50.85,1.57,1.14
90,,Paolo Guerrero,0.23,0,48.28,36.92,0.38,1.15
91,,Moisés Ramírez,0.17,0,100,83.33,0.22,0.04
92,,Jose Enrique Angulo,0.05,0,27.27,33.6,0.55,1.18
93,,Alexis Villa,0,0,100,66.67,0.2,0
94,,Franklin Guerra,0.28,0,57.73,55.74,0.59,1.21
95,,Cristhian Solano,0.1,0,40.68,54.11,1.93,0.87
96,,Diego Ledesma,0.12,0,27.66,37.96,1.19,1.08
97,,Nicolas Sottile,0.25,0,66.67,54.35,1,2.5
98,,Caín Fara,0.42,0,54.17,53.21,1.25,2
99,,Nixon Molina,0.09,0,42.86,56.56,1.74,0.65
100,,Elvis Patta,0.07,0,28.13,48.17,0.9,0.8
101,,Alan Minda,0,0,33.33,51.85,1,0.17
102,,Tomás Oneto,0.21,0,69.23,66.67,0.57,0.71
103,,Thiago Serpa,0.14,0,50,64.71,1.07,1.14
104,,Sergio Gonzalez,0.17,0,46.97,46.4,1.23,1
105,,Edison Caicedo,0.25,0.05,45.45,57.76,1.85,1.35
106,,Jordan Rezabala,0.19,0.05,46.88,56.88,3,0.71
107,,Gabriel Cortez,0.21,0,50,40.51,0.58,0.29
108,,Jhon Cifuente,0.14,0,43.75,27.27,0.21,0.68
109,,Jerry Parrales,0.56,0,62,53.93,1.04,1.32
110,,Jhojan Julio,0.19,0,45,40.17,1.11,2.19
111,,Bryan García,0.14,0,66.67,54.39,0.43,1
112,,Alexis Rodríguez,0.23,0,29.82,42.46,0.97,0.8
113,,Jan Hurtado,0.4,0,50,48.72,0.5,0.6
114,,Jhon Ontaneda,0.41,0,64.18,59.89,0.52,0.78
115,,Dennis Corozo,0,0,50,66.67,0,0
116,,Agustín Rodríguez,0,0,50,38.24,0.5,0.4
117,,Juan Ruiz Gómez,0.21,0,31.58,50.7,1.52,0.72
118,,Gabriel Achilier,0.34,0,72.37,67.44,0.83,0.93
119,,Eber Caicedo,0.1,0,50,45.83,0.9,1.1
120,,Juan Anangonó,0,0,29.63,36.96,0.64,0.55
121,,Joao Quinones,0.55,0,51.72,50,0.73,1.27
122,,Byron Angulo,0.11,0,63.89,56.55,0.79,0.39
123,,Robert Burbano,0.14,0,25,42.31,1,1
124,,Jorge Ordóñez,0.25,0.04,46.25,46.59,0.92,0.79
125,,Bryan Ramirez,0.08,0,56.52,48.7,0.56,0.76
126,,Ángel Gracia,0,0,66.67,72.73,0.33,0
127,,Andrés Sánchez,0,0,0,64.29,0.25,0.38
128,,Jorge Gongora,0.23,0.05,33.33,57.07,1.73,1.32
129,,Cristian García,0.38,0.04,62.86,54.77,1,2.65
130,,Matías Fernández,0.15,0.05,33.33,48.21,0.55,0.55
131,,Luca Sosa,0.17,0,57.81,60.9,0.55,0.69
132,,Elian Carabali,0,0,11.11,37.5,0.5,0.42
133,,Sebastián González,0.14,0,66.67,46.25,0.36,0.68
134,,Joseph Espinoza,0.16,0,53.85,57.32,0.68,0.68
135,,Luis Castillo,0.18,0,66.67,54.24,0.64,0.91
136,,Victor Mendoza,0.13,0,66.67,85.71,0.25,0
137,,Leonai Souza de Almeida,0.25,0.04,50,51.87,1.67,2.21
138,,Dennis Quintero,0.24,0,59.65,59.73,1.28,0.92
139,,Kelvin Osorio,0.1,0,40,48.28,0.2,0.7
140,,Jesús Trindade,0.2,0,63.64,52.86,0.13,0.87
141,,Juan Nazareno,0.17,0,0,63.16,1.33,0.33
142,,Wilman Pabón,0.1,0.1,66.67,60,0.1,0.1
143,,Francisco Gatti,0.25,0,36.36,48.78,0.92,0.5
144,,Rolando David Silva,0.13,0,100,95,0.3,0.03
145,,Leonel Quiñónez,0.17,0,71.43,53.09,0.39,0.65
146,,Facundo Rivero,0.29,0.05,77.78,58.41,0.52,1.1
147,,Christian Ortíz,0.12,0,52.38,50,1,1.16
148,,David Noboa,0.16,0,65.22,52.83,0.42,1.05
149,,Angel Quiñonez,0.12,0,40.35,37.63,0.29,0.71
150,,Arián Pucheta,0.22,0.04,56.76,62.61,0.48,0.61
151,,Esteban Davila,0.12,0,41.94,51.45,1.19,1.15
152,,Renny Jaramillo,0.32,0,34.09,41.47,0.36,1.39
153,,Marcos Andrés López,0.07,0,38.89,54.17,0.93,0.6
154,,Kevin Rodriguez,0.19,0,57.14,47.01,1.5,0.88
155,,Anderson Naula,0.1,0,39.71,51.69,2.37,0.8
156,,David Ribeiro Pereira,0.14,0,36.36,56.52,1.14,0.86
157,,Joel Quintero,0,0,0,60,1,1
158,,Byron Mina,0.25,0,50,56.67,1.5,1.75
159,,Aubrey David,0,0,70,62.5,0.5,0.67
160,,Ethan Minda,0,0,0,100,1,0
161,,Johan Lara,0,0,100,100,0,0
162,,Rooney Troya,0,0,100,75,0,0.5
163,,Jair Castillo,0,0,0,53.33,0,0
