#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Ronie Carrillo,0.2,0.27,16.07,67.22,4.87,40
2,,Brian Heras,0,0,23.71,54.52,1.71,43.08
3,,Joaquín Vergés,0.17,0.17,27.17,72.15,6.37,46.9
4,,Mauro Díaz,0.43,0.14,37.05,83.8,12.05,68
5,,Alexander Domínguez,0,0,23,77.13,0.96,53.85
6,,Alexander Alvarado,0.1,0.16,31.29,85.46,12.87,79.63
7,,Rafael Romo,0,0,24.65,74.6,0.78,43.93
8,,Rómulo Otero,0.2,0.12,21.44,83.96,6.96,72.53
9,,Alex Mendoza,0,0,3,0,0,0
10,,Hernán Galíndez,0,0,24.91,57.59,1.61,35.85
11,,Michael Hoyos,0.25,0.17,16.17,79.12,6.04,55.17
12,,Sergio López,0.13,0.07,33.53,75.75,9.93,55.17
13,,Damián Díaz,0.25,0.25,30,77.08,9.79,63.64
14,,Facundo Martinez,0.07,0.14,61.86,86.78,15.79,70.26
15,,Lucas Mancinelli,0.38,0.31,24.46,75.79,6.42,54.76
16,,Jean Carlos Blanco,0.05,0.1,16.55,71.9,4.6,42.86
17,,José Quintero,0.22,0.13,29.43,77.4,6.7,54.72
18,,Pedro Ortiz,0,0,21,68.89,0.9,41.46
19,,Damián Frascarelli,0,0,25.29,71.19,1.71,46.81
20,,Braian Oyola,0.23,0.13,25.03,67.11,8.37,45.88
21,,Junior Sornoza,0.12,0.12,34.15,85.36,12.73,71.95
22,,Jeison Medina,0.13,0.2,15.67,79.57,4.47,61.11
23,,Hancel Batalla,0.41,0.32,34.18,76.2,7.68,41.3
24,,Richard Schunke,0.36,0.21,64.07,85.84,6.43,58.23
25,,Benjamin Cardenas,0,0,18,48.15,0.67,35.71
26,,Ricardo Adé,0.07,0.11,44.07,86.14,2.82,52.97
27,,Bruno Duarte,0.07,0.07,32.14,76.22,1.07,41.05
28,,Ismael Díaz,0.05,0.05,24.25,86.8,8.9,68.42
29,,Agustín García Basso,0,0,70.52,89.65,11.11,69.49
30,,Byron Palacios,0.23,0.15,12.69,60,4.38,25
31,,Miller Bolaños,0.27,0.27,24.8,84.41,10.8,79.17
32,,Nicolás Rinaldi,0.15,0.07,31.93,85.85,6.56,71.7
33,,Andrés Parrales,0.04,0,17.54,81.58,4.31,57.14
34,,Anthony Landázuri,0.26,0.17,52.83,83.37,11.96,53.04
35,,Francisco Fydriszewski,0.11,0.11,15.48,66.51,4,26.32
36,,Renato Ibarra,0.12,0.15,22.81,82.29,9.31,57.14
37,,Jaime Ayoví,0.21,0,13.71,64.58,3.43,66.67
38,,Alexis Zapata,0,0,26.44,81.93,7.33,70.59
39,,Facundo Castelli,0,0.08,17.92,60.93,4.67,50
40,,José Cevallos,0.16,0.12,35.24,85.02,9.04,68.82
41,,Yeltzin Erique,0,0,75,93.33,4,71.43
