#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Ronie Carrillo,0,0,0,0,1.2,0.07
2,,Brian Heras,4.21,0.5,0.21,0,0.57,0.14
3,,Joaquín Vergés,0,0.03,0,0,1.5,0.17
4,,Mauro Díaz,0,0.05,0,0,0.95,0.05
5,,Alexander Domínguez,3.41,0.52,0.15,0.07,0.52,0.07
6,,Alexander Alvarado,0,0,0,0,0.42,0.06
7,,Rafael Romo,4.04,0.43,0.13,0,1.09,0.04
8,,Rómulo Otero,0,0.12,0,0,0.68,0.16
9,,Alex Mendoza,0,0,0,0,0,0
10,,Hernán Galíndez,4.04,0.43,0.13,0,1,0.17
11,,Michael Hoyos,0,0.08,0,0,0.75,0.04
12,,Sergio López,0,0.07,0,0,0.67,0.13
13,,Damián Díaz,0,0.04,0,0,0.75,0.04
14,,Facundo Martinez,0,0.18,0,0,0.93,0.07
15,,Lucas Mancinelli,0,0.15,0,0,0.65,0.19
16,,Jean Carlos Blanco,0,0.1,0,0,0.75,0.05
17,,José Quintero,0,0.22,0,0,0.43,0.13
18,,Pedro Ortiz,3.37,0.47,0.27,0.03,0.8,0.13
19,,Damián Frascarelli,4.29,0.29,0.43,0,0.86,0
20,,Braian Oyola,0,0.1,0,0,0.83,0.17
21,,Junior Sornoza,0,0.12,0.04,0,0.62,0.04
22,,Jeison Medina,0,0,0,0,0.4,0.2
23,,Hancel Batalla,0,0.09,0,0,1.05,0.18
24,,Richard Schunke,0,0.36,0,0,0.79,0
25,,Benjamin Cardenas,4.33,0.33,0,0,0.67,0.33
26,,Ricardo Adé,0,0.5,0,0,0.5,0.07
27,,Bruno Duarte,0,0.29,0,0,1.07,0.43
28,,Ismael Díaz,0,0.2,0,0,0.85,0.1
29,,Agustín García Basso,0,0.37,0,0,0.81,0.07
30,,Byron Palacios,0,0,0,0,0.77,0.08
31,,Miller Bolaños,0,0.27,0,0,0.6,0.13
32,,Nicolás Rinaldi,0,0.15,0,0,0.56,0.19
33,,Andrés Parrales,0,0.04,0,0,1.15,0.12
