#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Jake Carroll,0,0,100,0,0,0
2,,James Tavernier,0.42,0.13,48.33,2.16,0.05,1.01
3,,Jota,0.33,0.12,48,2.42,0.03,0
4,,Borna Barišić,0.03,0,38.46,0.9,0,0.56
5,,Todd Cantwell,0.38,0.06,54.55,2.06,0,0
6,,Robby McCrorie,0,0,0,0,0,0
7,,Matt O'Riley,0.08,0.11,58.54,1.79,0,0
8,,Ivan Konovalov,0,0,0,0,0,0
9,,Connor Goldson,0.08,0.16,100,1,0.04,0
10,,Joe Newell,0.03,0,52.63,1.06,0,0
11,,Ross Sinclair,0,0,0,0,0,0
12,,Ryan Porteous,0.14,0,16.67,1.76,0.1,0
13,,Reo Hatate,0.19,0.03,57.78,1.81,0,0
14,,Josip Juranović,0.1,0,60,0.9,0,0
15,,Carl Starfelt,0.11,0.07,80,0.79,0.07,0
16,,Alistair Johnston,0.07,0,72.73,0.5,0,0
17,,Matthew Pollock,0.13,0.13,57.14,1.2,0.13,0
18,,Cameron Carter-Vickers,0,0.07,100,0.52,0,0
19,,Tom Lawrence,0.4,0.2,22.22,3.4,0.2,0
20,,Leighton Clarkson,0.15,0,38.71,1,0,1.18
21,,Aaron Mooy,0.14,0.03,55.56,0.66,0,0
22,,Lawrence Shankland,0.65,0.43,51.56,3.24,0.05,0
23,,Antonio Čolak,0.56,0.4,46.15,3.16,0.08,0
24,,Kyogo Furuhashi,0.75,0.44,37.5,2.44,0.03,0
25,,Elliot Parish,0,0,0,0,0,0
26,,Oscar MacIntyre,0,0,0,0,0,0
27,,Malik Tillman,0.36,0.14,45.26,1.68,0.07,0
28,,Martin Boyle,0.42,0.08,38.1,2,0,0
29,,Greg Taylor,0.1,0,55.81,0.74,0,0
30,,Jamie McGrath,0.25,0.03,51.85,0.63,0,0
31,,Stephen Welsh,0.25,0,0,0.5,0.25,0
32,,Kevin van Veen,0.66,0.37,53.09,3.05,0.05,0.38
33,,Callum McGregor,0.13,0,64.71,1,0,0
34,,Moritz Jenz,0.18,0,100,0.55,0.09,0
35,,Fashion Sakala,0.41,0.38,50.94,3.31,0.07,0
36,,Blair Spittal,0.17,0.06,55.26,1.22,0,2.78
37,,Kelle Roos,0,0,100,0.03,0,0
38,,William Fish,0.14,0,100,0.86,0.14,0
39,,Danny Armstrong,0.24,0.14,38.26,1.59,0.03,0.39
40,,Ryan Kent,0.1,0.14,46.28,2.07,0,0
41,,John Lundstram,0.14,0.05,61.54,1.49,0.03,0
42,,Robert Snodgrass,0.04,0,58.33,0.3,0,0
43,,Steven Fletcher,0.27,0.39,27.59,2.73,0.03,0
44,,Craig Halkett,0,0,0,0.33,0,0
45,,Liam Scales,0.03,0.03,71.43,0.71,0,0
46,,David Turnbull,0.14,0,65,1.11,0,0
47,,Liel Abada,0.29,0.26,41.3,1.56,0,0
48,,Curtis Main,0.24,0.24,48.28,2.46,0.05,0
49,,Kevin Nisbet,0.63,0.58,54.17,2.74,0.05,1.05
50,,Liam Polworth,0.04,0,60.71,0.77,0,0
51,,Alfredo Morelos,0.34,0.38,32,2.63,0.09,0
52,,Dan Casey,0,0,100,0.67,0,0
53,,Kyle Vassell,0.29,0.07,25,2.64,0.07,0
54,,John Souttar,0.08,0,83.33,0.33,0.08,0
55,,Anthony Ralston,0,0,51.61,0.69,0,0
56,,Sead Hakšabanović,0.19,0,35.9,0.96,0,0
57,,Kye Rowles,0.03,0.03,88.89,0.41,0.03,0
58,,Sean Goss,0.03,0,38.1,1.16,0,0.53
59,,Josh Ginnelly,0.4,0.1,51.56,1.57,0.03,0
60,,Jack Baldwin,0.03,0.07,42.86,0.34,0,0
61,,Dylan Levitt,0.19,0.04,45.83,0.96,0,0
62,,Yan Dhanda,0.17,0,50,0.77,0,0
63,,Ryan Strain,0.11,0.03,45.45,0.94,0,1.04
64,,Ben Davies,0,0,100,0.3,0,0
65,,Gwion Edwards,0,0,42.86,1.4,0,0
66,,Jordan White,0.29,0.11,22.22,1.5,0.11,0
67,,Charlie Mulgrew,0.05,0,100,0.79,0.05,0
68,,James Forrest,0.25,0.06,57.14,1.31,0.06,0
69,,Angus MacDonald,0,0,100,0.27,0,0
70,,Joe Wright,0.15,0.12,46.67,0.88,0.09,0
71,,Craig Gordon,0,0,0,0,0,0
72,,Stevie May,0.24,0.16,31.91,2.19,0.03,0
73,,Paul McGinn,0,0.06,65.38,0.53,0,0
74,,Liam Donnelly,0.09,0,70,0.95,0,0
75,,Ricki Lamie,0,0.04,0,0.38,0,0
76,,Alex Iacovitti,0.08,0,75,0.61,0.06,0
77,,Ianis Hagi,0.13,0,85.71,0.5,0,0
78,,Steven Davis,0.13,0,100,0.88,0,0
79,,Nicolas Raskin,0,0,91.67,0.75,0,0
80,,Jay Gorter,0,0,0,0,0,0
81,,Ryan Jack,0.04,0.04,70,0.77,0,0
82,,Paul Hanlon,0.03,0,44.44,0.62,0,0
83,,Sam Walker,0,0,0,0,0,0
84,,Barrie McKay,0.11,0.05,51.28,1.03,0,0
85,,Vicente Besuijen,0.17,0,52.94,0.94,0,0
86,,Cameron MacPherson,0,0,63.16,0.87,0,0
87,,Leon King,0,0,100,0.13,0,0
88,,James Furlong,0,0.06,61.54,0.56,0,0
89,,Sondre Solholm Johansen,0.05,0.05,75,0.47,0.05,0
90,,Ryan McGowan,0.04,0,18.18,0.29,0,0
