#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Jake Carroll,1,1,0,5,0,0
2,,James Tavernier,2,0.87,0,1.45,0.03,0.87
3,,Jota,1.15,0.39,0,0.09,0,0.33
4,,Borna Barišić,1.77,1.03,0,1.1,0,0.2
5,,Todd Cantwell,1.75,1.06,0,0.44,0,1.44
6,,Robby McCrorie,0,0,0,0.75,0,0
7,,Matt O'Riley,1.47,0.74,0.03,0.71,0,0.63
8,,Ivan Konovalov,0,0,0,1.75,0,0
9,,Connor Goldson,1.48,0.76,0,2.96,0,0.36
10,,Joe Newell,2.53,0.82,0.03,1.59,0,0.74
11,,Ross Sinclair,0,0,0,0.5,0,0
12,,Ryan Porteous,1.24,1,0,3.71,0,0.38
13,,Reo Hatate,1.19,0.34,0,0.72,0,0.41
14,,Josip Juranović,1.5,1,0,1.2,0,0.4
15,,Carl Starfelt,0.86,1.21,0.07,4.18,0.04,0.25
16,,Alistair Johnston,1.79,0.93,0,1.36,0,0.5
17,,Matthew Pollock,1.8,1.33,0,4.07,0,0.4
18,,Cameron Carter-Vickers,0.52,1.07,0.03,2.9,0,0.1
19,,Tom Lawrence,1.8,0.2,0,0.2,0,0.4
20,,Leighton Clarkson,2.21,0.71,0,0.85,0,0.79
21,,Aaron Mooy,0.86,0.34,0,0.45,0,0.1
22,,Lawrence Shankland,0.78,0.22,0,1,0,0.65
23,,Antonio Čolak,0.08,0.08,0,0.28,0,0.16
24,,Kyogo Furuhashi,0.44,0.14,0,0.28,0,0.22
25,,Elliot Parish,0,0,0,2,0,0
26,,Oscar MacIntyre,2,0,0,0,0,0
27,,Malik Tillman,1.96,0.71,0,0.32,0,0.71
28,,Martin Boyle,0.83,0.17,0,0.08,0,0.5
29,,Greg Taylor,1.35,0.77,0.03,0.84,0,0.65
30,,Jamie McGrath,1.94,0.63,0,1.25,0,0.81
31,,Stephen Welsh,1,0.25,0,2.75,0,0.25
32,,Kevin van Veen,0.58,0.08,0,0.5,0,0.53
33,,Callum McGregor,1.23,1.03,0,0.9,0.03,0.71
34,,Moritz Jenz,1.36,0.91,0.09,2.27,0,0.09
35,,Fashion Sakala,0.66,0.17,0,0.21,0,0.31
36,,Blair Spittal,1.03,0.31,0,0.89,0,0.83
37,,Kelle Roos,0.03,0,0.03,1,0,0.06
38,,William Fish,1.1,1.05,0.05,4.95,0,0.24
39,,Danny Armstrong,1.3,0.76,0.03,0.43,0,1
40,,Ryan Kent,1.31,0.34,0,0.1,0,0.59
41,,John Lundstram,1.41,0.95,0,0.84,0,0.76
42,,Robert Snodgrass,1.09,0.61,0.04,1.7,0,0.65
43,,Steven Fletcher,0.55,0.24,0,1.33,0,0.27
44,,Craig Halkett,1.17,0.67,0,2.83,0,0.17
45,,Liam Scales,1.68,1.19,0.1,5.13,0,0.39
46,,David Turnbull,0.61,0.14,0,0.18,0,0.11
47,,Liel Abada,0.41,0.09,0,0.15,0,0.21
48,,Curtis Main,0.62,0.24,0,1.11,0,0.41
49,,Kevin Nisbet,0.58,0.11,0,0.79,0,0.32
50,,Liam Polworth,1.38,0.65,0,0.58,0,0.42
51,,Alfredo Morelos,0.31,0.03,0,0.53,0,0.44
52,,Dan Casey,1,1.08,0,3.42,0,0
53,,Kyle Vassell,0.64,0.14,0,0.5,0,0
54,,John Souttar,0.75,0.83,0,2.58,0.08,0.17
55,,Anthony Ralston,1.63,0.38,0.06,1.88,0.06,0.5
56,,Sead Hakšabanović,0.54,0.27,0,0.08,0,0.23
57,,Kye Rowles,1.48,0.83,0.03,5.1,0,0.31
58,,Sean Goss,1.68,1.26,0,1.11,0,0.79
59,,Josh Ginnelly,0.33,0.27,0,0.27,0,0.2
60,,Jack Baldwin,1.34,1.62,0,3.93,0.03,0.38
61,,Dylan Levitt,1.63,0.63,0,0.48,0,0.74
62,,Yan Dhanda,1,0.37,0,0.57,0,0.5
63,,Ryan Strain,2.53,0.86,0,1.67,0,1.25
64,,Ben Davies,0.89,0.78,0,2.04,0.04,0.26
65,,Gwion Edwards,2.8,0.8,0,1,0,0.8
66,,Jordan White,0.32,0.13,0,1.03,0,0.18
67,,Charlie Mulgrew,1.05,1.11,0,6.47,0.05,0.05
68,,James Forrest,0.25,0.19,0,0,0,0.06
69,,Angus MacDonald,0.93,1,0,4.8,0,0.2
70,,Joe Wright,1.5,1.71,0.03,4,0.03,0.35
71,,Craig Gordon,0,0.06,0.06,1,0.06,0
72,,Stevie May,0.62,0.16,0,0.65,0,0.73
73,,Paul McGinn,2.44,0.83,0,1.97,0,0.33
74,,Liam Donnelly,2.45,0.86,0,1.64,0,0.73
75,,Ricki Lamie,1.33,1.46,0.04,4.67,0,0.21
76,,Alex Iacovitti,1.17,1.28,0.06,5.53,0,0.36
77,,Ianis Hagi,0.75,0.13,0,0,0,0.38
78,,Steven Davis,0.88,0.25,0,0.5,0,0.25
79,,Nicolas Raskin,1.83,0.5,0,0.33,0,0.92
80,,Jay Gorter,0,0,0,1.5,0,0
81,,Ryan Jack,1.19,0.58,0,0.69,0,0.35
82,,Paul Hanlon,0.88,0.82,0.03,4.29,0,0.21
83,,Sam Walker,0,0,0,0.79,0,0
84,,Barrie McKay,0.78,0.38,0,0.27,0,0.38
85,,Vicente Besuijen,0.56,0.17,0,0.11,0,0.17
86,,Cameron MacPherson,0.91,0.87,0,0.57,0,0.35
87,,Leon King,1.27,0.33,0,1.87,0.07,0.33
88,,James Furlong,2.81,0.38,0,1.81,0,1
89,,Sondre Solholm Johansen,2,2.05,0.11,3.68,0,0.32
90,,Ryan McGowan,3.46,1,0.04,2.64,0,0.93
91,,Maksym Kucheriavyi,1.75,0.25,0,0.75,0,0.75
92,,Mykola Kukharevych,0.87,0.27,0,0.73,0,0.33
93,,Michael Smith,1.61,0.75,0,0.82,0,0.39
94,,Anthony Stewart,1.29,1.1,0.05,6.95,0,0.29
95,,Mark O'Hara,1.69,0.4,0,1.09,0,0.77
96,,Loick Ayina,2.25,1.33,0.08,5.67,0,0.92
97,,Bojan Miovski,0.54,0.32,0,0.65,0,0.54
98,,Giorgos Giakoumakis,0.32,0.11,0,0.37,0,0.16
99,,Tom Parkes,0.5,0.5,0,2.5,0,0
100,,Rıdvan Yılmaz,0.89,0.67,0,0.78,0,0.11
101,,Stephen Kelly,0.81,0.61,0,0.55,0,0.58
102,,Calum Butcher,0.77,1.46,0,4.31,0,0.15
103,,Craig Sibbald,2.51,1.31,0,1.34,0.03,0.8
104,,Dante Polvara,1,1.33,0,1,0,0.67
105,,Mark Birighitti,0,0,0.04,0.85,0.08,0
106,,Sean Kelly,1.27,0.53,0,2.17,0.03,0.5
107,,Nicky Devlin,1.55,1,0,2.5,0,0.45
108,,Graeme Shinnie,2.85,1.69,0,1.54,0,1.38
109,,Ross Laidlaw,0.08,0,0,0.42,0,0.03
110,,Liam Gordon,1.28,1.69,0.03,4.69,0,0.13
111,,James Sands,1.06,0.59,0,1.18,0,0.12
112,,Tomoki Iwata,0.46,0.23,0,0.54,0,0
113,,James Hill,1.79,1.5,0,4.29,0.07,0.36
114,,Luís Henriques de Barros Lopes,0.76,0.16,0,0.62,0,0.32
115,,Andy Halliday,0.82,0.25,0,0.61,0,0.18
116,,Zander Clark,0.05,0,0.05,0.9,0,0.05
117,,Stephen Kingsley,0.81,0.86,0,2.14,0,0.33
118,,Hyun-gyu Oh,0.19,0.06,0,0.19,0,0.31
119,,Christian Doidge,0.66,0.13,0.03,1,0,0.41
120,,Josh Campbell,0.94,0.64,0,1,0,0.58
121,,Ash Taylor,0.66,1.75,0.03,4.81,0,0.06
122,,Jamie Murphy,0.67,0.17,0,0.17,0,0.46
123,,George Harmon,1.57,1.27,0,2.03,0,0.53
124,,Joseph Efford,0.78,0.11,0,0,0,0.78
125,,Chris Kane,0,0.5,0,0,0,0
126,,Kemar Roofe,0,0.33,0,0,0,0.33
127,,Yuki Kobayashi,0.33,0.67,0,2.17,0,0
128,,Christopher Cadden,1.03,0.51,0,1.24,0,0.49
129,,Liam Kelly,0,0,0.03,0.42,0,0
130,,Callum Slattery,1.93,0.9,0,0.76,0,0.41
131,,Alex Cochrane,1.68,0.94,0.03,1.82,0,0.62
132,,Connor Barron,1.59,0.65,0.06,0.94,0,0.29
133,,Glen Kamara,0.55,0.45,0,0.27,0,0.18
134,,Adam Devine,0.67,0.17,0,0.5,0,0.17
135,,Scott McMann,1.47,1.57,0,3.17,0.03,0.2
136,,Daizen Maeda,1.03,0.51,0,0.2,0,0.74
137,,Ali Crawford,0.31,0.31,0,0.25,0,0.19
138,,Joe Shaughnessy,0.59,0.82,0,3.73,0,0.32
139,,Cameron Devlin,1.97,0.8,0.03,0.67,0,1
140,,Joe Hart,0,0,0,0.73,0,0.05
141,,Eamonn Brophy,0.25,0,0,0.2,0,0.15
142,,Steven Bradley,1.25,0.44,0,0.44,0,0.44
143,,Marijan Čabraja,1.56,0.92,0.08,1.44,0,0.32
144,,Jorge Grant,1,0.57,0,0.43,0,0.64
145,,Jay Henderson,0,0.33,0,0,0,0
146,,Rocco Vata,0,0,0,0,0,0.25
147,,Murray Davidson,1.75,0.75,0,0.75,0,0
148,,Keith Watson,0.68,0.64,0.04,4.25,0,0.07
149,,Ylber Ramadani,2.03,1.43,0,1.62,0,1.35
150,,Max Johnston,1.18,0.47,0,2.12,0,0.41
151,,Andy Considine,1.22,2.22,0.03,4.31,0,0.44
152,,Scott Arfield,0.58,0.23,0,0.13,0,0.23
153,,Kyle Magennis,1.54,0.62,0,0.92,0,0.08
154,,Jonny Hayes,1.1,0.77,0.03,1.8,0,0.87
155,,Rabbi Matondo,0.68,0.16,0,0.21,0,0.37
156,,Alex Mitchell,1.38,1.17,0,4.62,0,0.45
157,,Keanu Baccus,2.36,1.06,0,1.03,0,0.97
158,,Cristian Montano,1.87,1.35,0.03,1.71,0.03,0.55
159,,Ryan Edwards,0.56,0.59,0.03,5.53,0,0.34
160,,Matthew Kennedy,0.38,0.48,0.05,0.67,0,0.24
161,,Drey Wright,1.66,1.05,0,1.47,0.03,0.58
162,,Arnaud Djoum,2.06,0.38,0,0.5,0,0.63
163,,Connor Randall,1.71,1.21,0,2.75,0,0.58
164,,David Cancola,1.27,0.57,0,1,0,0.4
165,,Jeriel Dorsett,1.73,1.27,0,2.64,0.09,0.55
166,,Greg Kiltie,1.14,0.17,0,0.26,0,0.6
167,,Thody Elie Youan,1.17,0.47,0,0.25,0,0.89
168,,Jack Sanders,0.25,0,0,1.25,0,0
169,,Stuart McKinstry,1.52,0.24,0,0.38,0,0.29
170,,David Wotherspoon,0.82,0.23,0,0.59,0,0.55
171,,CJ Egan-Riley,1.5,1.5,0.07,3.07,0,0.43
172,,Nohan Kenneh,1.23,1.23,0.03,1.16,0.03,0.39
173,,Oliver Abildgaard,0.5,0.17,0,1.17,0,0
174,,Jake Doyle Hayes,1.29,0.53,0,0.76,0,0.71
175,,Ben Chrisene,2.15,1.69,0,1.31,0,0.38
176,,Peter Haring,1.44,0.94,0,0.44,0,0.63
177,,Ian Harkes,1.53,0.9,0,1,0,0.37
