#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Jake Carroll,0,0,85.71,81.82,1,1
2,,James Tavernier,0.16,0,62.35,52.13,0.37,0.89
3,,Jota,0.03,0,27.27,49.39,0.88,0.52
4,,Borna Barišić,0.13,0,56.52,61.29,0.83,0.63
5,,Todd Cantwell,0.31,0,50,51.14,2.19,1.75
6,,Robby McCrorie,0,0,0,100,0.25,0
7,,Matt O'Riley,0.08,0,43.75,43.91,0.47,1.11
8,,Ivan Konovalov,0,0,100,100,0.25,0
9,,Connor Goldson,0.16,0,62.75,67.33,1.28,0.36
10,,Joe Newell,0.18,0,55.74,52.15,1.24,2.12
11,,Ross Sinclair,0,0,0,0,0,0
12,,Ryan Porteous,0.33,0,62.86,66.19,2.19,0.71
13,,Reo Hatate,0,0,59.46,56.59,0.94,0.59
14,,Josip Juranović,0,0,27.27,59.32,1.1,0.1
15,,Carl Starfelt,0.11,0,69.95,67.06,0.54,0.71
16,,Alistair Johnston,0.07,0,47.5,51.97,1,1.36
17,,Matthew Pollock,0.13,0,58.72,61.99,0.73,0.67
18,,Cameron Carter-Vickers,0.17,0,73.83,69.48,0.48,0.83
19,,Tom Lawrence,0,0,57.14,48.84,1.2,1.2
20,,Leighton Clarkson,0.15,0,24,52.94,0.44,0.71
21,,Aaron Mooy,0.07,0,44,48.04,0.31,0.55
22,,Lawrence Shankland,0.14,0,43.24,39.8,1.24,1.38
23,,Antonio Čolak,0.12,0,26.67,33.33,0.68,0.76
24,,Kyogo Furuhashi,0.08,0,12.9,35.83,0.47,0.67
25,,Elliot Parish,0,0,0,100,0.5,0
26,,Oscar MacIntyre,0,0,0,100,0,0
27,,Malik Tillman,0.14,0,55.88,48.36,1.46,1.29
28,,Martin Boyle,0.25,0,0,37.89,1.5,1.17
29,,Greg Taylor,0.1,0,46.61,51.29,1.26,0.61
30,,Jamie McGrath,0.16,0,38.81,49.88,2.13,0.97
31,,Stephen Welsh,0.5,0,55.56,57.14,0.25,0.5
32,,Kevin van Veen,0.16,0,28.47,34.98,0.95,1.21
33,,Callum McGregor,0.1,0.03,50,50.29,0.48,0.48
34,,Moritz Jenz,0.36,0,54.17,58.02,0.45,1
35,,Fashion Sakala,0.03,0,44.87,42.81,0.69,1.03
36,,Blair Spittal,0.06,0,36.3,43.2,0.58,0.56
37,,Kelle Roos,0,0,100,82.35,0.06,0.03
38,,William Fish,0,0,63.41,60.71,0.33,0.86
39,,Danny Armstrong,0.19,0.03,44.64,45.5,1.76,1.16
40,,Ryan Kent,0.1,0,21.43,46.65,1.83,0.69
41,,John Lundstram,0.19,0.03,46.15,48.91,0.68,0.97
42,,Robert Snodgrass,0.3,0.04,63.04,55.68,1.87,1.04
43,,Steven Fletcher,0.09,0,57.67,50.76,0.82,1.67
44,,Craig Halkett,0,0,77.14,75.93,1.17,0.33
45,,Liam Scales,0.13,0.06,63.71,64.55,0.52,0.65
46,,David Turnbull,0.04,0.04,52.63,54.84,0.39,0.36
47,,Liel Abada,0.06,0,9.52,33.82,0.32,0.35
48,,Curtis Main,0.14,0,45.83,41.09,1.08,2.14
49,,Kevin Nisbet,0.26,0,36.92,40.12,1.11,1.37
50,,Liam Polworth,0.04,0,26.92,61.14,1.81,0.54
51,,Alfredo Morelos,0.19,0.03,45.16,37.58,0.5,0.84
52,,Dan Casey,0.42,0,71.25,69.83,0.83,0.92
53,,Kyle Vassell,0.14,0.07,35.37,37.78,1.93,1.57
54,,John Souttar,0.08,0,74.07,76.4,1.17,0.33
55,,Anthony Ralston,0.13,0,57.14,55.48,0.88,0.94
56,,Sead Hakšabanović,0.04,0,42.86,40.5,0.58,0.88
57,,Kye Rowles,0.14,0.03,48.15,55.26,0.38,0.59
58,,Sean Goss,0.26,0,58,55.36,1.58,1.32
59,,Josh Ginnelly,0.03,0.03,15,43.92,1.27,0.9
60,,Jack Baldwin,0.21,0.07,60.21,61.41,1.28,0.83
61,,Dylan Levitt,0.11,0,29.17,47.89,0.22,0.37
62,,Yan Dhanda,0.1,0,48.08,48.51,0.77,0.8
63,,Ryan Strain,0.11,0,47.62,50.31,0.44,0.67
64,,Ben Davies,0.07,0,65.35,67.33,0.41,0.22
65,,Gwion Edwards,0,0,75,55,1.4,1.4
66,,Jordan White,0.11,0,43.81,41.25,0.89,1.29
67,,Charlie Mulgrew,0.16,0.05,66.29,68.79,0.89,0.53
68,,James Forrest,0,0,20,46.34,0.38,0.13
69,,Angus MacDonald,0.13,0,60,57.3,0.33,0.87
70,,Joe Wright,0.15,0,63.14,62.24,1.12,1.03
71,,Craig Gordon,0.06,0,100,81.82,0.19,0.06
72,,Stevie May,0.11,0,27.16,34.54,0.73,0.65
73,,Paul McGinn,0.11,0,57.14,64.18,1.17,0.83
74,,Liam Donnelly,0.36,0,62.9,62.68,1.45,1.36
75,,Ricki Lamie,0.25,0.04,70.18,65.9,0.88,1.38
