#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Jake Carroll,0,0,32,56.25,9,40
2,,James Tavernier,0.34,0.24,66.16,82.14,20.13,41.7
3,,Jota,0.39,0.33,31.06,79.51,15.12,50
4,,Borna Barišić,0.4,0.3,55.03,85.1,15.33,48.59
5,,Todd Cantwell,0.31,0.25,58.38,88.65,17.88,66.67
6,,Robby McCrorie,0,0,24.25,75.26,0,42.86
7,,Matt O'Riley,0.42,0.32,40.53,83.77,15.95,64.56
8,,Ivan Konovalov,0,0,29.25,48.72,1.5,31.4
9,,Connor Goldson,0.12,0.08,77.84,89.16,11.92,55.87
10,,Joe Newell,0.18,0.18,38.74,76.54,10.41,52.75
11,,Ross Sinclair,0,0,23.5,23.4,1.5,23.4
12,,Ryan Porteous,0.1,0,63.14,78.43,11.43,51.75
13,,Reo Hatate,0.31,0.25,49.22,82.48,17.59,55.65
14,,Josip Juranović,0.1,0.1,59.3,85.5,16.7,50
15,,Carl Starfelt,0,0.04,92.96,91.55,10.32,67.35
16,,Alistair Johnston,0.36,0.07,75.43,86.36,24.36,57.5
17,,Matthew Pollock,0.07,0.07,37.27,61.54,3.87,31.39
18,,Cameron Carter-Vickers,0,0,87.21,91.58,9.97,54.82
19,,Tom Lawrence,0.2,0.2,37,86.49,16.4,63.64
20,,Leighton Clarkson,0.26,0.24,32.09,71.49,7.03,37.37
21,,Aaron Mooy,0.31,0.34,34.66,85.47,12.28,63.77
22,,Lawrence Shankland,0.14,0.11,21.7,68.99,5.73,44.62
23,,Antonio Čolak,0.12,0.04,11.56,75.43,4.32,75
24,,Kyogo Furuhashi,0.03,0.06,6,67.59,1.97,77.78
25,,Elliot Parish,0,0,27.5,61.82,1.5,48.78
26,,Oscar MacIntyre,0,0,4.5,77.78,1,0
27,,Malik Tillman,0.43,0.14,28.71,78.48,11.39,40
28,,Martin Boyle,0.17,0.08,19.75,81.01,9.08,57.14
29,,Greg Taylor,0.06,0.13,75.06,84.66,24.1,46.41
30,,Jamie McGrath,0.16,0.06,29.16,78.56,8.72,43.53
31,,Stephen Welsh,0,0,101.75,91.15,19.5,64.29
32,,Kevin van Veen,0.08,0.05,14.84,62.59,4.24,46.67
33,,Callum McGregor,0.13,0.03,79.16,92.09,25.13,52.38
34,,Moritz Jenz,0,0,75.91,90.66,7.73,55.56
35,,Fashion Sakala,0.24,0.24,17.52,80.51,7.83,69.23
36,,Blair Spittal,0.25,0.19,29.42,66.57,8.25,34.64
37,,Kelle Roos,0.03,0,32.55,53.32,1.42,28.83
