#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Jake Carroll,0,1,0,0,0,0
2,,James Tavernier,0,0.34,0,0,0.82,0.16
3,,Jota,0,0.12,0,0,0.39,0.06
4,,Borna Barišić,0,0.3,0,0,0.8,0.13
5,,Todd Cantwell,0,0.19,0,0,0.81,0.06
6,,Robby McCrorie,1.75,0.75,0,0,0.25,0
7,,Matt O'Riley,0,0.03,0,0,0.61,0.08
8,,Ivan Konovalov,5.75,0,0,0,2,0
9,,Connor Goldson,0,0.56,0,0,0.64,0.12
10,,Joe Newell,0,0.18,0,0,1.32,0.12
11,,Ross Sinclair,4.5,0.5,0.5,0,1,0.5
12,,Ryan Porteous,0,0.24,0,0,1.57,0.05
13,,Reo Hatate,0,0.03,0,0,0.59,0.06
14,,Josip Juranović,0,0.5,0,0,0.5,0
15,,Carl Starfelt,0,0.39,0,0,0.71,0.11
16,,Alistair Johnston,0,0.43,0,0,0.5,0.14
17,,Matthew Pollock,0,0.53,0,0,1,0.07
18,,Cameron Carter-Vickers,0,0.45,0,0,0.62,0.1
19,,Tom Lawrence,0,0.4,0,0,0.4,0
20,,Leighton Clarkson,0,0.21,0,0,1.03,0.06
21,,Aaron Mooy,0,0.07,0,0,0.31,0.07
22,,Lawrence Shankland,0,0.14,0,0,1.08,0.16
23,,Antonio Čolak,0,0,0,0,0.52,0.08
24,,Kyogo Furuhashi,0,0,0,0,0.53,0.08
25,,Elliot Parish,3,0,0,0,0.5,0.5
26,,Oscar MacIntyre,0,0,0,0,0,0
27,,Malik Tillman,0,0.04,0,0,0.57,0.18
28,,Martin Boyle,0,0.25,0,0,1.17,0
29,,Greg Taylor,0,0.39,0,0,0.45,0.1
30,,Jamie McGrath,0,0.09,0,0,1.34,0.13
31,,Stephen Welsh,0,0.25,0,0,1,0
32,,Kevin van Veen,0,0.21,0,0,1.11,0.13
33,,Callum McGregor,0,0.45,0,0,0.71,0.1
34,,Moritz Jenz,0,0.18,0,0,0.82,0.09
35,,Fashion Sakala,0,0.03,0,0,0.59,0.14
36,,Blair Spittal,0,0.11,0,0,0.97,0.14
37,,Kelle Roos,3.39,0.42,0.29,0.06,1.13,0.16
38,,William Fish,0,0.24,0,0,0.95,0.19
39,,Danny Armstrong,0,0.16,0,0,1.05,0.19
40,,Ryan Kent,0,0.17,0,0,0.83,0.14
41,,John Lundstram,0,0.27,0,0,0.62,0.08
42,,Robert Snodgrass,0,0.09,0,0,1.3,0.17
43,,Steven Fletcher,0,0.03,0,0,1.45,0.18
44,,Craig Halkett,0,0,0,0,0.67,0
45,,Liam Scales,0,0.42,0,0,1.16,0.1
46,,David Turnbull,0,0,0,0,0.32,0.07
47,,Liel Abada,0,0,0,0,0.26,0.03
48,,Curtis Main,0,0.11,0,0,1.22,0.24
49,,Kevin Nisbet,0,0.05,0,0,1.16,0.21
50,,Liam Polworth,0,0.08,0,0,1.12,0.12
51,,Alfredo Morelos,0,0,0,0,0.47,0.09
52,,Dan Casey,0,0.42,0,0,0.67,0.17
53,,Kyle Vassell,0,0.07,0,0,1.36,0.14
54,,John Souttar,0,0.17,0,0,0.83,0.08
55,,Anthony Ralston,0,0.19,0,0,1.19,0.13
56,,Sead Hakšabanović,0,0,0,0,0.27,0
57,,Kye Rowles,0,0.17,0,0,1.03,0.24
58,,Sean Goss,0,0.21,0,0,1.13,0.13
59,,Josh Ginnelly,0,0,0,0,1,0.2
60,,Jack Baldwin,0,0.21,0,0,1,0.24
61,,Dylan Levitt,0,0.11,0,0,1.33,0.22
62,,Yan Dhanda,0,0.03,0,0,0.8,0.17
63,,Ryan Strain,0,0.19,0,0,1.06,0.17
64,,Ben Davies,0,0.3,0,0,0.63,0.11
65,,Gwion Edwards,0,0,0,0,0.4,0.2
66,,Jordan White,0,0.08,0,0,1,0.26
67,,Charlie Mulgrew,0,0.16,0,0,1.32,0.26
68,,James Forrest,0,0,0,0,0.56,0.13
69,,Angus MacDonald,0,0.53,0,0,1.07,0.07
70,,Joe Wright,0,0.15,0,0,1.32,0.26
71,,Craig Gordon,3.69,0.06,0.19,0.06,1.44,0.19
72,,Stevie May,0,0,0,0,0.92,0.27
73,,Paul McGinn,0,0.25,0,0,1.06,0.14
74,,Liam Donnelly,0,0.14,0,0,1.05,0.32
75,,Ricki Lamie,0,0.17,0,0,1.13,0.13
76,,Alex Iacovitti,0,0.25,0,0,1.19,0.31
77,,Ianis Hagi,0,0,0,0,0,0
78,,Steven Davis,0,0.13,0,0,0.63,0.25
79,,Nicolas Raskin,0,0.17,0,0,0.75,0.08
80,,Jay Gorter,3,0.25,0.5,0,1.5,0
81,,Ryan Jack,0,0.12,0,0,0.58,0.12
82,,Paul Hanlon,0,0.26,0,0,1.29,0.18
83,,Sam Walker,3.36,0.21,0.18,0.04,1.36,0.18
84,,Barrie McKay,0,0,0,0,1.03,0.11
85,,Vicente Besuijen,0,0,0,0,0.78,0.06
86,,Cameron MacPherson,0,0.13,0,0,0.74,0.26
87,,Leon King,0,0.07,0,0,0.47,0.2
88,,James Furlong,0,0.19,0,0,0.94,0.13
89,,Sondre Solholm Johansen,0,0.21,0,0,1.26,0.11
90,,Ryan McGowan,0,0.14,0,0,1.18,0.36
91,,Maksym Kucheriavyi,0,0,0,0,0.25,0
92,,Mykola Kukharevych,0,0,0,0,0.8,0.07
93,,Michael Smith,0,0.07,0,0,1,0.18
94,,Anthony Stewart,0,0.29,0,0,1.43,0.14
95,,Mark O'Hara,0,0.2,0,0,1.29,0.2
96,,Loick Ayina,0,0.08,0,0,1.58,0.08
97,,Bojan Miovski,0,0.05,0,0,1.14,0.08
98,,Giorgos Giakoumakis,0,0,0,0,0.37,0
99,,Tom Parkes,0,0,0,0,0.75,0
100,,Rıdvan Yılmaz,0,0.22,0,0,0.56,0
101,,Stephen Kelly,0,0,0,0,0.9,0.13
102,,Calum Butcher,0,0.31,0,0,0.62,0.15
103,,Craig Sibbald,0,0.09,0,0,1.23,0.09
104,,Dante Polvara,0,0,0,0,1,0.33
105,,Mark Birighitti,3.54,0.15,0.15,0,1.42,0.15
106,,Sean Kelly,0,0.13,0,0,0.9,0.1
