Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Armand Laurienté,0.33,0.67,93.33,4.67,0,16.67,2.67,1.33,0,0,0,1.33,0.67,0,29.67,82.02,10.67,62.5,0,0,0,0,1,0,0,0,50,70,1.67,0.67,3
Lionel Messi,0.5,0.38,58.96,4.03,0,0.31,0.81,0.06,0,0,0,0.5,0.91,0.5,60.34,83.12,22.56,71.31,0,0.28,0,0,0.88,0.09,0,0,25,48.82,1.13,0.25,32
Neymar,0.65,0.45,45.24,1.9,0.05,0,1.1,0.2,0,0.05,0,0.5,0.75,0.55,59.35,82.73,20.25,66.15,0,0.1,0,0,0.7,0,0.2,0.05,33.33,51.85,3.25,1.25,20
Rémy Cabella,0.22,0.22,60.61,1.31,0.03,0,2,0.53,0.03,0.22,0.03,1.09,0.59,0.31,49.03,84.32,18.59,58.33,0,0.09,0,0,0.72,0.06,0.09,0,37.5,53.77,1.38,0.78,32
Martin Terrier,0.56,0.38,39.13,2.94,0.25,0,1.56,0.88,0,0.31,0,0.69,0.25,0.25,36.75,75.34,11.44,71.88,0,0.06,0,0,0.94,0.13,0,0,63,57.89,1.5,0.75,16
Branco van den Boomen,0.14,0.03,57.58,1.49,0,0.18,2.03,0.29,0,0.71,0,1.51,0.37,0.23,54.23,83.03,14.46,70.33,0,0.14,0,0,1.31,0.23,0.17,0,33.33,48.52,0.54,0.94,35
Lucas Paquetá,0,0,33.33,2.5,0,0,2.5,0.5,0,1.5,0,1,0,0,62,87.1,12,76.92,0,0,0,0,1,0,0,0,80,61.9,1.5,1,2
Kylian Mbappé,0.85,0.82,40.44,4.38,0.03,0,0.29,0.15,0,0.15,0,0.32,0.5,0.15,37.94,82.95,16.44,67.86,0,0.24,0,0,0.94,0.03,0.18,0,61.54,41.77,1.18,0.56,34
Joaquín Blázquez,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,69.23,5,53.33,3,1,0,0,0,0,0,0,0,0,0,0,1
Benjamin Bourigeaud,0.19,0.19,45.16,1.97,0,0.27,1.22,0.84,0,0.73,0,1.19,0.41,0.27,46.65,80.76,14.05,61.75,0,0.14,0,0,0.84,0.11,0.11,0.03,23.26,36.73,0.38,0.95,37
