#,Team,Name
1,,Joaquín Blázquez
2,,Benjamin Lecomte
3,,Rémy Descamps
4,,Ghjuvanni Quilichini
5,,Donovan Leon
6,,Yehvann Diouf
7,,Ionuț Radu
8,,Gianluigi Donnarumma
9,,Alban Lafont
10,,Kasper Schmeichel
11,,Maxime Dupé
12,,Vito Mannone
13,,Pau López
14,,Brice Samba
15,,Mory Diaw
16,,Alexander Nübel
17,,Marco Bizot
18,,Mateusz Lis
19,,Steve Mandanda
20,,Lucas Chevalier
21,,Anthony Lopes
22,,Jonas Omlin
23,,Matz Sels
24,,Rubén Blanco
25,,Gauthier Gallon
26,,Yahia Fofana
27,,Rémy Riou
28,,Yvon Mvogo
29,,Bingourou Kamara
30,,Matis Carvalho
31,,Benoît Costil
32,,Paul Bernardoni
33,,Marcin Bułka
34,,Alexandre Letellier
35,,Benjamin Leroy
36,,Patrick Pentz
37,,Doğan Alemdar
38,,Jean-Louis Leca
39,,Ouparine Djoco
40,,Francois-Joseph Sollacaro
41,,Léo Jardim
42,,Romain Salin
