#,Team,Name,Appearances
1,,Armand Laurienté,3
2,,Lionel Messi,32
3,,Neymar,20
4,,Rémy Cabella,32
5,,Martin Terrier,16
6,,Branco van den Boomen,35
7,,Lucas Paquetá,2
8,,Kylian Mbappé,34
9,,Joaquín Blázquez,1
10,,Benjamin Bourigeaud,37
11,,Alexandre Lacazette,35
12,,Teji Savanier,30
13,,Dango Ouattara,18
14,,Benjamin Lecomte,19
15,,Florian Sotoca,38
16,,Ante Palaversa,2
17,,Przemysław Frankowski,37
18,,Nabil Bentaleb,30
19,,Aleksandr Golovin,34
20,,Franck Honorat,33
21,,Edon Zhegrova,22
22,,Rémy Descamps,1
23,,Ghjuvanni Quilichini,1
24,,Enzo Le Fée,35
25,,Jean-Ricner Bellegarde,30
26,,Florian Tardieu,15
27,,Gaëtan Laborde,37
28,,Dante,37
29,,Andrei Girotto,36
30,,Jonathan David,37
31,,Benjamin André,34
32,,Leandro Paredes,3
33,,Donovan Leon,2
34,,Jérémy Doku,29
35,,Yehvann Diouf,31
36,,Loïs Openda,38
37,,Pierre Lees Melou,32
38,,Hamza Sakhi,27
39,,Alexis Sánchez,35
40,,Wissam Ben Yedder,32
41,,Corentin Tolisso,30
42,,Jonathan Clauss,34
43,,Jordan Veretout,38
44,,Nathan N'Goumou,1
45,,Seko Fofana,35
46,,Jonathan Gradit,33
47,,Luis Javier Suárez,7
48,,Rasmus Nicolaisen,34
49,,Alexis Flips,33
50,,Rayan Cherki,34
51,,Terem Moffi,34
52,,Ionuț Radu,17
53,,Rhys Healey,4
54,,Valentin Rongier,36
55,,Angelo Fulgini,17
56,,Hicham Boudaoui,27
57,,Fabien Centonze,23
58,,Romain Del Castillo,27
59,,Fabián Ruiz,27
60,,Gianluigi Donnarumma,38
61,,Rony Lopes,32
62,,Caio Henrique,35
63,,Sofiane Boufal,13
64,,Boubakar Kouyaté,15
65,,Quentin Boisgard,5
66,,Azor Matusiwa,30
67,,Kenny Lala,17
68,,Amine Gouiri,36
69,,Alban Lafont,37
70,,Tetê,17
71,,Khéphren Thuram,35
72,,Dimitri Payet,24
73,,Marquinhos,33
74,,Mario Lemina,14
75,,Yunis Abdelhamid,37
76,,Habib Diallo,37
77,,Cengiz Ünder,37
78,,Alexander Djiku,31
79,,Nuno Mendes,23
80,,Marco Verratti,29
81,,Johan Gastien,31
82,,Kasper Schmeichel,36
83,,Nicolás Tagliafico,34
84,,Youcef Belaïli,23
85,,Maxence Caqueret,36
86,,Kevin Danso,37
87,,Maxime Dupé,38
88,,Romain Faivre,26
89,,Danilo Pereira,33
90,,Badredine Bouanani,19
91,,Vito Mannone,18
92,,Dejan Lovren,17
93,,Pau López,33
94,,Chancel Mbemba,36
95,,Jimmy Cabot,11
96,,Castello Lukeba,34
97,,Brice Samba,37
98,,Himad Abdelli,30
99,,Sergio Ramos,33
100,,Mory Diaw,37
101,,Stijn Spierings,36
102,,Benoît Badiashile,11
103,,Junya Ito,35
104,,Emmanuel Agbadou,29
105,,Adam Ounas,21
106,,Maximiliano Caufriez,26
107,,Hamari Traore,31
108,,Montassar Talbi,38
109,,Youssouf Ndayishimiye,10
110,,Nicolas Pépé,19
111,,Faouzi Ghoulam,7
112,,Baptiste Santamaria,25
113,,Adrien Truffert,28
114,,Malo Gusto,21
115,,Ludovic Blas,37
116,,Saîf-Eddine Khaoui,34
117,,Adrien Thomasson,35
118,,Angel Gomes,36
119,,Steve Mounié,23
120,,Mathias Autret,23
121,,Frédéric Guilbert,18
122,,Brendan Chardonnet,30
123,,Guillermo Maripán,26
124,,Jean-Clair Todibo,34
125,,Sofiane Diop,23
126,,Alexander Nübel,38
127,,Vanderson,31
128,,Nordi Mukiele,19
129,,Lucien Agoumé,15
130,,Julien Laporte,20
131,,Marshall Munetsi,34
132,,Leonardo Balerdi,35
133,,Axel Disasi,38
134,,Alexsandro Ribeiro,21
135,,Breel Embolo,32
136,,Laurent Abergel,29
137,,Folarin Balogun,37
138,,Quentin Merlin,24
139,,Jubal,37
140,,Achraf Hakimi,28
141,,Mikkel Desler,27
142,,Samuel Gigot,26
143,,Lovro Majer,32
144,,Warmed Omari,16
145,,Aaron Ramsey,27
146,,Marco Bizot,37
147,,Lilian Raolisoa,7
148,,Rominigue Kouamé,32
149,,Muhammed Cham-Saračević,38
150,,Youcef Atal,18
151,,Mateusz Lis,9
152,,Alidu Seidu,28
153,,Joris Chotard,35
154,,Facundo Medina,32
155,,Xavier Chavalerin,34
156,,Arthur Theate,35
157,,Ross Barkley,27
158,,Mattéo Guendouzi,33
159,,Neto Borges,33
160,,Tiago Djaló,25
161,,Yuito Suzuki,3
162,,Ruan Potó,3
163,,Jean Claude Billong,1
164,,Flavius Daniliuc,2
165,,Bamo Meïté,17
166,,Elye Wahi,33
167,,Sanjin Prcić,29
168,,Karl Toko Ekambi,36
169,,Krépin Diatta,31
170,,Thiago Mendes,31
171,,Pedro Chirivella,26
172,,Joe Rodon,16
173,,Rafael Ratão,30
174,,Ruslan Malinovskyi,20
175,,Anthony Rouault,37
176,,Farès Chaïbi,36
177,,Steve Mandanda,34
178,,Bradley Barcola,26
179,,Lucas Chevalier,32
180,,Dimitri Liénard,28
181,,Han-Noah Massengo,14
182,,Morgan Sanson,18
183,,Jordan Lotomba,33
184,,David Pereira da Costa,31
185,,Sinaly Diomandé,24
186,,Ludovic Ajorque,13
187,,Anthony Lopes,32
188,,Rayan Raveloson,34
189,,Youssouf Fofana,36
190,,Eliesse Ben Seghir,19
191,,Melvin Bard,33
192,,Mostafa Mohamed,36
193,,Djed Spence,8
194,,Jonas Omlin,14
195,,Vitinha,36
196,,Christopher Jullien,30
197,,Mahdi Camara,31
198,,Cheick Keita,9
199,,Florent Mollet,19
200,,Jonathan Bamba,34
201,,Arnaud Nordin,36
202,,José Fonte,31
203,,Thijs Dallinga,36
204,,Sead Kolašinac,33
205,,Sacha Delaye,3
206,,André Gomes,26
207,,Gideon Mensah,26
208,,Paul Joly,10
209,,Mateusz Wieteska,35
210,,Christopher Wooh,14
211,,Nicolas Pallois,26
212,,Lilian Brassier,36
213,,Souleymane Isaak Touré,24
214,,Mohamed Camara,29
215,,Kevin Volland,17
216,,Julien Le Cardinal,8
217,,Maxime Le Marchand,26
218,,Mounaim El Idrissy,32
219,,Matz Sels,38
220,,Mama Baldé,34
221,,Jean-Charles Castelletto,32
222,,Quentin Bernard,7
223,,Ismaily,23
224,,Andy Delort,26
225,,Alexis Claude-Maurice,22
226,,Presnel Kimpembe,11
227,,Désiré Doué,26
228,,Massadio Haïdara,36
229,,Jean Onana,21
230,,Loïc Badé,1
231,,Antonin Bobichon,3
232,,Kays Ruiz-Atil,1
233,,Eli Junior Kroupi,1
234,,Fallou Fall,1
235,,Nathan Zeze,1
236,,Grejohn Kyei,37
237,,Habib Diarra,29
238,,Bafodé Diakité,33
239,,Antoine Mendy,11
240,,Jens Cajuste,31
241,,Flavien Tait,30
242,,Jaouen Hadjam,13
243,,Andreaw Gravillon,13
244,,Carlos Soler,26
245,,Billal Brahimi,26
246,,Hugo Ekitiké,25
247,,Logan Costa,6
248,,Rubén Blanco,6
249,,Kévin Gameiro,34
250,,Ismael Doukoure,28
251,,Vincent Le Goff,37
252,,Pape Gueye,14
253,,Eric Bailly,17
254,,Gauthier Gallon,30
255,,Thomas Mangani,26
256,,Maxime Gonalons,25
257,,Salis Abdul Samed,33
258,,Chrislain Matsima,14
259,,Reda Belahyane,4
260,,Yahia Fofana,11
261,,Ibrahima Kone,37
262,,Amine Harit,10
263,,Cédric Bakambu,3
264,,Jean Lucas,6
265,,Ismael Gharbi,6
266,,Wout Faes,3
267,,Yohann Magnin,38
268,,Gedeon Kalulu,29
269,,Renato Sanches,23
270,,Issiaga Sylla,32
271,,Myziane Maolida,9
272,,Jeanuel Belocian,8
273,,Tanguy Zoukrou,8
274,,Deiver Machado,33
275,,Wesley Saïd,21
276,,Aïman Maurer,10
277,,Juan Bernat,28
278,,Ronaël Pierre-Gabriel,14
279,,Rémy Riou,7
280,,Ignatius Ganago,32
281,,Lucas Perrin,26
282,,Wahbi Khazri,27
283,,Pablo Rosario,31
284,,Arnaud Kalimuendo,30
285,,Yusuf Yazıcı,4
286,,Lesley Ugochukwu,26
287,,Soungoutou Magassa,2
288,,Denys Bain,2
289,,Nuno Da Costa,33
290,,Birama Touré,38
291,,Thomas Delaine,17
292,,Elbasan Rashani,32
293,,Zakaria Aboukhlal,37
294,,Timothy Weah,29
295,,Miha Blažič,24
296,,Jordan Ferri,34
297,,Maxime Estève,23
298,,Faitout Maouassa,33
299,,Igor Silva,7
300,,Damien Da Silva,7
301,,Moses Simon,34
302,,Mathias Pereira Lage,24
303,,Calvin Stengs,4
304,,Haris Belkebla,38
305,,Komnen Andrić,34
306,,Takumi Minamino,18
307,,Mehdi Zeffane,18
308,,Kamory Doumbia,26
309,,Azzedine Ounahi,22
310,,Gaëtan Perrin,37
311,,Thomas Foket,24
312,,Hugo Magnetti,32
313,,Jeffinho,9
314,,Colin Dagba,21
315,,Warren Kamanzi,11
316,,Christophe Herelle,16
317,,Jeff Reine-Adélaïde,20
318,,Khalil Fayad,24
319,,Mitchell Van Bergen,28
320,,Jean-Eudes Aholou,30
321,,Gauthier Hein,35
322,,Jackson Porozo,22
323,,Edan Diop,7
324,,Jere Uronen,6
325,,Leny Yoro,13
326,,Mathieu Coutadeur,27
327,,Stredair Appuah,5
328,,Youssouf Koné,13
329,,Rudy Kohon,1
330,,Brandon Baiye,7
331,,Leo Leroy,27
332,,Mohamed Bayo,27
333,,Julian Jeanvier,22
334,,Yvon Mvogo,21
335,,Adil Rami,20
336,,Eduard Sobol,15
337,,Jodel Dossou,9
338,,Nicolas Cozza,17
339,,Ismaël Boura,9
340,,Issa Kaboré,22
341,,Falaye Sacko,35
342,,Achraf Dari,18
343,,Youssouf M'Changama,26
344,,Bevic Moussiti Oko,17
345,,Jérémy Le Douaron,32
346,,Stephy Mavididi,26
347,,Gerson,10
348,,Bingourou Kamara,5
349,,Vitinha,14
350,,Gabriel Gudmundsson,18
