#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Armand Laurienté,0.33,0.67,93.33,4.67,0,16.67
2,,Lionel Messi,0.5,0.38,58.96,4.03,0,0.31
3,,Neymar,0.65,0.45,45.24,1.9,0.05,0
4,,Rémy Cabella,0.22,0.22,60.61,1.31,0.03,0
5,,Martin Terrier,0.56,0.38,39.13,2.94,0.25,0
6,,Branco van den Boomen,0.14,0.03,57.58,1.49,0,0.18
7,,Lucas Paquetá,0,0,33.33,2.5,0,0
8,,Kylian Mbappé,0.85,0.82,40.44,4.38,0.03,0
9,,Joaquín Blázquez,0,0,0,0,0,0
10,,Benjamin Bourigeaud,0.19,0.19,45.16,1.97,0,0.27
11,,Alexandre Lacazette,0.77,0.6,57.58,3.29,0.09,0
12,,Teji Savanier,0.4,0.03,63.16,2.13,0,0.35
13,,Dango Ouattara,0.33,0.28,44.44,2.89,0.11,1.39
14,,Benjamin Lecomte,0,0,100,0,0,0
15,,Florian Sotoca,0.18,0.32,47.06,2.34,0.03,0
16,,Ante Palaversa,0.5,0,0,0.5,0.5,0
17,,Przemysław Frankowski,0.14,0.03,46.43,0.84,0,0
18,,Nabil Bentaleb,0.13,0,65.96,1.37,0,0.42
19,,Aleksandr Golovin,0.24,0.12,65.85,1.44,0.03,0
20,,Franck Honorat,0.18,0.12,30,1.42,0,0
21,,Edon Zhegrova,0.14,0.18,49.53,1.91,0,0
22,,Rémy Descamps,0,0,0,0,0,0
23,,Ghjuvanni Quilichini,0,0,0,0,0,0
24,,Enzo Le Fée,0.14,0.03,50.37,1.29,0,0.36
25,,Jean-Ricner Bellegarde,0.07,0.07,64.04,1.27,0,0.3
26,,Florian Tardieu,0.2,0,70,0.87,0,0
27,,Gaëtan Laborde,0.41,0.19,50.91,2.32,0.08,0
28,,Dante,0.03,0.05,61.54,0.62,0,0
29,,Andrei Girotto,0.03,0.03,33.33,0.75,0,0
30,,Jonathan David,0.65,0.51,42.65,2.86,0.03,0
31,,Benjamin André,0.03,0.03,57.58,0.71,0,0
32,,Leandro Paredes,0,0,0,0,0,0
33,,Donovan Leon,0,0,100,0,0,0
34,,Jérémy Doku,0.21,0,66.21,0.9,0,0
35,,Yehvann Diouf,0,0,100,0,0,0
36,,Loïs Openda,0.55,0.37,40.43,2.74,0.16,0
37,,Pierre Lees Melou,0.16,0.03,64.71,1.34,0.03,0
38,,Hamza Sakhi,0.04,0,71.43,1.11,0,0
39,,Alexis Sánchez,0.4,0.31,57.33,1.89,0.03,1.14
40,,Wissam Ben Yedder,0.59,0.44,47.92,2.25,0.03,0
41,,Corentin Tolisso,0.03,0.07,50,1,0,0
42,,Jonathan Clauss,0.06,0.09,54.24,1.41,0,0
43,,Jordan Veretout,0.11,0.05,70.59,0.82,0,0
44,,Nathan N'Goumou,0,0,33.33,0,0,0
45,,Seko Fofana,0.2,0.17,59.6,2.4,0,0
46,,Jonathan Gradit,0.03,0.03,50,0.15,0,0
47,,Luis Javier Suárez,0.43,0.57,100,2.29,0,0
48,,Rasmus Nicolaisen,0,0.06,75,0.38,0,0
49,,Alexis Flips,0.12,0.03,33.33,1.61,0,0
50,,Rayan Cherki,0.12,0.12,54.86,1.79,0,0
51,,Terem Moffi,0.53,0.47,62.5,2.32,0.06,0
52,,Ionuț Radu,0,0,100,0,0,0
53,,Rhys Healey,0.5,0,0,1.25,0,0
54,,Valentin Rongier,0.03,0.03,65.91,0.61,0,0
55,,Angelo Fulgini,0.06,0.24,44.83,0.71,0,0
56,,Hicham Boudaoui,0.04,0,47.54,0.78,0,0
57,,Fabien Centonze,0,0,63.33,0.61,0,0
58,,Romain Del Castillo,0.22,0.11,46.67,1.33,0.04,0
59,,Fabián Ruiz,0.11,0.04,60,0.96,0,0
60,,Gianluigi Donnarumma,0,0,100,0,0,0
61,,Rony Lopes,0.22,0.06,57.69,1.78,0,0.63
62,,Caio Henrique,0.03,0.03,70.37,0.29,0,1.43
