#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Armand Laurienté,2.67,1.33,0,0,0,1.33
2,,Lionel Messi,0.81,0.06,0,0,0,0.5
3,,Neymar,1.1,0.2,0,0.05,0,0.5
4,,Rémy Cabella,2,0.53,0.03,0.22,0.03,1.09
5,,Martin Terrier,1.56,0.88,0,0.31,0,0.69
6,,Branco van den Boomen,2.03,0.29,0,0.71,0,1.51
7,,Lucas Paquetá,2.5,0.5,0,1.5,0,1
8,,Kylian Mbappé,0.29,0.15,0,0.15,0,0.32
9,,Joaquín Blázquez,0,0,0,2,0,0
10,,Benjamin Bourigeaud,1.22,0.84,0,0.73,0,1.19
11,,Alexandre Lacazette,1.23,0.43,0.03,0.11,0,0.54
12,,Teji Savanier,1.53,1,0,0.37,0.03,1.57
13,,Dango Ouattara,2.28,1.06,0,0.94,0,0.72
14,,Benjamin Lecomte,0,0,0,0.79,0,0.11
15,,Florian Sotoca,1.03,0.76,0,1.29,0,0.66
16,,Ante Palaversa,0.5,0.5,0,0,0,0
17,,Przemysław Frankowski,2.08,1.11,0,0.95,0,1.11
18,,Nabil Bentaleb,2.5,1.47,0,0.93,0.03,0.83
19,,Aleksandr Golovin,1.82,1.09,0,0.24,0,1.29
20,,Franck Honorat,1.21,0.64,0.03,0.45,0,0.45
21,,Edon Zhegrova,0.82,0.09,0,0.05,0,0.36
22,,Rémy Descamps,0,0,0,0,0,0
23,,Ghjuvanni Quilichini,0,0,0,1,0,0
24,,Enzo Le Fée,3.09,0.97,0,0.91,0,2
25,,Jean-Ricner Bellegarde,1.57,0.87,0.03,0.57,0,0.47
26,,Florian Tardieu,2.07,1.53,0,0.67,0,1.27
27,,Gaëtan Laborde,1.24,0.24,0,0.35,0,0.62
28,,Dante,1.89,1.27,0.03,3.27,0,0.62
29,,Andrei Girotto,3.39,2.03,0.06,4.78,0,1.61
30,,Jonathan David,0.65,0.24,0,0.32,0,0.46
31,,Benjamin André,3.76,1.35,0,1.59,0,1.65
32,,Leandro Paredes,0.33,0.33,0,0,0,0
33,,Donovan Leon,0,0,0,1,0,0
34,,Jérémy Doku,0.86,0.17,0,0.07,0,0.41
35,,Yehvann Diouf,0.06,0.03,0,0.71,0.06,0.06
36,,Loïs Openda,0.29,0.05,0,0.16,0,0.29
37,,Pierre Lees Melou,3.03,1.63,0.06,1.31,0,2.06
38,,Hamza Sakhi,1.63,0.93,0,0.3,0,0.74
39,,Alexis Sánchez,0.77,0.14,0,0.17,0,0.6
40,,Wissam Ben Yedder,0.5,0.13,0,0,0,0.28
41,,Corentin Tolisso,1.47,0.8,0,0.7,0,1.37
42,,Jonathan Clauss,1.35,0.91,0.03,1.12,0,0.85
43,,Jordan Veretout,1.47,0.95,0,1.05,0,0.74
44,,Nathan N'Goumou,3,2,0,0,0,0
45,,Seko Fofana,0.8,0.54,0,0.37,0,0.69
46,,Jonathan Gradit,1.88,1.15,0,2.48,0,0.67
47,,Luis Javier Suárez,0.57,0.43,0,0.86,0,0.43
48,,Rasmus Nicolaisen,1.41,1.47,0.03,4.44,0,0.5
49,,Alexis Flips,1.55,0.73,0,0.33,0,1.12
50,,Rayan Cherki,0.41,0.15,0.03,0.03,0,0.44
51,,Terem Moffi,0.59,0.15,0,0.38,0,0.35
52,,Ionuț Radu,0,0,0,0.47,0.06,0
53,,Rhys Healey,0,0,0,0,0,0
54,,Valentin Rongier,2.58,1.5,0,0.94,0,1
55,,Angelo Fulgini,0.82,0.47,0,0.12,0,0.53
56,,Hicham Boudaoui,2.48,1.3,0,0.56,0,0.67
57,,Fabien Centonze,2.52,1.91,0,2.26,0,0.52
58,,Romain Del Castillo,1.44,0.41,0,0.19,0,0.74
59,,Fabián Ruiz,2.3,0.67,0.04,0.81,0,1.33
60,,Gianluigi Donnarumma,0.03,0,0.03,0.66,0.08,0.03
61,,Rony Lopes,0.75,0.28,0,0.31,0,0.75
62,,Caio Henrique,2.11,0.74,0,1.49,0,0.91
63,,Sofiane Boufal,1.08,0.38,0,0.08,0,0.85
64,,Boubakar Kouyaté,2.07,2.27,0,4.67,0.07,1.07
65,,Quentin Boisgard,1.2,0.8,0,0.4,0,0.2
66,,Azor Matusiwa,2.2,1.53,0,1.6,0,0.83
67,,Kenny Lala,2.12,1.24,0.06,1.35,0,0.94
68,,Amine Gouiri,1.19,0.33,0,0.33,0,0.56
69,,Alban Lafont,0,0,0.03,1.32,0.05,0.03
70,,Tetê,1.24,0.76,0,0.06,0,0.53
71,,Khéphren Thuram,1.46,1.09,0,0.86,0,0.69
72,,Dimitri Payet,0.25,0,0,0.17,0,0.29
73,,Marquinhos,1,0.7,0,2.39,0,0.24
74,,Mario Lemina,2.29,0.79,0,1.36,0,0.43
75,,Yunis Abdelhamid,2.22,1.73,0,3.05,0,0.35
76,,Habib Diallo,0.49,0.32,0,0.68,0,0.27
77,,Cengiz Ünder,1,0.49,0,0.32,0,0.57
78,,Alexander Djiku,1.71,2.13,0,4.77,0,0.65
79,,Nuno Mendes,1.96,0.74,0,0.65,0,0.48
80,,Marco Verratti,2.62,0.93,0.03,0.38,0.07,1.76
81,,Johan Gastien,1.97,1.16,0.03,0.74,0,2.35
82,,Kasper Schmeichel,0.03,0.03,0,0.44,0,0.08
83,,Nicolás Tagliafico,2.68,1.68,0.06,1.32,0,0.82
84,,Youcef Belaïli,1,0.26,0,0.13,0,0.74
85,,Maxence Caqueret,2.42,1.08,0,0.75,0,1.83
86,,Kevin Danso,1,0.89,0.05,3.32,0,0.3
87,,Maxime Dupé,0,0,0.03,0.66,0,0
88,,Romain Faivre,0.73,0.04,0,0.12,0,0.85
89,,Danilo Pereira,0.97,1.09,0,1.76,0,0.21
90,,Badredine Bouanani,0.68,0.05,0,0,0,0.37
91,,Vito Mannone,0,0,0,0.89,0.06,0
92,,Dejan Lovren,1.47,1.53,0.06,3.76,0.06,0.53
93,,Pau López,0,0,0.06,0.64,0.03,0.03
94,,Chancel Mbemba,1.19,1.17,0,2.39,0,0.25
95,,Jimmy Cabot,1.82,0.36,0,1,0,1.27
96,,Castello Lukeba,1.15,2.21,0.06,2.97,0,0.29
97,,Brice Samba,0.03,0,0,0.38,0.03,0.03
98,,Himad Abdelli,2.13,0.93,0,0.37,0,1.2
99,,Sergio Ramos,1.03,1.03,0,2.82,0,0.64
100,,Mory Diaw,0,0.05,0,0.54,0.03,0.11
101,,Stijn Spierings,2.64,1.47,0.03,1.19,0,1.61
102,,Benoît Badiashile,0.91,1.55,0,3.55,0,0.45
103,,Junya Ito,1.14,0.23,0,0.09,0.03,1.14
104,,Emmanuel Agbadou,2.45,1.1,0.03,3.59,0,0.79
105,,Adam Ounas,0.95,0.33,0,0.14,0,0.24
106,,Maximiliano Caufriez,1.54,1.31,0,2.38,0,0.31
107,,Hamari Traore,1.55,1.23,0.06,1.9,0,0.77
108,,Montassar Talbi,1.39,1.05,0,4.84,0.03,0.34
109,,Youssouf Ndayishimiye,1.3,1.2,0,2,0.1,0.5
110,,Nicolas Pépé,1.32,0.16,0,0.05,0,0.74
111,,Faouzi Ghoulam,0.43,0.57,0,1.71,0,0.29
112,,Baptiste Santamaria,1.64,0.84,0,0.88,0,0.8
113,,Adrien Truffert,2.21,0.79,0,1.61,0,0.54
114,,Malo Gusto,2,1.33,0,0.71,0,1.05
115,,Ludovic Blas,1.27,0.51,0,0.16,0,0.86
116,,Saîf-Eddine Khaoui,1.38,0.97,0.03,0.24,0,0.94
117,,Adrien Thomasson,1.23,0.2,0,0.46,0,1.54
118,,Angel Gomes,1.14,0.36,0,0.31,0,0.86
119,,Steve Mounié,0.57,0.13,0,0.87,0,0.39
120,,Mathias Autret,0.96,0.52,0,0.43,0,0.39
121,,Frédéric Guilbert,2.61,2.39,0.06,1.72,0,1
122,,Brendan Chardonnet,1.5,2.1,0.03,2.83,0,0.6
123,,Guillermo Maripán,1.77,1.46,0.12,3.23,0,0.62
