#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Armand Laurienté,0,0,50,70,1.67,0.67
2,,Lionel Messi,0,0,25,48.82,1.13,0.25
3,,Neymar,0.2,0.05,33.33,51.85,3.25,1.25
4,,Rémy Cabella,0.09,0,37.5,53.77,1.38,0.78
5,,Martin Terrier,0,0,63,57.89,1.5,0.75
6,,Branco van den Boomen,0.17,0,33.33,48.52,0.54,0.94
7,,Lucas Paquetá,0,0,80,61.9,1.5,1
8,,Kylian Mbappé,0.18,0,61.54,41.77,1.18,0.56
9,,Joaquín Blázquez,0,0,0,0,0,0
10,,Benjamin Bourigeaud,0.11,0.03,23.26,36.73,0.38,0.95
11,,Alexandre Lacazette,0.09,0,37.84,45.08,1.6,1.83
12,,Teji Savanier,0.13,0.1,37.14,51.25,3.2,1.93
13,,Dango Ouattara,0.06,0.06,49.37,54.98,2.39,0.83
14,,Benjamin Lecomte,0,0,75,63.64,0,0
15,,Florian Sotoca,0.11,0,54.9,51.16,1.16,0.97
16,,Ante Palaversa,0,0,0,100,0,0
17,,Przemysław Frankowski,0.11,0,36.36,49.18,0.49,0.95
18,,Nabil Bentaleb,0.17,0.03,60.42,59.3,1.8,1.3
19,,Aleksandr Golovin,0.15,0,40,45.94,0.68,1.06
20,,Franck Honorat,0.03,0,26.53,39.81,0.55,0.7
21,,Edon Zhegrova,0.05,0,0,47.25,0.68,0.5
22,,Rémy Descamps,1,0,0,0,0,0
23,,Ghjuvanni Quilichini,0,0,0,0,0,0
24,,Enzo Le Fée,0.14,0,32.43,49.31,1.83,1.2
25,,Jean-Ricner Bellegarde,0.17,0,40,55.97,2.43,1.2
26,,Florian Tardieu,0.13,0,46.67,55.08,1.33,0.73
27,,Gaëtan Laborde,0,0,45,47.43,0.78,0.7
28,,Dante,0.16,0,71.57,62.59,0.49,1.03
29,,Andrei Girotto,0.19,0,65,58.96,0.94,1.5
30,,Jonathan David,0.16,0,20,37.87,1.59,1.11
