#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Armand Laurienté,0.67,0,29.67,82.02,10.67,62.5
2,,Lionel Messi,0.91,0.5,60.34,83.12,22.56,71.31
3,,Neymar,0.75,0.55,59.35,82.73,20.25,66.15
4,,Rémy Cabella,0.59,0.31,49.03,84.32,18.59,58.33
5,,Martin Terrier,0.25,0.25,36.75,75.34,11.44,71.88
6,,Branco van den Boomen,0.37,0.23,54.23,83.03,14.46,70.33
7,,Lucas Paquetá,0,0,62,87.1,12,76.92
8,,Kylian Mbappé,0.5,0.15,37.94,82.95,16.44,67.86
9,,Joaquín Blázquez,0,0,26,69.23,5,53.33
10,,Benjamin Bourigeaud,0.41,0.27,46.65,80.76,14.05,61.75
11,,Alexandre Lacazette,0.17,0.14,24.86,75.52,9.23,58
12,,Teji Savanier,0.3,0.13,47.27,77.86,12.37,60.33
13,,Dango Ouattara,0.33,0.28,22.33,63.93,6.22,44.44
14,,Benjamin Lecomte,0,0,29.89,60.04,0.84,39.12
15,,Florian Sotoca,0.29,0.24,36.63,80.1,10.5,64.8
16,,Ante Palaversa,0,0,7.5,93.33,1,100
17,,Przemysław Frankowski,0.27,0.08,36.05,82.08,10.24,54.64
18,,Nabil Bentaleb,0.1,0.13,58.27,85.18,9.93,62.05
19,,Aleksandr Golovin,0.18,0.21,28.35,74.79,9.74,51.19
20,,Franck Honorat,0.45,0.15,24.58,74.97,7.36,52.27
21,,Edon Zhegrova,0.55,0.18,23.14,82.51,10.45,68.42
22,,Rémy Descamps,0,0,17,76.47,1,55.56
23,,Ghjuvanni Quilichini,0,0,32,37.5,0,29.63
24,,Enzo Le Fée,0.29,0.14,56.09,84.67,11.89,63.25
25,,Jean-Ricner Bellegarde,0.2,0.2,36.33,81.65,9.63,47.83
26,,Florian Tardieu,0,0,47.07,90.37,9.67,71.79
27,,Gaëtan Laborde,0.24,0.08,18.78,70.79,5.05,47.83
28,,Dante,0.11,0.05,71.03,90.14,4.95,54.36
29,,Andrei Girotto,0.08,0.03,48.11,83.03,4.81,54.67
30,,Jonathan David,0.24,0.11,23.19,82.75,8.14,93.75
31,,Benjamin André,0.09,0.03,67.53,84.36,14.12,67.05
32,,Leandro Paredes,0.33,0.33,23.33,97.14,4.33,100
33,,Donovan Leon,0,0,35.5,42.25,3.5,32.79
34,,Jérémy Doku,0.21,0.07,17.03,86.44,7.62,77.78
35,,Yehvann Diouf,0,0,28,76.38,0.35,49.48
36,,Loïs Openda,0.32,0.11,10.61,71.22,3.29,57.14
37,,Pierre Lees Melou,0.19,0.16,44.16,83.93,8.5,66.79
38,,Hamza Sakhi,0.15,0.07,31.48,86.35,9,76.34
39,,Alexis Sánchez,0.37,0.09,25.31,75.85,9.71,71.21
40,,Wissam Ben Yedder,0.19,0.19,18.19,76.46,7,42.86
41,,Corentin Tolisso,0.43,0.07,63.6,88.84,13.83,80.12
42,,Jonathan Clauss,0.41,0.26,33.38,75.77,9.91,45.54
43,,Jordan Veretout,0.21,0.08,53.97,87.86,13.97,69.05
44,,Nathan N'Goumou,1,0,28,82.14,15,0
45,,Seko Fofana,0.17,0.14,50.34,89.27,11.74,73.74
46,,Jonathan Gradit,0.09,0.09,62.55,90.16,9.7,63.35
47,,Luis Javier Suárez,0,0.14,11.14,67.95,3.71,100
48,,Rasmus Nicolaisen,0.06,0.06,51.71,84.3,2.91,50.62
