#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Armand Laurienté,0,0,0,0,1,0
2,,Lionel Messi,0,0.28,0,0,0.88,0.09
3,,Neymar,0,0.1,0,0,0.7,0
4,,Rémy Cabella,0,0.09,0,0,0.72,0.06
5,,Martin Terrier,0,0.06,0,0,0.94,0.13
6,,Branco van den Boomen,0,0.14,0,0,1.31,0.23
7,,Lucas Paquetá,0,0,0,0,1,0
8,,Kylian Mbappé,0,0.24,0,0,0.94,0.03
9,,Joaquín Blázquez,3,1,0,0,0,0
10,,Benjamin Bourigeaud,0,0.14,0,0,0.84,0.11
11,,Alexandre Lacazette,0,0.11,0,0,1.06,0.09
12,,Teji Savanier,0,0.1,0,0,1.53,0.07
13,,Dango Ouattara,0,0.11,0,0,1.28,0.11
14,,Benjamin Lecomte,3.95,0.42,0.21,0.11,1.16,0
15,,Florian Sotoca,0,0.26,0,0,0.53,0.05
16,,Ante Palaversa,0,0,0,0,0,0
17,,Przemysław Frankowski,0,0.14,0,0,0.46,0.11
18,,Nabil Bentaleb,0,0.1,0,0,1.93,0.2
19,,Aleksandr Golovin,0,0.06,0,0,0.97,0.06
20,,Franck Honorat,0,0.12,0,0,0.97,0.06
21,,Edon Zhegrova,0,0.05,0,0,0.45,0
22,,Rémy Descamps,5,0,0,0,1,0
23,,Ghjuvanni Quilichini,4,0,0,0,0,0
24,,Enzo Le Fée,0,0.14,0,0,1.14,0.2
25,,Jean-Ricner Bellegarde,0,0.07,0,0,1.33,0.17
26,,Florian Tardieu,0,0,0,0,1.53,0.2
27,,Gaëtan Laborde,0,0.16,0,0,0.65,0.19
28,,Dante,0,0.3,0,0,0.78,0.19
29,,Andrei Girotto,0,0.31,0,0,1.31,0.08
30,,Jonathan David,0,0.11,0,0,1.03,0.11
31,,Benjamin André,0,0.21,0,0,0.94,0.09
32,,Leandro Paredes,0,0,0,0,0.33,0
33,,Donovan Leon,4.5,0,0.5,0,1,0
34,,Jérémy Doku,0,0.03,0,0,0.41,0.03
35,,Yehvann Diouf,3.45,0.45,0.03,0,0.81,0.19
36,,Loïs Openda,0,0,0,0,0.45,0.11
37,,Pierre Lees Melou,0,0.19,0,0,1.16,0.13
38,,Hamza Sakhi,0,0.07,0,0,1.3,0.19
39,,Alexis Sánchez,0,0.03,0,0,0.63,0.14
40,,Wissam Ben Yedder,0,0.06,0,0,1.09,0.09
41,,Corentin Tolisso,0,0.07,0,0,0.97,0.07
42,,Jonathan Clauss,0,0.09,0,0,0.62,0.18
43,,Jordan Veretout,0,0.21,0,0,0.68,0.13
44,,Nathan N'Goumou,0,0,0,0,1,0
45,,Seko Fofana,0,0.29,0,0,0.6,0.11
46,,Jonathan Gradit,0,0.27,0,0,0.7,0.12
47,,Luis Javier Suárez,0,0,0,0,0.29,0
48,,Rasmus Nicolaisen,0,0.26,0,0,1.15,0.24
49,,Alexis Flips,0,0.06,0,0,0.58,0.12
50,,Rayan Cherki,0,0.09,0,0,0.59,0.06
51,,Terem Moffi,0,0.09,0,0,1.09,0.09
52,,Ionuț Radu,3.29,0.29,0.12,0.12,1,0.18
53,,Rhys Healey,0,0,0,0,0.25,0
54,,Valentin Rongier,0,0.22,0,0,0.83,0.19
55,,Angelo Fulgini,0,0,0,0,0.29,0.06
56,,Hicham Boudaoui,0,0.22,0,0,0.44,0.07
57,,Fabien Centonze,0,0.3,0,0,0.96,0
58,,Romain Del Castillo,0,0,0,0,0.78,0.07
59,,Fabián Ruiz,0,0.11,0,0,0.67,0.11
60,,Gianluigi Donnarumma,3.26,0.34,0.13,0.03,0.97,0.08
61,,Rony Lopes,0,0.03,0,0,1.34,0.28
62,,Caio Henrique,0,0.17,0,0,1.17,0.09
63,,Sofiane Boufal,0,0,0,0,1.69,0.08
64,,Boubakar Kouyaté,0,0.33,0,0,0.87,0
65,,Quentin Boisgard,0,0,0,0,0,0
66,,Azor Matusiwa,0,0.33,0,0,0.73,0.23
67,,Kenny Lala,0,0.24,0,0,0.76,0.06
68,,Amine Gouiri,0,0.14,0,0,0.81,0.08
69,,Alban Lafont,3.59,0.3,0.24,0,1.38,0.08
70,,Tetê,0,0,0,0,0.71,0.12
71,,Khéphren Thuram,0,0.14,0,0,0.6,0.09
72,,Dimitri Payet,0,0,0,0,0.46,0.08
73,,Marquinhos,0,0.3,0,0,0.76,0.09
74,,Mario Lemina,0,0,0,0,0.43,0.21
75,,Yunis Abdelhamid,0,0.38,0,0,0.92,0.22
76,,Habib Diallo,0,0.08,0,0,1.19,0.14
77,,Cengiz Ünder,0,0.05,0,0,0.59,0.14
78,,Alexander Djiku,0,0.16,0,0,1.32,0.1
79,,Nuno Mendes,0,0.09,0,0,0.61,0.09
80,,Marco Verratti,0,0.1,0,0,0.9,0
81,,Johan Gastien,0,0.23,0,0,1.16,0.03
82,,Kasper Schmeichel,2.97,0.31,0.14,0.03,0.81,0.17
83,,Nicolás Tagliafico,0,0.24,0,0,1.09,0.06
84,,Youcef Belaïli,0,0,0,0,1.26,0.17
85,,Maxence Caqueret,0,0.11,0,0,1.03,0.06
86,,Kevin Danso,0,0.41,0,0,0.59,0.11
87,,Maxime Dupé,3.32,0.24,0.18,0.08,1.29,0.21
88,,Romain Faivre,0,0.08,0,0,0.58,0.19
89,,Danilo Pereira,0,0.24,0,0,0.73,0.09
90,,Badredine Bouanani,0,0,0,0,0.32,0.05
91,,Vito Mannone,3.39,0.28,0.06,0,1.06,0.28
92,,Dejan Lovren,0,0.24,0,0,1.12,0.06
93,,Pau López,2.79,0.3,0.15,0,0.88,0.15
94,,Chancel Mbemba,0,0.19,0,0,0.72,0.19
95,,Jimmy Cabot,0,0.27,0,0,0.55,0
96,,Castello Lukeba,0,0.18,0,0,1.12,0.09
97,,Brice Samba,2.68,0.41,0.08,0,0.65,0.11
98,,Himad Abdelli,0,0.03,0,0,1.43,0.2
99,,Sergio Ramos,0,0.21,0,0,0.94,0.03
100,,Mory Diaw,3.08,0.27,0.32,0.11,1.24,0.03
101,,Stijn Spierings,0,0.22,0,0,1.25,0.22
102,,Benoît Badiashile,0,0.27,0,0,1.27,0.09
103,,Junya Ito,0,0.2,0,0,0.83,0.2
104,,Emmanuel Agbadou,0,0.24,0,0,0.97,0.17
105,,Adam Ounas,0,0.05,0,0,0.57,0.1
106,,Maximiliano Caufriez,0,0.27,0,0,0.92,0.04
107,,Hamari Traore,0,0.19,0,0,0.81,0.13
108,,Montassar Talbi,0,0.21,0,0,1.18,0.21
109,,Youssouf Ndayishimiye,0,0.2,0,0,0.6,0
110,,Nicolas Pépé,0,0.16,0,0,0.79,0.11
111,,Faouzi Ghoulam,0,0,0,0,0.86,0.14
112,,Baptiste Santamaria,0,0.24,0,0,0.76,0.08
113,,Adrien Truffert,0,0.11,0,0,0.86,0.04
114,,Malo Gusto,0,0.1,0,0,1.14,0.1
115,,Ludovic Blas,0,0.16,0,0,0.97,0
116,,Saîf-Eddine Khaoui,0,0.03,0,0,0.74,0
117,,Adrien Thomasson,0,0.03,0,0,0.83,0.09
118,,Angel Gomes,0,0.06,0,0,0.92,0.08
119,,Steve Mounié,0,0.22,0,0,0.7,0.09
120,,Mathias Autret,0,0,0,0,1,0.13
121,,Frédéric Guilbert,0,0.11,0,0,1.28,0.11
122,,Brendan Chardonnet,0,0.2,0,0,1.17,0.07
123,,Guillermo Maripán,0,0.19,0,0,1.15,0.08
124,,Jean-Clair Todibo,0,0.26,0,0,0.74,0.12
125,,Sofiane Diop,0,0.04,0,0,0.3,0.17
126,,Alexander Nübel,3.68,0.24,0.13,0,1.42,0.11
127,,Vanderson,0,0.1,0,0,1.13,0
128,,Nordi Mukiele,0,0.26,0,0,0.53,0.05
129,,Lucien Agoumé,0,0,0,0,1.53,0.4
130,,Julien Laporte,0,0.15,0,0,1.2,0.1
131,,Marshall Munetsi,0,0.18,0,0,0.94,0.21
132,,Leonardo Balerdi,0,0.2,0,0,0.74,0.14
133,,Axel Disasi,0,0.24,0,0,1.37,0.11
134,,Alexsandro Ribeiro,0,0.14,0,0,1.05,0.14
135,,Breel Embolo,0,0.16,0,0,0.97,0.03
136,,Laurent Abergel,0,0.14,0,0,1.03,0.17
137,,Folarin Balogun,0,0.14,0,0,0.84,0.16
138,,Quentin Merlin,0,0.08,0,0,1.08,0.08
139,,Jubal,0,0.19,0,0,1.41,0.16
140,,Achraf Hakimi,0,0.29,0,0,0.61,0.07
141,,Mikkel Desler,0,0.19,0,0,1.15,0.15
142,,Samuel Gigot,0,0.12,0,0,0.62,0.15
143,,Lovro Majer,0,0.13,0,0,0.41,0.09
144,,Warmed Omari,0,0.44,0,0,0.69,0.13
145,,Aaron Ramsey,0,0.11,0,0,0.33,0.04
146,,Marco Bizot,3.38,0.22,0.24,0.05,1.35,0.11
147,,Lilian Raolisoa,0,0,0,0,0.57,0
148,,Rominigue Kouamé,0,0.03,0,0,1.59,0.31
149,,Muhammed Cham-Saračević,0,0,0,0,0.82,0.03
150,,Youcef Atal,0,0,0,0,0.22,0.11
151,,Mateusz Lis,3.89,0.11,0.33,0.11,1.56,0.22
152,,Alidu Seidu,0,0.25,0,0,1.14,0.04
153,,Joris Chotard,0,0.17,0,0,1.2,0.06
154,,Facundo Medina,0,0.28,0,0,0.66,0.13
155,,Xavier Chavalerin,0,0.03,0,0,1.44,0.24
156,,Arthur Theate,0,0.29,0,0,0.97,0.11
157,,Ross Barkley,0,0,0,0,0.37,0.15
158,,Mattéo Guendouzi,0,0.12,0,0,0.64,0.09
159,,Neto Borges,0,0.27,0,0,1.27,0.03
160,,Tiago Djaló,0,0.24,0,0,0.88,0.08
161,,Yuito Suzuki,0,0,0,0,0.33,0
162,,Ruan Potó,0,0,0,0,0.33,0.33
163,,Jean Claude Billong,0,0,0,0,0,0
164,,Flavius Daniliuc,0,0,0,0,0.5,0
165,,Bamo Meïté,0,0.29,0,0,0.94,0.35
166,,Elye Wahi,0,0.03,0,0,1.24,0.06
167,,Sanjin Prcić,0,0.03,0,0,1.17,0.1
168,,Karl Toko Ekambi,0,0.06,0,0,0.58,0.11
169,,Krépin Diatta,0,0.03,0,0,1.06,0.1
170,,Thiago Mendes,0,0.1,0,0,0.74,0.06
171,,Pedro Chirivella,0,0.12,0,0,1.04,0.08
172,,Joe Rodon,0,0.25,0,0,1,0.06
173,,Rafael Ratão,0,0,0,0,0.97,0.13
174,,Ruslan Malinovskyi,0,0.05,0,0,0.8,0.05
175,,Anthony Rouault,0,0.22,0,0,1.27,0.22
176,,Farès Chaïbi,0,0.08,0,0,0.69,0.14
177,,Steve Mandanda,2.35,0.35,0.09,0.03,0.85,0.06
178,,Bradley Barcola,0,0.04,0,0,0.69,0
179,,Lucas Chevalier,2.44,0.31,0.09,0.03,0.88,0.09
180,,Dimitri Liénard,0,0.04,0,0,0.82,0.04
181,,Han-Noah Massengo,0,0.21,0,0,0.79,0.14
182,,Morgan Sanson,0,0.11,0,0,1.11,0.11
183,,Jordan Lotomba,0,0.24,0,0,0.61,0.18
184,,David Pereira da Costa,0,0,0,0,0.19,0.06
185,,Sinaly Diomandé,0,0.17,0,0,1.13,0.08
186,,Ludovic Ajorque,0,0,0,0,1.15,0.23
187,,Anthony Lopes,3,0.22,0.22,0,1.13,0.09
188,,Rayan Raveloson,0,0.15,0,0,1.09,0.09
189,,Youssouf Fofana,0,0.25,0,0,1.22,0.11
190,,Eliesse Ben Seghir,0,0,0,0,0.89,0.05
191,,Melvin Bard,0,0.15,0,0,0.76,0.21
192,,Mostafa Mohamed,0,0,0,0,0.89,0.03
193,,Djed Spence,0,0.25,0,0,0.63,0
194,,Jonas Omlin,3.57,0.14,0.29,0.07,1.79,0.07
195,,Vitinha,0,0.08,0,0,0.72,0.06
