#,Team,Name,Appearances
1,,Julien Maggiotti,18
2,,Felix Tomi,1
3,,Romain Spano,3
4,,Moustapha Name,5
5,,Yoann Barbet,29
6,,Yannis Clementia,1
7,,Adilson Malanda,1
8,,Formose Mendy,32
9,,Gautier Lloris,27
10,,Kylian Kaiboue,31
11,,Vital Nsimba,30
12,,Jean-Philippe Krasso,35
13,,Saturnin Allagbe,4
14,,Christopher Operi,35
15,,Georges Mikautadze,37
16,,Mehdi Bariki,2
17,,Henri Saivet,34
18,,Frank Magri,24
19,,Jérémy Livolant,38
20,,Moussa Doumbia,34
21,,Maxime Hautbois,3
22,,Morgan Guilavogui,32
23,,Youssef Maziz,29
24,,Niels Nkounkou,20
25,,Stian Gregersen,35
26,,Boubakar Kouyaté,12
27,,Adrian Grbić,14
28,,Gaetan Weissbeck,32
29,,Massamba Ndiaye,8
30,,Sébastien Salles-Lamonge,37
31,,Victor Lekhal,37
32,,Brice Maubleu,38
33,,Ilan Kebbal,25
34,,Arouna Sangante,35
35,,Ismaël Aaneba,30
36,,Aron van Lare,6
37,,Nabil Alioui,28
38,,Paul Joly,19
39,,Alexandre Mendy,37
40,,Valentine Ozornwafor,3
41,,Antonin Bobichon,19
42,,Malcom Bokele,29
43,,Jordan Poha,9
44,,Mohamed Kaba,32
45,,Gautier Larsonneur,38
46,,Issiar Drame,6
47,,Bilal Boutobba,35
48,,Josh Maja,37
49,,Mamadou Fofana,35
50,,Romain Thomas,37
51,,Jessy Benet,33
52,,Maxime Bernauer,35
53,,Vincent Demarconnay,22
54,,Simon Elisor,21
55,,Abdoulaye Ndiaye,28
56,,Alexandre Olliero,20
57,,Anthony Briançon,24
58,,Matthieu Udol,38
59,,Julien Le Cardinal,13
60,,Abdoul Kader Bamba,14
61,,Joffrey Cuffaut,26
62,,Rafał Strączek,3
63,,Arthur Vitelli,3
64,,Adrien Monfray,34
65,,Yoann Court,24
66,,Habib Maïga,31
67,,Mathieu Gorgelin,7
68,,Tony Mauricio,33
69,,Maxence Prévot,38
70,,Ablie Jallow,34
71,,Saad Agouzoul,37
72,,Eric Vandenabeele,28
73,,Pierre Lemonnier,4
74,,Denis Bouanga,1
75,,Emilien Christophe Thierry Grillot,1
76,,Ali Abdi,32
77,,Julien Faussurier,24
78,,Jessy Deminguet,14
79,,Oualid El Hajjam,36
80,,Loïc Mbe Soh,14
81,,Mamadou Diarra,26
82,,Thomas Monconduit,23
83,,Dylan Chambost,28
84,,Samuel Loric,9
85,,Gaetan Poussin,35
86,,Jordan Lefort,32
87,,Gustavo Sangaré,32
88,,Mickaël Le Bihan,36
