#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Julien Maggiotti,0.39,0.06,70.27,1.89,0.11,0
2,,Felix Tomi,0,0,0,0,0,0
3,,Romain Spano,0.33,0.33,0,3,0,0
4,,Moustapha Name,0,0,100,1.4,0,0
5,,Yoann Barbet,0.17,0.07,80,1.1,0.03,1.03
6,,Yannis Clementia,0,0,0,0,0,0
7,,Adilson Malanda,0,1,0,1,0,0
8,,Formose Mendy,0.03,0,72.41,0.75,0.03,0
9,,Gautier Lloris,0.11,0.04,28.57,0.63,0.07,0
10,,Kylian Kaiboue,0.06,0.06,66.67,1.39,0,0.43
11,,Vital Nsimba,0,0,50,0.4,0,0
12,,Jean-Philippe Krasso,0.49,0.11,48.78,2.23,0.03,0
13,,Saturnin Allagbe,0,0,0,0,0,0
14,,Christopher Operi,0.06,0,52.11,0.94,0,0
15,,Georges Mikautadze,0.62,0.11,41.1,2.81,0,0
16,,Mehdi Bariki,0.5,0,50,2,0,0
17,,Henri Saivet,0.21,0.06,65.71,1.12,0.03,0.59
18,,Frank Magri,0.54,0.25,28.85,2.75,0.08,0
19,,Jérémy Livolant,0.24,0.13,36.17,1.63,0,0.29
20,,Moussa Doumbia,0.32,0.15,60.49,1.62,0.03,0
21,,Maxime Hautbois,0,0,0,0,0,0
22,,Morgan Guilavogui,0.47,0.31,49.02,2.34,0.06,1.04
23,,Youssef Maziz,0.28,0.1,33.33,1.62,0.1,0
24,,Niels Nkounkou,0.3,0.05,37.78,2.05,0.1,0
25,,Stian Gregersen,0.03,0.06,57.14,0.29,0.03,0
26,,Boubakar Kouyaté,0,0.08,50,0.83,0,0
27,,Adrian Grbić,0.64,0.14,42.86,2.57,0,0.65
28,,Gaetan Weissbeck,0.16,0.13,56.25,2.75,0,0.42
29,,Massamba Ndiaye,0,0,0,0,0,0
30,,Sébastien Salles-Lamonge,0.08,0.05,52.73,0.84,0,0
31,,Victor Lekhal,0.16,0.16,78.95,0.62,0,0
32,,Brice Maubleu,0,0,0,0,0,0
33,,Ilan Kebbal,0.16,0.12,53.73,1.44,0.04,0
34,,Arouna Sangante,0.09,0.03,66.67,0.43,0,0
35,,Ismaël Aaneba,0,0,100,0.27,0,0
36,,Aron van Lare,0.17,0,87.5,0.17,0,0
37,,Nabil Alioui,0.21,0.14,44.44,1.54,0,0
38,,Paul Joly,0,0,54.17,0.58,0,0
39,,Alexandre Mendy,0.51,0.35,50,2.54,0.14,0
40,,Valentine Ozornwafor,0,0.67,0,0.67,0,0
41,,Antonin Bobichon,0.26,0,67.57,1.37,0.05,0
42,,Malcom Bokele,0.07,0.1,21.43,0.38,0.03,0
43,,Jordan Poha,0,0,66.67,0.22,0,0
44,,Mohamed Kaba,0.16,0.13,55.36,0.94,0.03,0
45,,Gautier Larsonneur,0,0,0,0,0,0
46,,Issiar Drame,0.17,0,0,0.33,0.17,0
