#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Julien Maggiotti,0.94,0.06,0,0.33,0,1.5
2,,Felix Tomi,0,0,0,0,0,0
3,,Romain Spano,0.33,0,0,0,0,0
4,,Moustapha Name,2.8,0.4,0,0.4,0,0.8
5,,Yoann Barbet,1.07,1.76,0,3.83,0.03,0.41
6,,Yannis Clementia,0,0,0,0,0,0
7,,Adilson Malanda,0,2,0,6,0,0
8,,Formose Mendy,3.47,2.41,0.06,3.41,0,1
9,,Gautier Lloris,1.11,0.78,0,3.26,0,0.41
10,,Kylian Kaiboue,2.35,1.9,0.06,1.71,0,1.13
11,,Vital Nsimba,2.27,0.87,0,1.13,0,0.73
12,,Jean-Philippe Krasso,1.71,0.17,0,0.77,0,0.91
13,,Saturnin Allagbe,0,0,0,0.75,0,0
14,,Christopher Operi,2.4,1.54,0,2,0,0.49
15,,Georges Mikautadze,0.24,0.27,0,0.24,0,0.7
16,,Mehdi Bariki,0.5,0,0,0,0,0
17,,Henri Saivet,2.47,1.09,0.03,1.38,0,1.12
18,,Frank Magri,0.58,0.25,0,0.54,0,0.25
19,,Jérémy Livolant,1.58,0.45,0,0.29,0,1.21
20,,Moussa Doumbia,0.65,0.68,0,0.18,0,0.35
21,,Maxime Hautbois,0,0,0,0.67,0,0
22,,Morgan Guilavogui,1.19,0.28,0,0.69,0,0.75
23,,Youssef Maziz,0.52,0.34,0,0.62,0,0.69
24,,Niels Nkounkou,2.6,0.8,0,1,0,1.1
25,,Stian Gregersen,1.63,1.4,0,3.4,0,0.17
26,,Boubakar Kouyaté,2.08,1.5,0,5.33,0,0.33
27,,Adrian Grbić,0.14,0.29,0,1.36,0,0.29
28,,Gaetan Weissbeck,1.78,0.5,0.03,0.41,0,1.16
29,,Massamba Ndiaye,0,0,0,1.5,0.13,0
30,,Sébastien Salles-Lamonge,1.46,0.68,0,0.14,0,0.97
31,,Victor Lekhal,1.65,2.05,0,1.3,0,1.03
32,,Brice Maubleu,0.03,0.05,0,0.66,0.03,0
33,,Ilan Kebbal,0.96,0.2,0,0.08,0,0.92
34,,Arouna Sangante,0.74,1.2,0,2.8,0.03,0.26
35,,Ismaël Aaneba,2.17,1.67,0.03,3.9,0,0.53
36,,Aron van Lare,1.67,1,0,1.5,0,0.33
37,,Nabil Alioui,0.89,0.43,0,0.39,0,0.54
38,,Paul Joly,3.05,2.16,0,1.42,0,1.21
39,,Alexandre Mendy,0.41,0.03,0,0.76,0,0.27
40,,Valentine Ozornwafor,1.33,0,0,1.67,0,0.33
41,,Antonin Bobichon,1.37,0.74,0,0.63,0,1.42
42,,Malcom Bokele,1.62,2.66,0,2.34,0.03,0.48
43,,Jordan Poha,1.44,0.67,0,4.56,0,0.44
44,,Mohamed Kaba,2.88,2.09,0,1.41,0,0.97
45,,Gautier Larsonneur,0,0,0.03,0.71,0.03,0.03
46,,Issiar Drame,1,0.83,0,3,0,0
47,,Bilal Boutobba,0.8,0.49,0,0.14,0,0.6
48,,Josh Maja,0.57,0.62,0,0.27,0,0.76
49,,Mamadou Fofana,3.26,1.71,0.03,3.63,0,1.14
50,,Romain Thomas,1.27,1.43,0.05,3.16,0,0.54
51,,Jessy Benet,2.12,1.3,0,0.76,0,1.36
52,,Maxime Bernauer,0.97,1.97,0.03,2.4,0,0.57
53,,Vincent Demarconnay,0,0,0,0.64,0,0
54,,Simon Elisor,0.62,0.1,0,1.14,0,0.24
55,,Abdoulaye Ndiaye,1.96,1.61,0.04,3.79,0,0.43
56,,Alexandre Olliero,0.1,0.05,0,1.05,0,0.05
57,,Anthony Briançon,1.13,1.63,0,3.67,0,0.63
58,,Matthieu Udol,1.76,1.92,0,2.24,0,0.71
59,,Julien Le Cardinal,2.15,2.69,0,1.92,0,1.15
60,,Abdoul Kader Bamba,0.5,0.07,0,0.07,0,0.07
61,,Joffrey Cuffaut,1.5,1.23,0,3.04,0,0.62
62,,Rafał Strączek,0,0,0,1,0,0
63,,Arthur Vitelli,1.67,2,0,4.33,0,0
64,,Adrien Monfray,2.21,1.76,0.06,3.82,0.03,1.15
65,,Yoann Court,1.5,0.29,0,0.38,0,1.25
66,,Habib Maïga,1.84,1.61,0,1.06,0,0.68
67,,Mathieu Gorgelin,0,0,0,1,0,0
68,,Tony Mauricio,1.33,0.58,0,0.06,0,0.67
69,,Maxence Prévot,0,0,0.03,0.26,0.08,0
70,,Ablie Jallow,1,0.68,0,0.12,0,0.76
71,,Saad Agouzoul,1.54,1.84,0.03,3.78,0.03,0.46
72,,Eric Vandenabeele,1.46,1.18,0.04,4.61,0.04,0.39
73,,Pierre Lemonnier,0.5,2.25,0,3,0,1
74,,Denis Bouanga,0,0,0,2,0,1
75,,Emilien Christophe Thierry Grillot,0,0,0,4,0,1
76,,Ali Abdi,2.38,1.63,0,0.94,0,0.66
77,,Julien Faussurier,2.17,0.96,0,1.42,0,1.08
78,,Jessy Deminguet,1.07,0.86,0,0.21,0,0.43
79,,Oualid El Hajjam,1.75,1.97,0,1.44,0,0.5
80,,Loïc Mbe Soh,1.79,0.86,0,4,0,0.07
81,,Mamadou Diarra,1.65,1.15,0,2.15,0.04,0.69
82,,Thomas Monconduit,1.87,0.91,0,1.13,0,0.65
83,,Dylan Chambost,0.79,0.32,0,0.32,0,0.32
84,,Samuel Loric,3.33,1.33,0,2,0,1.33
85,,Gaetan Poussin,0.03,0,0,0.63,0.06,0
86,,Jordan Lefort,1.44,1.63,0,2.22,0.03,0.63
87,,Gustavo Sangaré,1.59,1.13,0.06,0.53,0,0.81
88,,Mickaël Le Bihan,0.97,0.42,0.03,0.64,0,0.5
89,,Bradley Danger,1.36,1.17,0,1.64,0,0.83
90,,Zacharie Boucher,0,0.2,0,1,0,0
91,,Kévin Boma,3.6,2.6,0.2,4.8,0,0.6
92,,Mathieu Cafaro,1,0.36,0,0.39,0,1
93,,Marvin Senaya,2.27,1.18,0,1.61,0,0.67
94,,Aymen Boutoutaou,2.27,1.3,0,0.17,0,1.8
95,,Daniel Congré,1.33,1.48,0,2.74,0,0.44
96,,Fali Candé,1,1.34,0.03,3.37,0,0.29
97,,Balthazar Pierret,2.21,1.66,0,0.55,0,1.07
98,,Gaëtan Courtet,0.89,0.2,0,0.31,0,0.46
99,,Niclas Eliasson,1,1,0,0,0,0
100,,Lassana Diabate,0,0,0,1,0,0
101,,Remy Boissier,1.03,1.1,0,1.1,0,0.94
102,,Ibrahim Cissé,0.97,1.42,0.03,3,0,0.1
103,,Bryan Passi,1.21,1.16,0.05,4.53,0,0.21
104,,Koffi Kouao,2.06,1.27,0.03,1.82,0,0.79
105,,Tom Ducrocq,3.63,1.88,0,1.16,0,1.06
106,,Skelly Alvero,2.06,0.97,0.03,0.81,0,0.97
107,,Alex Gersbach,1.71,1.65,0.06,1.29,0,0.71
108,,Jean Louchet,0,0,0,1.8,0,0
109,,Maël Durand de Gevigney,1.39,2,0,4.55,0.06,0.42
110,,Valentin Jacob,1.78,0.65,0,0.3,0,0.87
111,,Nicolas Lemaitre,0.06,0.03,0.06,1.03,0.03,0.06
112,,Jérémy Gélin,1.97,1.24,0,0.34,0,1.41
113,,Hianga'a M'Bock,2.46,0.67,0,1,0,1.04
114,,Pape Djibril Diaw,0.92,0.83,0,1.25,0.08,0.17
115,,Pablo Pagis,1.44,0.78,0,0.53,0,0.66
116,,Kevin Mouanga,1.27,1.77,0,3.7,0.03,0.53
117,,Bilal Brahimi,0.94,0.33,0,0.19,0,0.53
118,,William Mikelbrencis,1.6,1,0,1.2,0,1
119,,Sékou Sanogo,1.8,0.8,0,0.4,0,0.8
120,,Quentin Cornette,1.16,0.48,0,0.03,0,1.06
121,,Arthur Desmas,0,0,0.03,0.42,0.03,0
122,,Jacques Ekomie,1.86,0.57,0,1.14,0,0.29
123,,Noah Diliberto,1.87,0.77,0,0.71,0,0.77
124,,Mathieu Debuchy,1.04,1.46,0,4.67,0.04,0.21
125,,Danylo Ignatenko,1.62,1,0,1.26,0,1.15
126,,Syam Ben Youssef,1.81,1.81,0.04,3.41,0.04,0.3
127,,Franck Kanouté,2.2,1.1,0.03,0.6,0,1.13
128,,Christophe Diedhiou,0.91,1.27,0,4.64,0,0.55
129,,Baptiste Guillaume,0.41,0.15,0,0.91,0,0.74
130,,Alexandre Oukidja,0,0.03,0.03,0.91,0.03,0
131,,Florent Hanin,1.04,0.92,0,1.44,0,0.68
132,,Papiss Demba Cissé,0.47,0.17,0,0.77,0,0.3
133,,Junior Mwanga,1.76,0.79,0,1.03,0,0.58
134,,Tolu Arokodare,0.4,0.4,0,1.45,0,0.2
135,,Baptiste Roux,2.19,1.26,0,2.11,0,0.63
136,,Ibrahim Sissoko,0.26,0,0,0.34,0,0.26
137,,Xavier Kouassi,1.58,1.42,0.06,3.97,0.06,0.28
138,,Rudy Boulais,0,0,0,0,0,0
139,,Yvan Neyou,2.5,2,0,0.5,0,1
140,,Lamine Sy,2.5,2.5,0,1,0,0.5
141,,Nathan Falconnier,2,0.5,0,1.5,0,0.5
