#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Julien Maggiotti,0.17,0,41.18,46.72,0.78,0.72
2,,Felix Tomi,0,0,0,0,0,1
3,,Romain Spano,0,0,0,37.5,0.67,0.67
4,,Moustapha Name,0.4,0,50,66.67,2,1
5,,Yoann Barbet,0.21,0,72.73,66.02,0.72,0.86
6,,Yannis Clementia,0,0,0,0,0,0
7,,Adilson Malanda,1,0,80,50,0,3
8,,Formose Mendy,0.16,0,69.92,67.1,1.38,1.31
9,,Gautier Lloris,0.11,0,68.38,63.96,0.52,0.56
10,,Kylian Kaiboue,0.39,0,61.22,60.88,2.52,1.39
11,,Vital Nsimba,0.13,0,54.76,54.45,1.33,1.17
12,,Jean-Philippe Krasso,0.14,0.03,47.18,44.05,1.91,1.69
13,,Saturnin Allagbe,0.25,0,0,0,0,0
14,,Christopher Operi,0.29,0,60,56.72,0.91,1.34
15,,Georges Mikautadze,0.11,0,30.14,38.5,1.7,0.78
16,,Mehdi Bariki,0,0,100,55.56,0.5,1
17,,Henri Saivet,0.06,0,51.8,57.03,1.18,0.79
18,,Frank Magri,0.25,0.08,48.12,42.68,2.04,2.29
19,,Jérémy Livolant,0.11,0,51.85,49.68,2.53,1.29
20,,Moussa Doumbia,0.18,0,47.37,59.21,2.47,0.82
21,,Maxime Hautbois,0.33,0,100,100,0,0
22,,Morgan Guilavogui,0.25,0,52.5,43.26,0.88,2
23,,Youssef Maziz,0.03,0,47.22,38.27,0.9,0.93
24,,Niels Nkounkou,0.2,0,74.19,47.83,0.6,1.45
25,,Stian Gregersen,0.14,0,65.42,65.49,1.11,1.17
26,,Boubakar Kouyaté,0.42,0.08,57.63,61.82,0.67,1.17
27,,Adrian Grbić,0.07,0,44.63,40.91,1,1.21
28,,Gaetan Weissbeck,0.22,0,36.92,44.83,1,1.28
29,,Massamba Ndiaye,0,0,50,60,0.13,0
30,,Sébastien Salles-Lamonge,0.16,0,34.29,46.78,1.16,1.03
31,,Victor Lekhal,0.16,0,59.5,58.01,0.89,0.95
32,,Brice Maubleu,0.03,0,92.31,94.12,0.13,0
33,,Ilan Kebbal,0,0,12.5,51.94,1.84,0.44
34,,Arouna Sangante,0.31,0,56.52,54.9,1.29,1.43
35,,Ismaël Aaneba,0.23,0,60.23,59.91,0.43,1.17
36,,Aron van Lare,0,0,75,80.43,2.33,0.33
37,,Nabil Alioui,0.07,0,37.5,42.67,1.07,0.96
38,,Paul Joly,0.11,0,60.71,62.62,1.74,1
39,,Alexandre Mendy,0.19,0,54.62,49,1.27,1.32
40,,Valentine Ozornwafor,0.33,0,56.25,56.52,0,0.67
41,,Antonin Bobichon,0.26,0,26.92,45.78,0.95,1
42,,Malcom Bokele,0.07,0.03,78.08,62.67,1.21,1.17
43,,Jordan Poha,0.22,0,69.57,66.67,0.11,0.44
44,,Mohamed Kaba,0.19,0,49.64,54.58,2.03,1.63
45,,Gautier Larsonneur,0.08,0,88.24,84.62,0.24,0.03
46,,Issiar Drame,0.17,0,70.59,56.1,0.83,2
47,,Bilal Boutobba,0.17,0,23.26,44.3,2.29,0.66
48,,Josh Maja,0.08,0,47.37,45.42,1.14,0.81
49,,Mamadou Fofana,0.11,0,42.47,59.27,0.37,0.71
50,,Romain Thomas,0.27,0,67.36,62.73,0.7,1
51,,Jessy Benet,0.06,0,54.84,51.84,1.12,1.09
52,,Maxime Bernauer,0.11,0,46.34,56.6,0.71,0.4
53,,Vincent Demarconnay,0,0,100,100,0.32,0
54,,Simon Elisor,0.05,0,42.37,46.65,2.43,1.81
55,,Abdoulaye Ndiaye,0.18,0.04,68.91,68.63,1.04,0.89
56,,Alexandre Olliero,0.05,0,92.31,89.47,0.15,0
