#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Julien Maggiotti,0.28,0.17,35,75.56,8.67,66.96
2,,Felix Tomi,1,1,7,71.43,4,100
3,,Romain Spano,0.33,0.67,10.67,75,4.33,60
4,,Moustapha Name,0.2,0,74.2,88.68,10.8,74.19
5,,Yoann Barbet,0.07,0.07,67.69,86.25,6.1,56.83
6,,Yannis Clementia,0,0,31,90.32,1,62.5
7,,Adilson Malanda,0,0,50,74,5,16.67
8,,Formose Mendy,0.03,0,45.94,81.63,6.69,59.92
9,,Gautier Lloris,0.11,0.11,67.15,90.35,4.56,53.33
10,,Kylian Kaiboue,0.26,0.16,56.61,75.27,8.26,50
11,,Vital Nsimba,0.53,0.2,41.8,79.98,9.1,52.27
12,,Jean-Philippe Krasso,0.31,0.34,27.2,72.06,8.74,57.14
13,,Saturnin Allagbe,0,0,18.75,65.33,0.25,43.48
14,,Christopher Operi,0.26,0.06,51.74,80.56,9.71,43.24
15,,Georges Mikautadze,0.19,0.22,23.03,79.81,7.65,80.77
16,,Mehdi Bariki,0,0,5.5,72.73,2,0
17,,Henri Saivet,0.15,0.06,41.85,78.85,8.38,62.43
18,,Frank Magri,0.25,0.17,14.46,68.59,4.21,46.15
19,,Jérémy Livolant,0.42,0.26,29.45,73.28,8.16,54.44
20,,Moussa Doumbia,0.24,0.18,30.26,86.78,9.97,79.27
21,,Maxime Hautbois,0,0,32.33,56.7,1,43.06
22,,Morgan Guilavogui,0.28,0.09,24.56,72.65,8.47,58.33
23,,Youssef Maziz,0.34,0.17,33.69,78.71,8.97,53.52
24,,Niels Nkounkou,0.5,0.35,29.4,69.39,7.1,53.95
25,,Stian Gregersen,0,0,60.83,89.29,3.49,42.92
26,,Boubakar Kouyaté,0.17,0,44.08,82.99,1.5,45.88
27,,Adrian Grbić,0,0,19.43,62.13,4.71,0
28,,Gaetan Weissbeck,0.25,0.16,53.5,85.69,15.34,63.8
29,,Massamba Ndiaye,0,0,27.5,49.09,0.88,32.73
30,,Sébastien Salles-Lamonge,0.32,0.19,43.73,80.96,11.14,58.68
31,,Victor Lekhal,0.08,0,58.7,85.04,9.11,67.27
32,,Brice Maubleu,0,0,25.97,56.64,0.39,34.78
33,,Ilan Kebbal,0.32,0.28,31.04,82.47,9.84,66.33
34,,Arouna Sangante,0.03,0.03,69.89,88.68,3.77,56.13
35,,Ismaël Aaneba,0.03,0.03,67.9,86.65,3.83,57.45
36,,Aron van Lare,0,0,33.83,77.34,2.83,34.21
37,,Nabil Alioui,0.21,0.11,18.21,74.71,5.5,43.75
38,,Paul Joly,0.05,0,44.32,72.92,6.89,42.45
39,,Alexandre Mendy,0.08,0.14,19.84,66.89,5.41,77.36
40,,Valentine Ozornwafor,0,0,35.67,84.11,1.33,60
41,,Antonin Bobichon,0.11,0.05,32.53,78.96,9.84,60
42,,Malcom Bokele,0.14,0,41.21,77.32,4.55,47.77
43,,Jordan Poha,0,0.11,45.78,86.89,2.67,57.14
44,,Mohamed Kaba,0.03,0.03,41.97,81.76,6.66,60
45,,Gautier Larsonneur,0,0,27.5,63.44,1.16,37.56
46,,Issiar Drame,0,0,28.5,86.55,0.83,36.84
47,,Bilal Boutobba,0.49,0.14,34.54,77.58,8.43,57.04
48,,Josh Maja,0.22,0.16,21.86,76.02,6.32,55.88
49,,Mamadou Fofana,0,0,51.46,84.23,3.91,53.98
50,,Romain Thomas,0,0.03,59.81,83.6,5.05,60.73
51,,Jessy Benet,0.12,0.12,37.3,82.37,9,61.73
52,,Maxime Bernauer,0.09,0.09,58.89,86.17,5.57,56.17
53,,Vincent Demarconnay,0,0,31.23,76.71,1.14,48.21
54,,Simon Elisor,0.1,0.1,17.19,65.1,4.57,75
55,,Abdoulaye Ndiaye,0.07,0.07,44.5,84.43,1.43,46.85
56,,Alexandre Olliero,0,0,27.25,60.18,1.45,41
57,,Anthony Briançon,0.04,0,60.17,89.54,3.13,69.35
58,,Matthieu Udol,0.08,0.13,43.34,81.18,7.53,31.14
59,,Julien Le Cardinal,0.15,0,41.15,81.12,7.23,54.24
60,,Abdoul Kader Bamba,0,0,22,79.87,6.71,50
61,,Joffrey Cuffaut,0.08,0.04,48.12,85.69,3.5,50.68
62,,Rafał Strączek,0,0,22,75.76,0.67,33.33
63,,Arthur Vitelli,0,0,51,86.93,1.33,50
64,,Adrien Monfray,0,0.03,63,87.07,2.88,68.38
65,,Yoann Court,0.21,0.17,19.04,76.59,5.13,60.78
66,,Habib Maïga,0.03,0,44.45,83.74,6.9,68.24
67,,Mathieu Gorgelin,0,0,23.14,68.52,0.29,35.06
68,,Tony Mauricio,0.18,0.15,29.09,81.46,8.06,70.73
69,,Maxence Prévot,0.03,0,28.87,78.3,0.68,41.9
70,,Ablie Jallow,0.06,0.15,30.38,83.93,9.21,55.38
71,,Saad Agouzoul,0.05,0,61.08,87.12,1.97,50.31
72,,Eric Vandenabeele,0,0,37.46,84.37,2.36,48.03
73,,Pierre Lemonnier,0,0,38,76.32,2,44.44
74,,Denis Bouanga,1,1,14,64.29,4,100
75,,Emilien Christophe Thierry Grillot,0,0,56,94.64,4,66.67
76,,Ali Abdi,0.38,0.09,41.59,74.83,7.53,38.28
77,,Julien Faussurier,0.29,0.21,45.75,80.33,8.17,51.83
