#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Julien Maggiotti,0,0.06,0,0,0.94,0.22
2,,Felix Tomi,0,0,0,0,0,0
3,,Romain Spano,0,0,0,0,0.67,0
4,,Moustapha Name,0,0.2,0,0,1,0
5,,Yoann Barbet,0,0.41,0,0,0.52,0.24
6,,Yannis Clementia,5,0,0,0,1,0
7,,Adilson Malanda,0,1,0,0,0,0
8,,Formose Mendy,0,0.22,0,0,1.16,0.03
9,,Gautier Lloris,0,0.63,0,0,0.37,0.04
10,,Kylian Kaiboue,0,0.29,0,0,0.87,0.16
11,,Vital Nsimba,0,0.33,0,0,0.57,0.27
12,,Jean-Philippe Krasso,0,0.11,0,0,1.23,0.17
13,,Saturnin Allagbe,3,0.25,0,0,0.25,0.25
14,,Christopher Operi,0,0.51,0,0,0.51,0.03
15,,Georges Mikautadze,0,0.16,0,0,0.54,0.05
16,,Mehdi Bariki,0,0,0,0,1,0
17,,Henri Saivet,0,0.24,0,0,0.97,0.15
18,,Frank Magri,0,0.04,0,0,0.79,0.21
19,,Jérémy Livolant,0,0.08,0,0,0.95,0.16
20,,Moussa Doumbia,0,0.06,0,0,0.68,0.03
21,,Maxime Hautbois,2.33,0.67,0,0,0.33,0.33
22,,Morgan Guilavogui,0,0.06,0,0,0.84,0.09
23,,Youssef Maziz,0,0.1,0,0,0.38,0.07
24,,Niels Nkounkou,0,0.2,0,0,1.05,0.15
25,,Stian Gregersen,0,0.46,0,0,0.4,0.2
26,,Boubakar Kouyaté,0,0.33,0,0,0.58,0.17
27,,Adrian Grbić,0,0.07,0,0,1.14,0.21
28,,Gaetan Weissbeck,0,0.22,0,0,1,0
29,,Massamba Ndiaye,4.13,0.25,0.13,0,1.25,0.25
30,,Sébastien Salles-Lamonge,0,0.11,0,0,1.05,0.16
31,,Victor Lekhal,0,0.46,0,0,0.49,0.03
32,,Brice Maubleu,3.32,0.39,0.18,0.05,0.87,0.08
33,,Ilan Kebbal,0,0.08,0,0,0.68,0.08
34,,Arouna Sangante,0,0.57,0,0,0.43,0.03
35,,Ismaël Aaneba,0,0.37,0,0,0.93,0.03
36,,Aron van Lare,0,0.33,0,0,0.67,0.17
37,,Nabil Alioui,0,0,0,0,0.32,0.04
38,,Paul Joly,0,0.26,0,0,0.74,0.32
39,,Alexandre Mendy,0,0.11,0,0,0.68,0.24
40,,Valentine Ozornwafor,0,0.33,0,0,0.33,0
41,,Antonin Bobichon,0,0,0,0,0.74,0.32
42,,Malcom Bokele,0,0.41,0,0,0.38,0.14
43,,Jordan Poha,0,0.44,0,0,0.78,0.22
44,,Mohamed Kaba,0,0.22,0,0,1.09,0.19
45,,Gautier Larsonneur,3.34,0.34,0.16,0,0.92,0.13
46,,Issiar Drame,0,0.5,0,0,0.33,0
47,,Bilal Boutobba,0,0.11,0,0,1.34,0.2
48,,Josh Maja,0,0.05,0,0,0.35,0.16
49,,Mamadou Fofana,0,0.26,0,0,1.26,0.06
50,,Romain Thomas,0,0.22,0,0,0.89,0.22
51,,Jessy Benet,0,0.15,0,0,0.85,0.09
52,,Maxime Bernauer,0,0.31,0,0,0.89,0.11
53,,Vincent Demarconnay,2.73,0.41,0.18,0,0.82,0.18
54,,Simon Elisor,0,0.1,0,0,0.81,0.29
55,,Abdoulaye Ndiaye,0,0.39,0,0,0.93,0.11
56,,Alexandre Olliero,3.05,0.3,0.1,0,1.05,0.15
57,,Anthony Briançon,0,0.29,0,0,0.96,0.08
58,,Matthieu Udol,0,0.42,0,0,0.68,0.18
59,,Julien Le Cardinal,0,0.38,0,0,0.92,0
