#,Team,Name
1,,James Rodríguez
2,,Vladimír Darida
3,,Sergio Araujo
4,,Ehsan Haji Safi
5,,Kostas Fortounis
6,,Jasmin Kurtić
7,,Mathieu Valbuena
8,,Yury Lodygin
9,,Giannis Kotsiras
10,,Nordin Amrabat
11,,Domagoj Vida
12,,Alberto Brignoli
13,,Cédric Bakambu
14,,Dimitris Chatziisaias
15,,Yann M'Vila
16,,Bernard
17,,Šime Vrsaljko
18,,Bart Schenkeveld
19,,Djibril Sidibé
20,,Rodinei
21,,Rubén Pérez
22,,Jakub Brabec
23,,Sokratis
24,,Alexandros Paschalakis
25,,Boris Kleiman
26,,Pichu Atienza
27,,Zoran Tošić
28,,Živko Živković
29,,Nikolaos Papadopoulos
30,,Laurens De Bock
31,,Thierry Moutinho
32,,Konstantinos Manolas
33,,Taison
34,,Andreas Gianniotis
35,,Dmytro Chygrynskiy
36,,Georgios Tzavellas
37,,Sebastián Palacios
38,,Steven Zuber
39,,Fabiano
40,,Tom van Weert
41,,Vieirinha
42,,Juankar
43,,Eric Larsson
44,,Rodrigo Erramuspe
45,,Julián Cuesta
46,,Vasilios Mantzis
47,,Dávid Gróf
48,,Kyriakos Papadopoulos
49,,Viktor Klonaridis
50,,Ervin Zukanović
51,,Lukas Rupp
52,,Dani Suarez
53,,Jean Barrientos
54,,Pajtim Kasami
55,,Nikolaos Karelis
56,,Nouha Dicko
57,,José Alberto Cañas
58,,Petros Mantalos
59,,Tasos Tsokanis
60,,Rubén Martínez
61,,Nélson Oliveira
62,,Juan Muñiz
63,,Guðmundur Þórarinsson
64,,Michalis Bakakis
65,,Sotiris Ninis
66,,Jerónimo Barrales
67,,Facundo Sánchez
68,,Paulo Vinícius
69,,Javier Mendoza
70,,Christos Tasoulis
71,,Stefan Schwab
72,,Marvin Peersman
73,,Nicolas N'Koulou
74,,Youssef El Arabi
75,,Tomás De Vincenti
76,,Giannis Anestis
77,,Alfredo Mejía
78,,Nikolaos Tsoukalos
79,,Pedro Conde
80,,Andre Gray
81,,Cristian Ganea
82,,Juan Munafo
83,,Sebá
84,,Jacques-Alaixys Romao
85,,Bojan Šaranov
86,,Walter Iglesias
87,,Panagiotis Symelidis
88,,Juan Angel Neira
89,,Garry Rodrigues
90,,Miguel Ángel Guerrero
91,,Tomáš Vaclík
92,,Hugo Sousa
93,,Bryan Dabo
94,,Georgios Valerianos
95,,Daniel Adejo
96,,Petros Giakoumakis
97,,Viðar Örn Kjartansson
98,,Jorge Díaz
99,,Cheick Doukouré
100,,Facundo Bertoglio
101,,Johan Martensson
102,,Sebastian Mladen
103,,Nicolás Mezquida
104,,Christos Eleftheriadis
105,,Emanuel Šakić
106,,Thievy Bifouma
107,,Fabien Antunes
108,,Themistoklis Tzimopoulos
109,,David Simón
110,,Kazenga LuaLua
111,,Michal Škvarka
112,,Marcelo
113,,Anastasios Karamanos
114,,Bakary Sako
115,,Daan Rienstra
116,,Cican Stanković
117,,Gervinho
118,,Lazaros Christodoulopoulos
119,,Juha Pirinen
120,,Antonio Luna
121,,Cristian Battocchio
122,,Reagy Ofosu
123,,Rachid Bouhenna
124,,Javier Matilla
125,,Omar El Kaddouri
126,,Ui-Jo Hwang
127,,Konstantinos Giannoulis
128,,Diego Biseswar
129,,Anthony Knockaert
130,,Stavros Vasilantonopoulos
131,,Stefan Aškovski
132,,Ivan Goranov
133,,Giorgos Manousos
134,,Michael Gardawski
135,,José Luis Valiente
136,,Savvas Gentsoglou
137,,Federico Milo
138,,Kyriakos Kivrakidis
139,,Matic Kotnik
140,,Juan Domínguez
141,,Jerson Cabral
142,,Sonny Stevens
143,,Ivan Varone
144,,Theodoros Vasilakakis
145,,Xavier
146,,Simo Roumpoulakou
147,,Athanasios Garavelis
148,,Giorgos Saramantas
149,,Samuel Yohou
150,,Oliver Benítez
