Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Laurențiu Brănescu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,56.52,0,23.08,4,1,0,0,0,0,0,0,0,0,0,0,1
Aitor Cantalapiedra,0.89,0.11,40,2.56,0,5.56,0.44,0.11,0,0.22,0,0.11,0.22,0.22,28.89,76.92,8.22,70.59,0,0.33,0,0,0.22,0,0,0,16.67,47.83,1.67,0.89,9
Nikos Christogeorgos,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,79.17,1,54.55,3,1,0,0,0,0,1,0,100,50,0,1,1
James Rodríguez,0.25,0.1,80,2.15,0.15,0,0.65,0.15,0,0.1,0,0.35,0.25,0.3,52.65,84.71,19.25,75.63,0,0,0,0,0.35,0.05,0.05,0,28.57,55.34,1.7,0.95,20
Leonardo Koutris,0,0,0,2,0,0,4,3,0,0,0,1,0,0,57,92.98,13,83.33,0,1,0,0,0,0,0,0,0,50,0,2,1
Konstantinos Tzolakis,0,0,100,0,0,0,0,0.14,0,0.14,0,0,0,0,23.57,63.03,1.86,38.78,2.86,0.71,0,0,0.43,0,0.14,0,0,100,0.29,0,7
Vladimír Darida,0.24,0,90.91,1.43,0,0,1.81,0.86,0,0.43,0,0.29,0.19,0.19,45.33,85.29,12.29,64.2,0,0,0,0,1.24,0.14,0.14,0,26.32,56.05,1.67,1.62,21
Mijat Gaćinović,0.3,0.07,49.06,2.37,0,0,1.13,0.6,0,0.13,0,0.53,0.17,0.07,26.27,77.54,8.13,66.67,0,0.17,0,0,0.27,0,0.17,0,42.11,46.64,1.2,1.3,30
Sergio Araujo,0.24,0.38,44.44,3.31,0.03,0,1.24,0.48,0,0.24,0,0.48,0.24,0.24,31.9,76,12.28,57.14,0,0.34,0,0,0.41,0.07,0.21,0,54.17,45.22,1.76,2.48,29
Douglas Augusto,0.14,0.1,50,1.31,0,0,2.24,0.97,0,0.52,0,0.38,0.14,0,52.21,87.65,11.62,68.79,0,0.34,0,0,0.48,0.07,0.24,0,40.54,54.2,1.48,1.97,29
Daniel Mancini,0.18,0.06,53.66,1.62,0,0,0.94,0.53,0,0.15,0,0.41,0.24,0.24,30.79,70.58,10.03,55.14,0,0.18,0,0,0.41,0.03,0.15,0,31.82,47.79,1.41,1.15,34
Levi García,0.45,0.23,47.92,3.32,0.13,0.54,0.26,0.16,0.03,0.42,0,0.13,0.23,0.16,14,73.27,5.9,55.56,0,0.26,0,0,0.32,0.03,0.03,0,47.78,42.54,1.32,1.52,31
Gerasimos Mitoglou,0.13,0,100,0.5,0.13,0,0.75,0.63,0,1.88,0,0.13,0,0,39.88,87.77,3.88,62.79,0,0.5,0,0,0.13,0,0,0,57.14,43.75,0.38,1.75,8
Marko Marić,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,18,58.33,1,31.82,3.5,0.5,0,0,1,0,0,0,0,100,0.5,0,2
Ehsan Haji Safi,0,0,52,0.66,0,0,1.48,1.21,0.03,0.76,0,0.45,0.1,0.07,46.72,79.26,11.14,54.75,0,0.55,0,0,0.45,0.07,0.1,0,63.33,61.64,0.79,0.72,29
Andrija Živković,0.21,0.03,63.41,1.21,0,0,1.24,0.48,0.09,0.15,0,0.48,0.18,0.12,30.58,76.81,10.85,65.43,0,0.21,0,0,0.58,0.18,0.18,0.03,30.77,47.77,1.15,1.52,33
Kostas Fortounis,0.16,0.08,43.48,1.96,0,1.6,1,0.28,0,0.16,0,0.28,0.32,0.4,30.92,79.69,10.36,69.16,0,0.04,0,0,0.4,0.08,0.08,0,50,52.73,1.52,0.6,25
Jasmin Kurtić,0.3,0.2,100,1.8,0.1,0,1.3,1.5,0,1.2,0,0.6,0.2,0.1,61.4,87.13,9.8,70,0,0.2,0,0,0.7,0.1,0.5,0,51.72,51.95,1,1.3,10
Mathieu Valbuena,0.17,0,53.85,0.61,0.06,0,0.17,0.11,0,0.06,0,0.11,0.39,0.11,19.72,83.94,9.72,65.63,0,0.06,0,0,0.17,0,0.06,0,12.5,44.44,0.94,0.44,18
Yury Lodygin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,74.29,0.5,46.15,1.5,0.5,0.5,0.5,0.5,0,0,0,0,100,0.5,0,2
Harold Moukoudi,0.07,0.07,100,0.56,0.04,0,1.11,1.81,0,1.48,0,0.33,0,0,55.11,90.46,4.11,74.87,0,0.56,0,0,0.41,0.04,0.19,0,63.41,56.62,0.44,1.22,27
Luis Palma,0.38,0.03,47.54,2.07,0,0.34,0.38,0.34,0,0.17,0,0.14,0.14,0.14,24.03,78.48,7.24,60.32,0,0.03,0,0,0.55,0.07,0.03,0.03,25,41.38,1,0.66,29
Khaled Narey,0.26,0.11,44.83,1.89,0,0,0.85,0.22,0,0.3,0,0.26,0.22,0.33,19.41,71.95,6.63,52,0,0.15,0,0,0.63,0.07,0.07,0,36,39.39,0.74,1.3,27
Giannis Kotsiras,0,0,66.67,0.28,0,0,1.88,1.32,0,0.8,0,0.2,0,0,47.08,83.94,10.84,60.32,0,0.4,0,0,0.44,0,0.04,0,46.15,69.05,0.92,0.56,25
Nordin Amrabat,0.23,0,60.53,0.84,0,0,0.52,0.19,0,0.16,0,0.23,0.32,0.13,25.65,80.13,10.71,67.42,0,0.03,0,0,0.29,0.06,0.23,0,30,36.46,0.97,1.87,31
Christos Mandas,0,0,0,0,0,0,0,0,0,0.38,0,0,0.12,0,31.58,59.93,1.42,37.91,3.35,0.31,0.12,0.04,1.15,0.04,0.08,0,66.67,85.71,0.15,0,26
Domagoj Vida,0.03,0,60,0.42,0.03,0,0.84,1.52,0,1.71,0,0.19,0.03,0.1,58,86.37,7.35,62.41,0,0.58,0,0,0.45,0.06,0.16,0,59.21,56.5,0.94,1.03,31
Hörður Magnússon,0.04,0,50,0.58,0,0.6,1.08,1.25,0.04,1.88,0,0.38,0,0,56.17,83.38,6.5,50.21,0,0.46,0,0,0.38,0,0.21,0,62.86,57.8,0.58,0.92,24
Zvonimir Šarlija,0,0.1,50,0.62,0,0,0.67,0.86,0,1.67,0,0.05,0.05,0.1,53.1,90.49,4.33,57.55,0,0.43,0,0,0.29,0.05,0.29,0,68.18,65.93,1.38,1,21
