#,Team,Name
1,,Laurențiu Brănescu
2,,Nikos Christogeorgos
3,,Konstantinos Tzolakis
4,,Marko Marić
5,,Yury Lodygin
6,,Christos Mandas
7,,Alberto Brignoli
8,,Alexandros Paschalakis
9,,Boris Kleiman
10,,Živko Živković
11,,Nikolaos Papadopoulos
12,,Giorgos Athanasiadis
13,,Andreas Gianniotis
14,,Panagiotis Tsintotas
15,,Julián Cuesta
16,,Dávid Gróf
17,,Dominik Kotarski
18,,Alexei Koşelev
19,,Matej Marković
20,,Giannis Anestis
21,,Bojan Šaranov
22,,Joel Graterol
23,,Tomáš Vaclík
24,,Lefteris Choutesiotis
25,,Marios Siabanis
26,,Antonis Tsiftsis
27,,Vasilios Soulis
28,,Cican Stanković
29,,Stefan Stojanović
30,,Vasilios Athanasiou
31,,Matic Kotnik
32,,Sonny Stevens
33,,Athanasios Garavelis
34,,Jérôme Prior
35,,Panagiotis Avgerinos
36,,Antonis Stergiakis
37,,Vangelis Kontogiannis
