#,Team,Name,Appearances
1,,Laurențiu Brănescu,1
2,,Aitor Cantalapiedra,9
3,,Nikos Christogeorgos,1
4,,James Rodríguez,20
5,,Leonardo Koutris,1
6,,Konstantinos Tzolakis,7
7,,Vladimír Darida,21
8,,Mijat Gaćinović,30
9,,Sergio Araujo,29
10,,Douglas Augusto,29
11,,Daniel Mancini,34
12,,Levi García,31
13,,Gerasimos Mitoglou,8
14,,Marko Marić,2
15,,Ehsan Haji Safi,29
16,,Andrija Živković,33
17,,Kostas Fortounis,25
18,,Jasmin Kurtić,10
19,,Mathieu Valbuena,18
20,,Yury Lodygin,2
21,,Harold Moukoudi,27
22,,Luis Palma,29
23,,Khaled Narey,27
24,,Giannis Kotsiras,25
25,,Nordin Amrabat,31
26,,Christos Mandas,26
27,,Domagoj Vida,31
28,,Hörður Magnússon,24
29,,Zvonimir Šarlija,21
30,,Lazar Ranđelović,3
31,,In-Beom Hwang,32
32,,Alberto Brignoli,34
33,,Manu García,17
34,,Jon Toral,24
35,,Sergi Canós,8
36,,Zisis Karachalios,23
37,,Pape Abou Cissé,6
38,,Cédric Bakambu,32
39,,Marios Tsaousis,9
40,,Aias Aosman,13
41,,Eder González,32
42,,Praxitelis Vouros,29
43,,Nikolaos Athanasiou,5
44,,Damian Szymański,30
45,,Dimitris Chatziisaias,31
46,,Marko Bakić,15
47,,Yann M'Vila,31
48,,Bernard,31
49,,Sverrir Ingi Ingason,30
50,,Georgios Antzoulas,1
51,,Christos Ioannidis,1
52,,Pierre Kunde,2
53,,Šime Vrsaljko,3
54,,Bart Schenkeveld,27
55,,Djibril Sidibé,12
56,,Rodinei,19
57,,Orbelín Pineda,36
58,,Athanasios Androutsos,7
59,,Rubén Pérez,35
60,,Jakub Brabec,23
61,,Sokratis,27
62,,Aguibou Camara,18
63,,Andreas Ndoj,21
64,,Alexandros Paschalakis,24
65,,Tiago Dantas,32
66,,Boris Kleiman,29
67,,Pichu Atienza,22
68,,Niclas Eliasson,26
69,,Zoran Tošić,4
70,,Živko Živković,3
71,,Nikolaos Papadopoulos,26
72,,Pep Biel,30
73,,Apostolos Diamantis,30
74,,Konstantinos Koulierakis,25
75,,Laurens De Bock,29
76,,Achilleas Poungouras,8
77,,Lazaros Rota,31
78,,Giorgos Athanasiadis,30
79,,Thierry Moutinho,17
80,,Jens Jønsson,34
81,,Konstantinos Manolas,3
82,,Taison,14
83,,Andreas Gianniotis,31
84,,Dmytro Chygrynskiy,26
85,,Juanpi Añor,9
86,,Léo Tilica,28
87,,Georgios Tzavellas,13
88,,Sebastián Palacios,33
89,,Panagiotis Tsintotas,15
90,,Steven Zuber,28
91,,Fabiano,32
92,,Oleg Reabciuk,30
93,,Tom van Weert,16
94,,Gaëtan Robail,33
95,,Andreas Kuen,23
96,,Ramon,9
97,,Vieirinha,15
98,,Panagiotis Retsos,7
99,,Juankar,33
100,,Eric Larsson,31
101,,Nikos Vergos,16
102,,Deybi Flores,16
103,,Rodrigo Erramuspe,31
104,,Julián Cuesta,31
105,,Vasilios Mantzis,32
106,,Alexandros Malis,11
107,,Iker Bilbao,16
108,,Carles Soria,31
109,,Mateo García,33
110,,Dávid Gróf,11
111,,Giannis Gianniotas,16
112,,Kyriakos Papadopoulos,10
113,,Oghenekaro Etebo,25
114,,Federico Álvarez,29
115,,Andraž Šporar,32
116,,Viktor Klonaridis,25
117,,Stefanos Stroungis,12
118,,Miguel Mellado,27
119,,Dominik Kotarski,34
120,,Pepe Castaño,30
121,,Milad Mohammadi,13
122,,Ervin Zukanović,18
123,,Fotis Ioannidis,36
124,,Aboubakar Kamara,15
125,,Dimitrios Kourbelis,30
126,,Triantafyllos Pasalidis,22
127,,Lukas Rupp,8
128,,Georgios Kornezos,22
129,,Rafa Soares,26
130,,Derek Cornelius,13
131,,Dani Suarez,9
132,,Rodrigo Escoval,29
133,,Julián Bartolo,22
134,,Theofanis Mavromatis,18
135,,Alexei Koşelev,4
136,,Jean Barrientos,23
137,,Pajtim Kasami,12
138,,Nikolaos Karelis,29
139,,Nouha Dicko,30
140,,Giannis Konstantelias,30
141,,Georgios Mygas,29
142,,José Alberto Cañas,27
143,,Andreas Bouchalakis,3
144,,Petros Mantalos,30
145,,Diadié Samassékou,20
146,,Tasos Tsokanis,27
147,,Juan Iturbe,33
148,,Rubén Martínez,17
149,,Nélson Oliveira,32
150,,Theofanis Tzandaris,29
151,,Bradley Mazikou,28
152,,David Carmona,23
153,,Frederico Duarte,25
154,,Levan Shengelia,31
155,,Harold Mosquera,12
156,,Wajdi Kechrida,30
157,,Federico Gino,16
158,,Juan Muñiz,11
159,,Ivan Näsberg,12
160,,Guðmundur Þórarinsson,27
161,,Ahmed Hassan,1
162,,Christos Albanis,1
163,,Dereck Kutesa,1
164,,Konstantinos Doumtsios,1
165,,Zymer Bytyqi,2
166,,Régis,2
167,,Michalis Bakakis,5
168,,Sotiris Ninis,9
169,,Ousseynou Ba,19
170,,Assane Dioussé,33
171,,Jerónimo Barrales,28
172,,Facundo Sánchez,14
173,,Dorin Rotariu,27
174,,Paulo Vinícius,22
175,,Javier Mendoza,10
176,,Gerasimos Bakadimas,8
177,,Epameinondas Pantelakis,25
178,,Asier Benito,13
179,,Christos Tasoulis,12
180,,Stefan Schwab,31
181,,Alexander Jeremejeff,10
182,,Moses Odubajo,25
183,,Rubén García,11
184,,Panagiotis Liagas,20
185,,Adam Tzanetopoulos,18
186,,Adam Gnezda Čerin,34
187,,Jeison Medina,8
188,,Marvin Peersman,29
189,,Matej Marković,14
190,,Nicolas N'Koulou,17
