#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Laurențiu Brănescu,0,0,0,0,0,0
2,,Aitor Cantalapiedra,0.89,0.11,40,2.56,0,5.56
3,,Nikos Christogeorgos,0,0,0,0,0,0
4,,James Rodríguez,0.25,0.1,80,2.15,0.15,0
5,,Leonardo Koutris,0,0,0,2,0,0
6,,Konstantinos Tzolakis,0,0,100,0,0,0
7,,Vladimír Darida,0.24,0,90.91,1.43,0,0
8,,Mijat Gaćinović,0.3,0.07,49.06,2.37,0,0
9,,Sergio Araujo,0.24,0.38,44.44,3.31,0.03,0
10,,Douglas Augusto,0.14,0.1,50,1.31,0,0
11,,Daniel Mancini,0.18,0.06,53.66,1.62,0,0
12,,Levi García,0.45,0.23,47.92,3.32,0.13,0.54
13,,Gerasimos Mitoglou,0.13,0,100,0.5,0.13,0
14,,Marko Marić,0,0,0,0,0,0
15,,Ehsan Haji Safi,0,0,52,0.66,0,0
16,,Andrija Živković,0.21,0.03,63.41,1.21,0,0
17,,Kostas Fortounis,0.16,0.08,43.48,1.96,0,1.6
18,,Jasmin Kurtić,0.3,0.2,100,1.8,0.1,0
19,,Mathieu Valbuena,0.17,0,53.85,0.61,0.06,0
20,,Yury Lodygin,0,0,0,0,0,0
21,,Harold Moukoudi,0.07,0.07,100,0.56,0.04,0
22,,Luis Palma,0.38,0.03,47.54,2.07,0,0.34
23,,Khaled Narey,0.26,0.11,44.83,1.89,0,0
24,,Giannis Kotsiras,0,0,66.67,0.28,0,0
25,,Nordin Amrabat,0.23,0,60.53,0.84,0,0
26,,Christos Mandas,0,0,0,0,0,0
27,,Domagoj Vida,0.03,0,60,0.42,0.03,0
28,,Hörður Magnússon,0.04,0,50,0.58,0,0.6
29,,Zvonimir Šarlija,0,0.1,50,0.62,0,0
30,,Lazar Ranđelović,0.33,0.33,100,1.33,0,0
31,,In-Beom Hwang,0.09,0,66.67,1.16,0,0
32,,Alberto Brignoli,0,0,50,0,0,0
33,,Manu García,0.24,0.12,19.05,1.12,0,0
34,,Jon Toral,0.33,0.04,35.71,1.13,0,0
35,,Sergi Canós,0.5,0.25,50,2,0,0
36,,Zisis Karachalios,0,0.04,70,0.61,0,0
37,,Pape Abou Cissé,0,0,100,0.5,0,0
38,,Cédric Bakambu,0.56,0.25,33.33,1.88,0.16,0
39,,Marios Tsaousis,0,0,0,0.33,0,0
40,,Aias Aosman,0.15,0.08,46.15,1.62,0,2.56
41,,Eder González,0,0,58.33,0.91,0,0
42,,Praxitelis Vouros,0,0,75,0.14,0,0
43,,Nikolaos Athanasiou,0,0,50,0.6,0,0
44,,Damian Szymański,0.07,0,66.67,0.6,0.07,0
45,,Dimitris Chatziisaias,0.03,0.1,87.5,0.26,0,0
46,,Marko Bakić,0.2,0.07,71.43,1.67,0,3.33
47,,Yann M'Vila,0,0,100,0.61,0,0
48,,Bernard,0.06,0.03,48.08,1.13,0,0
49,,Sverrir Ingi Ingason,0.1,0.07,60,0.5,0.07,0
50,,Georgios Antzoulas,0,0,0,0,0,0
51,,Christos Ioannidis,0,0,0,1,0,0
52,,Pierre Kunde,0,0,100,0.5,0,0
53,,Šime Vrsaljko,0,0,0,0,0,0
54,,Bart Schenkeveld,0,0,100,0.33,0,0
55,,Djibril Sidibé,0,0.08,66.67,0.75,0,0
56,,Rodinei,0,0.05,69.57,0.47,0,0
57,,Orbelín Pineda,0.25,0.14,45.24,1.58,0.03,0
58,,Athanasios Androutsos,0.14,0,50,0.29,0,0
59,,Rubén Pérez,0,0,75,0.37,0,0
60,,Jakub Brabec,0.04,0,66.67,0.22,0.04,0
61,,Sokratis,0.07,0.04,0,0.7,0.07,0
62,,Aguibou Camara,0.17,0.17,84.62,1.39,0,0
63,,Andreas Ndoj,0.05,0,100,0.29,0,0
64,,Alexandros Paschalakis,0,0,0,0,0,0
65,,Tiago Dantas,0.13,0.03,50,0.75,0,0
66,,Boris Kleiman,0,0,100,0,0,0
67,,Pichu Atienza,0.05,0.05,66.67,0.41,0.05,0
68,,Niclas Eliasson,0,0.04,46.67,0.35,0,0
69,,Zoran Tošić,0.5,0,0,1.25,0,25
70,,Živko Živković,0,0,0,0,0,0
71,,Nikolaos Papadopoulos,0,0,100,0,0,0
72,,Pep Biel,0.3,0.13,46.34,2.33,0,0
73,,Apostolos Diamantis,0.07,0,83.33,0.47,0.07,0
74,,Konstantinos Koulierakis,0.08,0.08,100,0.8,0.08,0
75,,Laurens De Bock,0,0.03,71.43,0.52,0,0
76,,Achilleas Poungouras,0,0,0,0.25,0,0
77,,Lazaros Rota,0,0.1,54.17,0.77,0,0
78,,Giorgos Athanasiadis,0,0,0,0,0,0
79,,Thierry Moutinho,0.18,0.12,57.14,1.59,0,0.98
80,,Jens Jønsson,0,0.03,58.33,0.62,0,0
81,,Konstantinos Manolas,0,0,0,0,0,0
82,,Taison,0.07,0,44.44,0.64,0,0
83,,Andreas Gianniotis,0,0,100,0.03,0,0
84,,Dmytro Chygrynskiy,0.04,0,0,0.27,0.04,0
85,,Juanpi Añor,0.11,0,73.33,1.11,0,0
86,,Léo Tilica,0.11,0.04,71.43,0.79,0.04,0
87,,Georgios Tzavellas,0,0,0,0.15,0,0
88,,Sebastián Palacios,0.18,0.15,33.33,1.55,0,0
89,,Panagiotis Tsintotas,0,0,0,0,0,0
90,,Steven Zuber,0.29,0.14,37.04,2.5,0,0
91,,Fabiano,0.09,0.03,71.43,0.72,0.03,0
92,,Oleg Reabciuk,0.03,0,57.14,0.43,0,0
93,,Tom van Weert,0.38,0.19,33.33,1.56,0.19,0
94,,Gaëtan Robail,0.15,0.12,50,1.06,0,0
95,,Andreas Kuen,0.09,0,50,0.87,0.04,0
96,,Ramon,0,0,40,0.33,0,0
97,,Vieirinha,0,0,50,0.53,0,0
98,,Panagiotis Retsos,0,0,0,0.14,0,0
