#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Laurențiu Brănescu,0,0,0,0,0,0
2,,Aitor Cantalapiedra,0.44,0.11,0,0.22,0,0.11
3,,Nikos Christogeorgos,0,0,0,2,0,0
4,,James Rodríguez,0.65,0.15,0,0.1,0,0.35
5,,Leonardo Koutris,4,3,0,0,0,1
6,,Konstantinos Tzolakis,0,0.14,0,0.14,0,0
7,,Vladimír Darida,1.81,0.86,0,0.43,0,0.29
8,,Mijat Gaćinović,1.13,0.6,0,0.13,0,0.53
9,,Sergio Araujo,1.24,0.48,0,0.24,0,0.48
10,,Douglas Augusto,2.24,0.97,0,0.52,0,0.38
11,,Daniel Mancini,0.94,0.53,0,0.15,0,0.41
12,,Levi García,0.26,0.16,0.03,0.42,0,0.13
13,,Gerasimos Mitoglou,0.75,0.63,0,1.88,0,0.13
14,,Marko Marić,0,0,0,0.5,0,0
15,,Ehsan Haji Safi,1.48,1.21,0.03,0.76,0,0.45
16,,Andrija Živković,1.24,0.48,0.09,0.15,0,0.48
17,,Kostas Fortounis,1,0.28,0,0.16,0,0.28
18,,Jasmin Kurtić,1.3,1.5,0,1.2,0,0.6
19,,Mathieu Valbuena,0.17,0.11,0,0.06,0,0.11
20,,Yury Lodygin,0,0,0,0,0,0
21,,Harold Moukoudi,1.11,1.81,0,1.48,0,0.33
22,,Luis Palma,0.38,0.34,0,0.17,0,0.14
23,,Khaled Narey,0.85,0.22,0,0.3,0,0.26
24,,Giannis Kotsiras,1.88,1.32,0,0.8,0,0.2
25,,Nordin Amrabat,0.52,0.19,0,0.16,0,0.23
26,,Christos Mandas,0,0,0,0.38,0,0
27,,Domagoj Vida,0.84,1.52,0,1.71,0,0.19
28,,Hörður Magnússon,1.08,1.25,0.04,1.88,0,0.38
29,,Zvonimir Šarlija,0.67,0.86,0,1.67,0,0.05
30,,Lazar Ranđelović,0.33,0,0,0,0,0.33
31,,In-Beom Hwang,1.44,1.16,0,0.44,0,0.56
32,,Alberto Brignoli,0.03,0,0,0.21,0,0
33,,Manu García,1.12,0.41,0,0.24,0,0.18
34,,Jon Toral,0.75,0.29,0,0.13,0,0.25
35,,Sergi Canós,1,0.25,0,0.38,0,0.75
36,,Zisis Karachalios,2,1.74,0,2.17,0,0.61
37,,Pape Abou Cissé,0.83,0.67,0,2.5,0,0.33
38,,Cédric Bakambu,0.5,0.13,0,0.28,0,0.06
39,,Marios Tsaousis,1.78,1.33,0,0.67,0,0
40,,Aias Aosman,1.38,0.69,0,0.31,0,0.08
41,,Eder González,1.88,1.5,0,1,0,0.84
42,,Praxitelis Vouros,1.24,2.34,0,3.21,0,0.21
43,,Nikolaos Athanasiou,1.2,1,0,1.4,0,0
44,,Damian Szymański,1.93,1.47,0.03,0.57,0,0.43
45,,Dimitris Chatziisaias,1.13,1.55,0.1,3.42,0,0.06
46,,Marko Bakić,0.73,0.2,0,0.33,0,0.27
47,,Yann M'Vila,1.74,1.19,0,0.84,0,0.29
48,,Bernard,0.87,0.48,0,0.13,0,0.61
49,,Sverrir Ingi Ingason,1,0.53,0,3.33,0,0.17
50,,Georgios Antzoulas,1,1,0,7,0,0
51,,Christos Ioannidis,1,1,0,1,0,0
52,,Pierre Kunde,0,0.5,0,0,0,0
53,,Šime Vrsaljko,1.67,2.67,0,2,0,0
54,,Bart Schenkeveld,0.56,0.74,0.07,1.85,0,0.04
55,,Djibril Sidibé,1.17,0.83,0,0.5,0,0
56,,Rodinei,1.89,1.21,0,1.32,0,0.42
57,,Orbelín Pineda,0.89,0.53,0.03,0.19,0,0.47
58,,Athanasios Androutsos,0.86,1.29,0,0.14,0,0.29
59,,Rubén Pérez,1.49,0.94,0,0.57,0,0.46
60,,Jakub Brabec,1.22,1.61,0.04,2.52,0,0.39
61,,Sokratis,0.93,0.78,0,1.96,0.04,0.11
62,,Aguibou Camara,1.83,0.78,0,0.11,0,0.5
63,,Andreas Ndoj,0.67,0.76,0,2,0,0.05
64,,Alexandros Paschalakis,0,0.04,0,0.46,0,0.04
65,,Tiago Dantas,0.56,0.69,0,0.25,0,0.22
66,,Boris Kleiman,0,0.03,0,0.55,0,0.07
67,,Pichu Atienza,0.59,0.86,0,3.09,0,0.14
68,,Niclas Eliasson,0.42,0.08,0,0.08,0,0.04
69,,Zoran Tošić,0.25,0,0,0,0,0
70,,Živko Živković,0,0,0,0,0,0
71,,Nikolaos Papadopoulos,0,0.08,0,0.77,0,0.04
72,,Pep Biel,0.73,0.47,0,0.17,0,0.5
73,,Apostolos Diamantis,0.57,1.97,0.03,3.47,0,0.13
74,,Konstantinos Koulierakis,0.88,0.88,0.08,3.48,0.08,0.24
75,,Laurens De Bock,2,1.86,0,1.79,0,0.55
76,,Achilleas Poungouras,1.25,0.63,0,1.75,0,0.13
77,,Lazaros Rota,1.77,0.94,0.03,0.71,0,0.48
78,,Giorgos Athanasiadis,0.03,0,0,0.47,0,0
79,,Thierry Moutinho,1.06,0.35,0,0.29,0,0.18
80,,Jens Jønsson,1.15,0.79,0,0.5,0,0.35
81,,Konstantinos Manolas,1.67,2,0,3.67,0,0
82,,Taison,0.86,0.36,0,0.07,0,0.36
83,,Andreas Gianniotis,0.03,0,0,1.13,0.03,0.03
84,,Dmytro Chygrynskiy,1,1.69,0.04,4.04,0,0.19
85,,Juanpi Añor,0.56,0.33,0,0,0,0.33
86,,Léo Tilica,0.68,0.61,0,0.18,0,0.39
87,,Georgios Tzavellas,0.08,1.23,0,2.85,0,0.08
88,,Sebastián Palacios,0.82,0.48,0,0.12,0,0.18
89,,Panagiotis Tsintotas,0,0,0,1,0,0
90,,Steven Zuber,0.39,0.11,0,0.07,0,0.04
91,,Fabiano,0.78,0.91,0,3.13,0,0.41
92,,Oleg Reabciuk,1.3,1.1,0.03,0.93,0,0.33
93,,Tom van Weert,0.13,0,0,0,0,0
94,,Gaëtan Robail,0.7,0.94,0,0.15,0,0.48
95,,Andreas Kuen,0.52,0.57,0,0.43,0,0.43
96,,Ramon,1.44,0.89,0,0.44,0,0.11
97,,Vieirinha,0.73,0.53,0,0.33,0,0.07
98,,Panagiotis Retsos,0.86,1.71,0,1.43,0,0
99,,Juankar,1.27,1.21,0,0.85,0,0.48
100,,Eric Larsson,1.13,0.84,0,1.39,0,0.48
101,,Nikos Vergos,0.13,0.25,0,0.5,0,0.13
102,,Deybi Flores,1.94,0.88,0,1.31,0,0.31
103,,Rodrigo Erramuspe,1,1.23,0,3.23,0,0.35
104,,Julián Cuesta,0,0.03,0.03,0.35,0,0.03
105,,Vasilios Mantzis,0.53,0.16,0,0.38,0,0.44
106,,Alexandros Malis,0.91,0.91,0,2.45,0,0.45
107,,Iker Bilbao,1.75,1.25,0.06,0.5,0,0.38
108,,Carles Soria,1.65,0.87,0.03,1.42,0,0.23
109,,Mateo García,1.33,0.79,0,0.06,0,0.58
110,,Dávid Gróf,0,0,0,0.64,0,0.09
111,,Giannis Gianniotas,0.69,0.31,0,0.44,0,0.13
112,,Kyriakos Papadopoulos,0.8,1.5,0,3.3,0,0.2
113,,Oghenekaro Etebo,1.96,1.56,0.04,0.72,0,0.32
114,,Federico Álvarez,1.62,1.07,0.03,1.31,0,0.48
115,,Andraž Šporar,0.13,0.06,0,0.28,0,0.03
116,,Viktor Klonaridis,0.72,0.44,0,0.48,0,0.24
117,,Stefanos Stroungis,0.83,0.67,0,5.17,0,0.17
118,,Miguel Mellado,2.11,1.04,0.07,0.59,0,0.74
119,,Dominik Kotarski,0,0,0.06,0.68,0,0.03
120,,Pepe Castaño,0.73,0.9,0,3.73,0.03,0.2
121,,Milad Mohammadi,1,0.31,0,0.38,0,0.15
122,,Ervin Zukanović,0.39,1.5,0,2.39,0,0.39
123,,Fotis Ioannidis,0.36,0.08,0,0.08,0,0.14
124,,Aboubakar Kamara,0.27,0.2,0,0.6,0,0.07
125,,Dimitrios Kourbelis,1.27,0.8,0,0.9,0,0.5
126,,Triantafyllos Pasalidis,1.14,1.41,0,3.14,0,0.18
127,,Lukas Rupp,0.88,0.13,0,0.38,0,0.13
128,,Georgios Kornezos,1.14,1.95,0,2.91,0,0.18
129,,Rafa Soares,0.92,0.88,0,1.46,0,0.35
130,,Derek Cornelius,1.31,1.69,0,5.08,0,0.15
131,,Dani Suarez,1.78,0.67,0,3,0,0.22
132,,Rodrigo Escoval,0.86,1.59,0,3.55,0,0.24
133,,Julián Bartolo,0.95,0.18,0,0.14,0,0.55
134,,Theofanis Mavromatis,0.39,1.5,0.11,3.72,0,0.06
135,,Alexei Koşelev,0,0,0,1.25,0,0
136,,Jean Barrientos,1.57,0.96,0,0.3,0,0.39
137,,Pajtim Kasami,0.92,0.58,0,0.17,0,0.58
138,,Nikolaos Karelis,0.24,0.24,0,0.24,0,0.14
139,,Nouha Dicko,0.53,0.3,0,0.07,0,0.17
140,,Giannis Konstantelias,0.97,0.33,0,0.07,0,0.27
141,,Georgios Mygas,1.97,1.41,0.03,1.52,0.03,0.28
142,,José Alberto Cañas,1.33,1.15,0,0.41,0,0.3
143,,Andreas Bouchalakis,0.67,0.67,0,0.33,0,0.33
144,,Petros Mantalos,0.53,0.17,0,0.1,0,0.23
145,,Diadié Samassékou,1.2,0.6,0,0.75,0,0.25
146,,Tasos Tsokanis,1.22,1.33,0,1.33,0,0.44
147,,Juan Iturbe,1.12,0.55,0.03,0.27,0.03,0.21
148,,Rubén Martínez,0.71,0.41,0,0.18,0,0.24
149,,Nélson Oliveira,0.19,0.16,0,0.19,0,0.09
150,,Theofanis Tzandaris,1.97,1.17,0.03,0.72,0,0.79
151,,Bradley Mazikou,1.29,1.21,0.07,0.96,0,0.29
152,,David Carmona,2.39,1.3,0.04,1.96,0,0.74
153,,Frederico Duarte,1.8,0.76,0,0.28,0,0.44
154,,Levan Shengelia,0.74,0.39,0,0.16,0,0.23
155,,Harold Mosquera,0.17,0.08,0,0.08,0,0
156,,Wajdi Kechrida,1.1,1.2,0,1.43,0,0.27
