#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Laurențiu Brănescu,0,0,0,0,0,0
2,,Aitor Cantalapiedra,0,0,16.67,47.83,1.67,0.89
3,,Nikos Christogeorgos,1,0,100,50,0,1
4,,James Rodríguez,0.05,0,28.57,55.34,1.7,0.95
5,,Leonardo Koutris,0,0,0,50,0,2
6,,Konstantinos Tzolakis,0.14,0,0,100,0.29,0
7,,Vladimír Darida,0.14,0,26.32,56.05,1.67,1.62
8,,Mijat Gaćinović,0.17,0,42.11,46.64,1.2,1.3
9,,Sergio Araujo,0.21,0,54.17,45.22,1.76,2.48
10,,Douglas Augusto,0.24,0,40.54,54.2,1.48,1.97
11,,Daniel Mancini,0.15,0,31.82,47.79,1.41,1.15
12,,Levi García,0.03,0,47.78,42.54,1.32,1.52
13,,Gerasimos Mitoglou,0,0,57.14,43.75,0.38,1.75
14,,Marko Marić,0,0,0,100,0.5,0
15,,Ehsan Haji Safi,0.1,0,63.33,61.64,0.79,0.72
16,,Andrija Živković,0.18,0.03,30.77,47.77,1.15,1.52
17,,Kostas Fortounis,0.08,0,50,52.73,1.52,0.6
18,,Jasmin Kurtić,0.5,0,51.72,51.95,1,1.3
19,,Mathieu Valbuena,0.06,0,12.5,44.44,0.94,0.44
20,,Yury Lodygin,0,0,0,100,0.5,0
21,,Harold Moukoudi,0.19,0,63.41,56.62,0.44,1.22
22,,Luis Palma,0.03,0.03,25,41.38,1,0.66
23,,Khaled Narey,0.07,0,36,39.39,0.74,1.3
24,,Giannis Kotsiras,0.04,0,46.15,69.05,0.92,0.56
25,,Nordin Amrabat,0.23,0,30,36.46,0.97,1.87
26,,Christos Mandas,0.08,0,66.67,85.71,0.15,0
27,,Domagoj Vida,0.16,0,59.21,56.5,0.94,1.03
28,,Hörður Magnússon,0.21,0,62.86,57.8,0.58,0.92
29,,Zvonimir Šarlija,0.29,0,68.18,65.93,1.38,1
30,,Lazar Ranđelović,0,0,100,55.56,0.67,0.67
31,,In-Beom Hwang,0.16,0,52.17,51.71,1.28,1.38
32,,Alberto Brignoli,0.12,0,66.67,80,0.15,0
33,,Manu García,0.06,0,60,49.58,2.06,1.29
34,,Jon Toral,0.08,0,30.77,36.36,1.04,1.54
35,,Sergi Canós,0.13,0,50,43.9,0.63,1.13
36,,Zisis Karachalios,0.3,0,48.72,58.62,2.17,1.57
37,,Pape Abou Cissé,0,0,73.33,74.19,1,0.5
38,,Cédric Bakambu,0.13,0,38.03,39.01,0.81,1.56
39,,Marios Tsaousis,0.11,0,100,65.71,0.44,0.67
40,,Aias Aosman,0.31,0,57.14,54.55,1.08,1.08
41,,Eder González,0.22,0,46.67,56.72,2.25,1.41
42,,Praxitelis Vouros,0.31,0,62.86,54.92,0.21,1.14
43,,Nikolaos Athanasiou,0,0,60,53.85,0.2,0.6
44,,Damian Szymański,0.3,0,50,50.24,0.87,1.97
