#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Laurențiu Brănescu,0,0,23,56.52,0,23.08
2,,Aitor Cantalapiedra,0.22,0.22,28.89,76.92,8.22,70.59
3,,Nikos Christogeorgos,0,0,24,79.17,1,54.55
4,,James Rodríguez,0.25,0.3,52.65,84.71,19.25,75.63
5,,Leonardo Koutris,0,0,57,92.98,13,83.33
6,,Konstantinos Tzolakis,0,0,23.57,63.03,1.86,38.78
7,,Vladimír Darida,0.19,0.19,45.33,85.29,12.29,64.2
8,,Mijat Gaćinović,0.17,0.07,26.27,77.54,8.13,66.67
9,,Sergio Araujo,0.24,0.24,31.9,76,12.28,57.14
10,,Douglas Augusto,0.14,0,52.21,87.65,11.62,68.79
11,,Daniel Mancini,0.24,0.24,30.79,70.58,10.03,55.14
12,,Levi García,0.23,0.16,14,73.27,5.9,55.56
13,,Gerasimos Mitoglou,0,0,39.88,87.77,3.88,62.79
14,,Marko Marić,0,0,18,58.33,1,31.82
15,,Ehsan Haji Safi,0.1,0.07,46.72,79.26,11.14,54.75
16,,Andrija Živković,0.18,0.12,30.58,76.81,10.85,65.43
17,,Kostas Fortounis,0.32,0.4,30.92,79.69,10.36,69.16
18,,Jasmin Kurtić,0.2,0.1,61.4,87.13,9.8,70
19,,Mathieu Valbuena,0.39,0.11,19.72,83.94,9.72,65.63
20,,Yury Lodygin,0,0,17.5,74.29,0.5,46.15
21,,Harold Moukoudi,0,0,55.11,90.46,4.11,74.87
22,,Luis Palma,0.14,0.14,24.03,78.48,7.24,60.32
23,,Khaled Narey,0.22,0.33,19.41,71.95,6.63,52
24,,Giannis Kotsiras,0,0,47.08,83.94,10.84,60.32
25,,Nordin Amrabat,0.32,0.13,25.65,80.13,10.71,67.42
26,,Christos Mandas,0.12,0,31.58,59.93,1.42,37.91
27,,Domagoj Vida,0.03,0.1,58,86.37,7.35,62.41
28,,Hörður Magnússon,0,0,56.17,83.38,6.5,50.21
29,,Zvonimir Šarlija,0.05,0.1,53.1,90.49,4.33,57.55
30,,Lazar Ranđelović,0,0,19,87.72,8.33,100
31,,In-Beom Hwang,0.13,0.13,62.63,87.87,15.59,65.83
32,,Alberto Brignoli,0,0.03,26.59,68.58,0.88,37.81
33,,Manu García,0.18,0.18,34.65,80.65,13.06,70.15
34,,Jon Toral,0.04,0.08,25.63,75.12,10.17,56.76
35,,Sergi Canós,0,0.25,15.5,76.61,5.63,55.56
36,,Zisis Karachalios,0,0.04,39.26,83.06,6.13,60.26
37,,Pape Abou Cissé,0.17,0,41.33,83.47,6,55.56
38,,Cédric Bakambu,0.16,0.06,9.19,73.81,3.41,40
39,,Marios Tsaousis,0.11,0,31.33,81.21,3.56,43.75
40,,Aias Aosman,0.08,0.15,27.62,75.77,7.92,58.7
41,,Eder González,0.09,0.06,56.84,87.91,8.56,68.38
42,,Praxitelis Vouros,0,0,54.21,89.63,5.38,65.87
43,,Nikolaos Athanasiou,0,0,48,80.83,8.8,64.71
44,,Damian Szymański,0,0.03,51.63,86.64,9.57,65.6
45,,Dimitris Chatziisaias,0,0.03,49.74,84.24,1.84,50.66
46,,Marko Bakić,0.13,0.13,33.33,83.2,11.47,68.18
47,,Yann M'Vila,0.06,0.03,59.29,88.79,11.42,63.16
