#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Laurențiu Brănescu,4,1,0,0,0,0
2,,Aitor Cantalapiedra,0,0.33,0,0,0.22,0
3,,Nikos Christogeorgos,3,1,0,0,0,0
4,,James Rodríguez,0,0,0,0,0.35,0.05
5,,Leonardo Koutris,0,1,0,0,0,0
6,,Konstantinos Tzolakis,2.86,0.71,0,0,0.43,0
7,,Vladimír Darida,0,0,0,0,1.24,0.14
8,,Mijat Gaćinović,0,0.17,0,0,0.27,0
9,,Sergio Araujo,0,0.34,0,0,0.41,0.07
10,,Douglas Augusto,0,0.34,0,0,0.48,0.07
11,,Daniel Mancini,0,0.18,0,0,0.41,0.03
12,,Levi García,0,0.26,0,0,0.32,0.03
13,,Gerasimos Mitoglou,0,0.5,0,0,0.13,0
14,,Marko Marić,3.5,0.5,0,0,1,0
15,,Ehsan Haji Safi,0,0.55,0,0,0.45,0.07
16,,Andrija Živković,0,0.21,0,0,0.58,0.18
17,,Kostas Fortounis,0,0.04,0,0,0.4,0.08
18,,Jasmin Kurtić,0,0.2,0,0,0.7,0.1
19,,Mathieu Valbuena,0,0.06,0,0,0.17,0
20,,Yury Lodygin,1.5,0.5,0.5,0.5,0.5,0
21,,Harold Moukoudi,0,0.56,0,0,0.41,0.04
22,,Luis Palma,0,0.03,0,0,0.55,0.07
23,,Khaled Narey,0,0.15,0,0,0.63,0.07
24,,Giannis Kotsiras,0,0.4,0,0,0.44,0
25,,Nordin Amrabat,0,0.03,0,0,0.29,0.06
26,,Christos Mandas,3.35,0.31,0.12,0.04,1.15,0.04
27,,Domagoj Vida,0,0.58,0,0,0.45,0.06
28,,Hörður Magnússon,0,0.46,0,0,0.38,0
29,,Zvonimir Šarlija,0,0.43,0,0,0.29,0.05
30,,Lazar Ranđelović,0,0.33,0,0,0,0
31,,In-Beom Hwang,0,0.34,0,0,0.53,0.09
32,,Alberto Brignoli,1.91,0.62,0.06,0.03,0.41,0.03
33,,Manu García,0,0.12,0,0,0.53,0
34,,Jon Toral,0,0.13,0,0,0.63,0.04
35,,Sergi Canós,0,0,0,0,0,0.13
36,,Zisis Karachalios,0,0.09,0,0,0.87,0.43
37,,Pape Abou Cissé,0,0.5,0,0,0.5,0
38,,Cédric Bakambu,0,0,0,0,0.41,0.03
39,,Marios Tsaousis,0,0.11,0,0,0.33,0
40,,Aias Aosman,0,0.08,0,0,1.31,0.15
41,,Eder González,0,0.19,0,0,0.94,0.13
42,,Praxitelis Vouros,0,0.31,0,0,1.03,0.1
43,,Nikolaos Athanasiou,0,0.6,0,0,0.6,0
44,,Damian Szymański,0,0.4,0,0,0.43,0.07
45,,Dimitris Chatziisaias,0,0.26,0,0,0.87,0.13
46,,Marko Bakić,0,0.13,0,0,1.07,0
47,,Yann M'Vila,0,0.35,0,0,0.61,0.06
48,,Bernard,0,0.23,0,0,0.39,0.03
49,,Sverrir Ingi Ingason,0,0.5,0,0,0.73,0.07
50,,Georgios Antzoulas,0,0,0,0,1,0
51,,Christos Ioannidis,0,0,0,0,0,0
52,,Pierre Kunde,0,0,0,0,0.5,0
53,,Šime Vrsaljko,0,0.33,0,0,0.33,0
54,,Bart Schenkeveld,0,0.59,0,0,0.41,0.04
55,,Djibril Sidibé,0,0.33,0,0,0.17,0
56,,Rodinei,0,0.58,0,0,0.53,0.05
57,,Orbelín Pineda,0,0.11,0,0,0.33,0.06
58,,Athanasios Androutsos,0,0.29,0,0,0.43,0.29
59,,Rubén Pérez,0,0.49,0,0,0.37,0.03
60,,Jakub Brabec,0,0.3,0,0,0.83,0.09
61,,Sokratis,0,0.41,0,0,0.52,0.04
62,,Aguibou Camara,0,0.11,0,0,0.83,0.06
63,,Andreas Ndoj,0,0.62,0,0,0.19,0.1
64,,Alexandros Paschalakis,2.13,0.54,0.08,0,0.58,0.13
65,,Tiago Dantas,0,0.13,0,0,0.59,0.06
66,,Boris Kleiman,3.31,0.34,0.14,0.03,1.14,0.34
67,,Pichu Atienza,0,0.32,0,0,0.86,0.09
68,,Niclas Eliasson,0,0,0,0,0.15,0
69,,Zoran Tošić,0,0,0,0,0.75,0
70,,Živko Živković,2.33,0.33,0,0,0.67,0
71,,Nikolaos Papadopoulos,2.81,0.38,0.15,0,0.92,0.15
72,,Pep Biel,0,0.1,0,0,0.37,0.07
73,,Apostolos Diamantis,0,0.27,0,0,0.93,0.1
74,,Konstantinos Koulierakis,0,0.4,0,0,0.56,0.12
75,,Laurens De Bock,0,0.17,0,0,1.07,0.14
76,,Achilleas Poungouras,0,0.5,0,0,0.5,0
77,,Lazaros Rota,0,0.42,0,0,0.42,0.03
78,,Giorgos Athanasiadis,1.17,0.7,0.07,0,0.4,0.03
79,,Thierry Moutinho,0,0.18,0,0,0.94,0.24
80,,Jens Jønsson,0,0.35,0,0,0.32,0.06
81,,Konstantinos Manolas,0,0,0,0,0.67,0.33
82,,Taison,0,0,0,0,0.71,0.07
83,,Andreas Gianniotis,2.97,0.19,0.23,0.06,0.97,0.13
84,,Dmytro Chygrynskiy,0,0.31,0,0,1.23,0.27
85,,Juanpi Añor,0,0,0,0,1.11,0.11
86,,Léo Tilica,0,0.11,0,0,0.46,0.14
87,,Georgios Tzavellas,0,0.38,0,0,0.31,0.08
88,,Sebastián Palacios,0,0.33,0,0,0.27,0
89,,Panagiotis Tsintotas,2.87,0.13,0.07,0,0.87,0.2
90,,Steven Zuber,0,0.04,0,0,0.14,0.04
91,,Fabiano,0,0.31,0,0,0.97,0.09
92,,Oleg Reabciuk,0,0.37,0,0,0.63,0.13
93,,Tom van Weert,0,0.06,0,0,0.38,0
94,,Gaëtan Robail,0,0.03,0,0,0.79,0.09
95,,Andreas Kuen,0,0.04,0,0,0.74,0.13
96,,Ramon,0,0.33,0,0,0.11,0
97,,Vieirinha,0,0.07,0,0,0.33,0
98,,Panagiotis Retsos,0,0.14,0,0,0.71,0.14
99,,Juankar,0,0.27,0,0,0.39,0.03
100,,Eric Larsson,0,0.26,0,0,1.16,0.06
101,,Nikos Vergos,0,0,0,0,0.88,0.25
102,,Deybi Flores,0,0,0,0,0.81,0.13
103,,Rodrigo Erramuspe,0,0.16,0,0,1.16,0.35
104,,Julián Cuesta,2.74,0.35,0.23,0.03,1,0.1
105,,Vasilios Mantzis,0,0.13,0,0,0.97,0.19
106,,Alexandros Malis,0,0.09,0,0,0.91,0.18
107,,Iker Bilbao,0,0,0,0,1.44,0.38
108,,Carles Soria,0,0.16,0,0,1.16,0.35
109,,Mateo García,0,0.12,0,0,0.7,0.09
110,,Dávid Gróf,3.18,0.27,0.27,0.09,1.27,0.27
111,,Giannis Gianniotas,0,0,0,0,0.69,0.06
112,,Kyriakos Papadopoulos,0,0.3,0,0,0.8,0.3
113,,Oghenekaro Etebo,0,0.2,0,0,0.72,0.12
114,,Federico Álvarez,0,0.31,0,0,0.83,0.14
115,,Andraž Šporar,0,0.03,0,0,0.22,0
116,,Viktor Klonaridis,0,0.04,0,0,0.64,0.08
117,,Stefanos Stroungis,0,0.17,0,0,0.92,0.08
118,,Miguel Mellado,0,0.15,0,0,1,0.07
119,,Dominik Kotarski,1.94,0.44,0.21,0.03,0.71,0.18
120,,Pepe Castaño,0,0.37,0,0,0.87,0.17
121,,Milad Mohammadi,0,0.38,0,0,0.15,0
122,,Ervin Zukanović,0,0.22,0,0,0.94,0.17
123,,Fotis Ioannidis,0,0.06,0,0,0.25,0.03
124,,Aboubakar Kamara,0,0,0,0,0.73,0.07
125,,Dimitrios Kourbelis,0,0.17,0,0,0.33,0.03
126,,Triantafyllos Pasalidis,0,0.27,0,0,0.73,0.05
127,,Lukas Rupp,0,0,0,0,0.5,0
128,,Georgios Kornezos,0,0.23,0,0,1.55,0.18
