#,Team,Name
1,,Dušan Tadić
2,,Steven Berghuis
3,,Daley Blind
4,,Lars Unnerstall
5,,Jordy Clasie
6,,Luuk de Jong
7,,Lasse Schøne
8,,Jasper Cillessen
9,,Przemysław Tytoń
10,,Bas Dost
11,,Gernot Trauner
12,,Davy Pröpper
13,,Mats Seuntjens
14,,Bart Vriends
15,,Jens Toornstra
16,,Bruno Martins Indi
17,,Michiel Kramer
18,,Gerónimo Rulli
19,,Ricky van Wolfswinkel
20,,Jeroen Veldmate
21,,Mike van der Hoorn
22,,Nicolas Isimat-Mirin
23,,Navarone Foor
24,,Iliass Bel Hassani
25,,Adil Auassar
26,,Burak Yılmaz
27,,Dimitrios Siovas
28,,Paul Gladon
29,,Daryl van Mieghem
30,,Patrick van Aanholt
31,,Robbin Ruiter
32,,André Ramalho
33,,Nick Viergever
34,,Oğuzhan Özyakup
35,,Mike te Wierik
36,,Remko Pasveer
37,,Ximo Navarro
38,,Ivo Pinto
39,,Florian Jozefzoon
40,,Robert Mühren
41,,Jeffrey Bruma
42,,Gerrit Nauber
43,,Mark van der Maarel
44,,Marco van Ginkel
45,,Jonathan de Guzmán
46,,Mathew Ryan
47,,Lorenzo Burnet
48,,Vurnon Anita
49,,Doke Schmidt
50,,Tom Boere
51,,Henk Veerman
52,,Tomáš Hájek
53,,Aaron Meijers
54,,Björn Johnsen
55,,Calvin Mac-Intosh
56,,Roel Janssen
57,,Wout Brama
58,,Mike van Duinen
59,,Danny Hoesen
60,,Ben Rienstra
61,,Maikel Kieftenbeld
62,,Hans Mulder
63,,Boy Waterman
