#,Team,Name
1,,Fabian De Keijzer
2,,Barry Lauwers
3,,Nick Olij
4,,Lars Unnerstall
5,,Etienne Vaessen
6,,João Virgínia
7,,Andries Noppert
8,,Jasper Cillessen
9,,Stijn van Gassel
10,,Przemysław Tytoń
11,,Justin Bijlow
12,,Ivor Pandur
13,,Gerónimo Rulli
14,,Filip Stanković
15,,Vasilis Barkas
16,,Robbin Ruiter
17,,Jeffrey de Lange
18,,Kjell Scherpen
19,,Remko Pasveer
20,,Norbert Alblas
21,,Walter Benítez
22,,Mickey van der Hart
23,,Joël Drommel
24,,Hobie Verhulst
25,,Mathew Ryan
26,,Jan de Boer
27,,Peter Leeuwenburgh
28,,Timon Wellenreuther
29,,Joel Pereira
30,,Michael Verrips
31,,Xavier Mous
32,,Youri Schoonderwaldt
33,,Daan Reiziger
34,,Jan Bekkema
35,,Eric Oelschlägel
36,,Mattijs Branderhorst
37,,Yanick van Osch
38,,Jeroen Houwen
39,,Bret Minnema
40,,Boy Waterman
