#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Antony,0.5,0,66.67,4.5,0,0
2,,Cody Gakpo,0.64,0.36,50,3.64,0,0
3,,Dušan Tadić,0.32,0.15,51.11,1.35,0,0
4,,Joey Veerman,0.12,0.09,73.81,1.76,0,0
5,,Fredrik Aursnes,0,0,100,1,0,0
6,,Steven Berghuis,0.31,0.07,45.95,2.59,0.07,0
7,,Václav Černý,0.41,0.16,57.14,3.03,0.03,0
8,,Fabian De Keijzer,0,0,0,0,0,0
9,,Xavi Simons,0.56,0.26,57.36,2.74,0.06,0
10,,Orkun Kökçü,0.25,0,57.69,2.63,0,0.3
11,,Philippe Rommens,0.11,0.07,55.56,1.5,0,0.51
12,,Oussama Tannane,0.24,0.08,56.16,3.08,0,0.4
13,,Ki-Jana Hoever,0,0.2,58.33,0.8,0,0
14,,Gijs Smal,0.06,0,51.43,1.26,0,0
15,,Dávid Hancko,0.06,0.13,72.22,1.35,0.03,0
16,,Kik Pierie,0.14,0.29,100,0.71,0.14,0
17,,Vito van Crooij,0.35,0.18,37.21,1.97,0.03,0
18,,Ramiz Zerrouki,0.03,0.06,60,0.97,0,0
19,,Tijjani Reijnders,0.09,0.15,62.96,2.06,0,0
20,,Aslak Fonn Witry,0,0,0,0,0,0
21,,Barry Lauwers,0,0,0,0,0,0
22,,Edson Álvarez,0.1,0.1,50,2.03,0.06,0
23,,Tobias Lauritsen,0.35,0.32,45.45,2.65,0.15,0
24,,Nick Olij,0,0,0,0,0,0
25,,Thom Haye,0.06,0,34.69,1.26,0,0.4
26,,Daley Blind,0,0,66.67,0.69,0,0
27,,Ibrahim Sangaré,0.17,0,77.27,1.31,0.1,0
28,,Steven Bergwijn,0.38,0.34,53.42,2.69,0.03,0
29,,Jesper Karlsson,0.39,0.09,45.16,2.13,0,0
30,,Maximilian Wittek,0.1,0,53.49,2.42,0,0.46
31,,Noni Madueke,0.2,0.6,50,3.4,0,0
32,,Michal Sadílek,0.14,0.14,33.33,1.14,0,0
33,,Sven Mijnans,0.21,0.06,64.29,1.79,0.06,0
34,,Carel Eiting,0.09,0.03,46.67,0.79,0,0
35,,Jørgen Strand Larsen,0.25,0.25,62.5,2.5,0,0
36,,Sebastian Szymański,0.31,0.24,31.11,2.03,0.03,0
37,,Lars Unnerstall,0,0,100,0,0,0
38,,Etienne Vaessen,0,0,100,0,0,0
39,,Jordy Clasie,0.09,0.03,70,0.67,0,0
40,,Sam Beukema,0.08,0.04,80,0.42,0.08,0
41,,João Virgínia,0,0,50,0,0,0
42,,Luuk de Jong,0.58,0.54,38.46,2.63,0.21,0
43,,Lasse Schøne,0.03,0,58.82,0.63,0,0
44,,Cyril Ngonge,0.25,0.17,65.52,2.5,0,0
45,,Mark Diemers,0.06,0.03,52.31,2.06,0.03,0
46,,Andries Noppert,0,0,0,0,0,0
47,,Lutsharel Geertruida,0.1,0.03,62.96,0.87,0.03,0
48,,Kristijan Bistrović,0.08,0.08,57.69,1.54,0,0
49,,Vangelis Pavlidis,0.48,0.52,38.71,2.56,0,0
50,,Jasper Cillessen,0,0,0,0,0,0
51,,Stijn van Gassel,0,0,100,0,0,0
52,,Mika Godts,0,0,0,0.33,0,0
