#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Antony,1,0,0,0,0,0
2,,Cody Gakpo,0.93,0.57,0,0.21,0,0.5
3,,Dušan Tadić,0.76,0.21,0,0.44,0,0.24
4,,Joey Veerman,1.58,0.85,0.03,0.97,0.03,1.21
5,,Fredrik Aursnes,1,1,0,0,0,0.5
6,,Steven Berghuis,1.52,0.21,0,0.24,0,0.62
7,,Václav Černý,1.06,0.5,0,0.09,0,1.25
8,,Fabian De Keijzer,0,0,0,2,0,0
9,,Xavi Simons,1.41,0.32,0,0.18,0,0.53
10,,Orkun Kökçü,1.22,0.59,0,0.47,0,0.88
11,,Philippe Rommens,2.21,1.18,0,1.18,0,0.71
12,,Oussama Tannane,1.68,0.28,0,0.2,0,0.4
13,,Ki-Jana Hoever,1.4,0.8,0,0.6,0,0.4
14,,Gijs Smal,2.15,1.15,0,1.06,0,1
15,,Dávid Hancko,2.29,1,0,3.26,0,0.29
16,,Kik Pierie,1.29,1.86,0,5,0,0.57
17,,Vito van Crooij,0.71,0.38,0,0.82,0,0.85
18,,Ramiz Zerrouki,2.97,1.66,0,1.16,0,1.13
19,,Tijjani Reijnders,1.06,1.56,0,0.79,0,0.71
20,,Aslak Fonn Witry,0.5,0,0,0.5,0,0
21,,Barry Lauwers,0,0,0,0,0,0
22,,Edson Álvarez,2.29,1.16,0,2.39,0.03,0.9
23,,Tobias Lauritsen,0.41,0.21,0,1,0,0.62
24,,Nick Olij,0.03,0.03,0,0.88,0.09,0
25,,Thom Haye,2.65,1.45,0,1.16,0,1.13
26,,Daley Blind,1.38,0.92,0,1.31,0,0.31
27,,Ibrahim Sangaré,2.34,0.76,0,1.62,0.03,0.59
28,,Steven Bergwijn,0.94,0.16,0,0.13,0,0.22
29,,Jesper Karlsson,0.74,0.43,0,0.3,0,1.04
30,,Maximilian Wittek,2.39,0.84,0.03,1.71,0,1.23
31,,Noni Madueke,2.4,0,0,0,0,0.4
32,,Michal Sadílek,1.93,0.71,0,0.93,0,0.79
33,,Sven Mijnans,1.94,0.88,0,0.68,0,1.32
34,,Carel Eiting,1.97,0.94,0,1.09,0,0.94
35,,Jørgen Strand Larsen,0.75,0.25,0,1.75,0,0
36,,Sebastian Szymański,1.76,0.38,0,0.34,0,0.79
37,,Lars Unnerstall,0.03,0.03,0,0.82,0.03,0
38,,Etienne Vaessen,0.13,0.03,0,0.94,0,0
39,,Jordy Clasie,2,1.45,0,1.27,0,0.91
40,,Sam Beukema,1.04,1.27,0.08,4.08,0,0.31
41,,João Virgínia,0.06,0,0,1,0.18,0
42,,Luuk de Jong,0.46,0.13,0,0.96,0,0.42
43,,Lasse Schøne,1.41,1.22,0,1.41,0,0.84
44,,Cyril Ngonge,0.83,0.67,0,0.58,0,0.25
45,,Mark Diemers,0.94,0.41,0,0.25,0,0.72
