#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Antony,0,0,100,76.19,2.5,0
2,,Cody Gakpo,0,0,46.88,51.88,2.07,0.64
3,,Dušan Tadić,0.09,0,39.39,40.82,1.12,0.76
4,,Joey Veerman,0.03,0,60.53,53.13,0.39,0.61
5,,Fredrik Aursnes,0,0,37.5,50,0,0.5
6,,Steven Berghuis,0.17,0,73.68,50.89,0.38,0.45
7,,Václav Černý,0.03,0.03,21.05,43.19,0.28,0.47
8,,Fabian De Keijzer,0,0,100,100,0,0
9,,Xavi Simons,0.06,0,45.68,53.74,2.29,1.06
10,,Orkun Kökçü,0.19,0,45,45.26,0.84,0.72
11,,Philippe Rommens,0.07,0,47.37,52.11,0.43,1.11
12,,Oussama Tannane,0.28,0.04,48.15,52.74,2.32,1.88
13,,Ki-Jana Hoever,0,0,50,67.86,0.8,0.4
14,,Gijs Smal,0.06,0,45.16,55.29,0.65,0.41
15,,Dávid Hancko,0.06,0,60.66,70.71,0.61,0.39
16,,Kik Pierie,0,0,46.15,54,0.57,0.57
17,,Vito van Crooij,0.12,0,46.91,38.62,0.5,0.82
18,,Ramiz Zerrouki,0.16,0,49.54,53.26,1,1.63
19,,Tijjani Reijnders,0.12,0,34.62,45.22,0.53,0.88
20,,Aslak Fonn Witry,0,0,0,25,0,0
21,,Barry Lauwers,0,0,0,0,0,0
22,,Edson Álvarez,0.32,0,56.73,53.48,0.45,1.1
23,,Tobias Lauritsen,0.12,0,60.9,57.07,1.35,0.71
24,,Nick Olij,0,0,77.78,81.82,0.03,0
25,,Thom Haye,0.23,0,64.41,53.58,0.65,0.9
26,,Daley Blind,0.08,0,60,61.43,0.46,0.38
27,,Ibrahim Sangaré,0.17,0,62.5,57.34,0.9,1.17
28,,Steven Bergwijn,0,0,35.29,51.39,1.13,0.44
29,,Jesper Karlsson,0.22,0,16.67,34.56,0.57,0.52
30,,Maximilian Wittek,0.29,0.03,55.1,51.52,0.94,1.32
31,,Noni Madueke,0.4,0,50,58.7,0.6,0.4
32,,Michal Sadílek,0.14,0,46.15,52.63,0.71,0.64
33,,Sven Mijnans,0.03,0,45.12,47.85,0.76,0.91
34,,Carel Eiting,0.12,0,46.15,49.8,0.62,0.79
35,,Jørgen Strand Larsen,0,0,60,67.65,2.25,0.75
36,,Sebastian Szymański,0.1,0,22.86,44.49,1.14,0.86
37,,Lars Unnerstall,0,0,100,100,0.03,0
38,,Etienne Vaessen,0.09,0,100,100,0.16,0
39,,Jordy Clasie,0.21,0,51.52,51.34,0.55,1.12
40,,Sam Beukema,0.08,0,61.63,60.13,0.42,0.69
41,,João Virgínia,0.06,0,75,70,0.06,0.06
42,,Luuk de Jong,0.13,0,55.79,49.13,0.88,0.58
43,,Lasse Schøne,0.13,0,48.28,50.83,0.94,0.63
44,,Cyril Ngonge,0,0,57.58,55.24,0.83,0.75
45,,Mark Diemers,0.06,0,45,56.62,2.53,0.38
46,,Andries Noppert,0.06,0,100,92.31,0.11,0
47,,Lutsharel Geertruida,0.03,0,58.82,61.73,0.5,0.53
48,,Kristijan Bistrović,0.08,0,40,47.87,0.77,0.46
49,,Vangelis Pavlidis,0.08,0,54.2,44.14,1.2,0.8
50,,Jasper Cillessen,0,0,100,83.33,0.16,0
51,,Stijn van Gassel,0,0,71.43,80,0,0
52,,Mika Godts,0,0,0,50,0.33,0
53,,Przemysław Tytoń,0,0,0,0,0,0
54,,Paweł Bochniewicz,0.12,0,71.95,66.31,0.58,0.79
55,,Bas Dost,0.09,0,68.18,60.92,0.14,0.41
56,,Gernot Trauner,0.21,0,60.76,60.81,0.21,0.68
57,,Sven van Beek,0.13,0,53.06,56.25,0.53,0.53
58,,Mats Wieffer,0.2,0,58.33,53.62,0.96,1.44
59,,Mohammed Kudus,0.03,0,43.48,52.17,1.4,0.87
60,,Calvin Bassey,0,0,62.07,68.75,1,0.56
61,,Yukinari Sugawara,0.16,0,31.03,53.47,0.39,0.52
62,,Alireza Jahanbakhsh,0.07,0,59.52,46.74,0.43,0.61
63,,Johan Hove,0.06,0,55.36,64.71,0.5,0.5
64,,Davy Pröpper,0.5,0,100,50,0.5,1
65,,Johan Bakayoko,0.17,0,48.15,51,0.39,0.7
66,,Mats Seuntjens,0.13,0.03,24,41.23,1.1,1.48
67,,Robin Pröpper,0.34,0,55.63,53.29,0.69,1.41
68,,Justin Bijlow,0.04,0,100,83.33,0.04,0
69,,Rodrigo Guth,0.09,0,55.36,57.01,0.18,0.91
70,,Marouan Azarkan,0.15,0,25,47.89,2.15,0.63
71,,Javairô Dilrosun,0.03,0,38.1,52.58,0.81,0.35
72,,Jurriën Timber,0.09,0,47.37,51.16,0.62,1.06
73,,Mike Eerdhuijzen,0.2,0,64.81,63.64,0.32,0.44
74,,Oussama Idrissi,0.19,0,45.45,46.08,0.44,0.85
75,,Mica Pinto,0.06,0,50,55.38,0.33,0.58
76,,Quilindschy Hartman,0.22,0,66.67,54.72,0.09,0.87
77,,Bart Vriends,0.1,0,63.31,59.81,0.2,0.73
78,,Jens Toornstra,0.23,0,26.67,41.14,0.23,0.58
79,,Milan van Ewijk,0.03,0,43.59,58.06,1.18,0.59
80,,Arno Verschueren,0.19,0,52.38,45.08,0.55,1.58
81,,Can Bozdoğan,0.13,0,64.29,53.73,1.08,1.04
82,,Anas Tahiri,0.13,0,35.29,59.6,0.94,0.25
83,,Anastasios Douvikas,0.03,0,42.11,43.35,1.31,0.66
84,,Kenneth Taylor,0.13,0,42.86,49.03,0.91,0.81
85,,Pantelis Hatzidiakos,0.15,0,52.87,57.07,0.52,0.64
86,,Bas Kuipers,0.04,0,56.1,46.36,0.48,0.96
87,,Joshua Brenet,0.09,0,60,51.59,0.5,0.94
88,,Ivor Pandur,0.06,0,100,88.89,0.03,0
89,,Sydney van Hooijdonk,0.06,0,45.21,42.45,1.06,1.06
90,,Xavier Mbuyamba,0.11,0.04,50.26,52.58,0.18,1.43
91,,Iván Márquez,0.16,0.03,65.85,61.27,0.61,0.9
