#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Antony,1,1,46,78.26,20.5,60
2,,Cody Gakpo,0.86,0.86,25.86,76.52,10.5,50
3,,Dušan Tadić,0.94,0.53,44.35,76.53,22.06,50
4,,Joey Veerman,0.52,0.3,55.03,83.92,17.09,63.91
5,,Fredrik Aursnes,1,0,85,87.65,25,65
6,,Steven Berghuis,0.38,0.31,52.62,83.49,21.34,66.67
7,,Václav Černý,0.53,0.34,37.06,75.3,13.09,62.75
8,,Fabian De Keijzer,0,0,21,45.24,1,36.11
9,,Xavi Simons,0.32,0.24,32.06,82.2,12.18,78.18
10,,Orkun Kökçü,0.28,0.06,72.5,84.57,24.41,54.09
11,,Philippe Rommens,0.25,0.04,53.04,80.54,11.36,52.68
12,,Oussama Tannane,0.4,0.36,42.92,76.89,14.32,55.64
13,,Ki-Jana Hoever,1,0.4,28.2,80.85,8,53.33
14,,Gijs Smal,0.47,0.29,56.97,79.87,14.26,47.57
15,,Dávid Hancko,0.13,0.13,71.65,87.89,11.35,51.86
16,,Kik Pierie,0.14,0.14,37.57,76.43,3,40.63
17,,Vito van Crooij,0.38,0.32,27.53,74.25,6.35,54.46
18,,Ramiz Zerrouki,0.09,0.09,65.75,85.41,17.41,62.46
19,,Tijjani Reijnders,0.35,0.21,56.09,88.83,16.82,62.83
20,,Aslak Fonn Witry,0.5,0.5,25.5,88.24,8,100
21,,Barry Lauwers,0,0,32,50,2,48.39
22,,Edson Álvarez,0.26,0.1,77.29,88.86,13.23,59.74
23,,Tobias Lauritsen,0.15,0.15,21.21,54.09,5.62,60
24,,Nick Olij,0.03,0.03,35.78,68.21,2.81,48.05
25,,Thom Haye,0.23,0.1,58,82.2,14.1,64.4
26,,Daley Blind,0.23,0.15,81.92,88.73,24.62,65.04
27,,Ibrahim Sangaré,0.14,0.03,52.62,84.27,12.31,60.98
28,,Steven Bergwijn,0.19,0.16,37.41,88.72,18.03,69.23
29,,Jesper Karlsson,0.43,0.17,27.09,79.94,11,65
30,,Maximilian Wittek,0.16,0.23,38.77,74.88,8.42,39.87
31,,Noni Madueke,0.4,0,20.6,82.52,12,50
32,,Michal Sadílek,0.57,0.14,43.14,84.44,10.86,46.43
