#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Antony,0,0,0,0,1,0.5
2,,Cody Gakpo,0,0.21,0,0,0.93,0.29
3,,Dušan Tadić,0,0.24,0,0,0.85,0.18
4,,Joey Veerman,0,0.21,0,0,0.61,0.27
5,,Fredrik Aursnes,0,0.5,0,0,1,0
6,,Steven Berghuis,0,0.1,0,0,0.83,0.1
7,,Václav Černý,0,0.09,0,0,0.59,0.09
8,,Fabian De Keijzer,3,1,0,0,0,0
9,,Xavi Simons,0,0.12,0,0,0.71,0.32
10,,Orkun Kökçü,0,0.25,0,0,0.66,0.16
11,,Philippe Rommens,0,0.21,0,0,1.29,0.25
12,,Oussama Tannane,0,0.08,0,0,1.08,0.32
13,,Ki-Jana Hoever,0,0,0,0,0.2,0
14,,Gijs Smal,0,0.44,0,0,0.71,0.09
15,,Dávid Hancko,0,0.32,0,0,0.71,0.16
16,,Kik Pierie,0,0.43,0,0,0.86,0.14
17,,Vito van Crooij,0,0.24,0,0,0.88,0.18
18,,Ramiz Zerrouki,0,0.34,0,0,0.59,0.06
19,,Tijjani Reijnders,0,0.35,0,0,0.88,0.12
20,,Aslak Fonn Witry,0,0,0,0,0,0
21,,Barry Lauwers,1,1,0,0,0,0
22,,Edson Álvarez,0,0.26,0,0,0.84,0.16
23,,Tobias Lauritsen,0,0.29,0,0,0.82,0.21
24,,Nick Olij,3.78,0.44,0.09,0.03,0.84,0.22
25,,Thom Haye,0,0.13,0,0,1.26,0.13
26,,Daley Blind,0,0.23,0,0,0.77,0.15
27,,Ibrahim Sangaré,0,0.21,0,0,0.69,0.34
28,,Steven Bergwijn,0,0.16,0,0,0.81,0.16
29,,Jesper Karlsson,0,0,0,0,0.96,0.17
30,,Maximilian Wittek,0,0.29,0,0,1.13,0.23
31,,Noni Madueke,0,0.2,0,0,0.6,0
32,,Michal Sadílek,0,0.29,0,0,0.36,0
33,,Sven Mijnans,0,0.12,0,0,0.5,0.18
34,,Carel Eiting,0,0.15,0,0,1.85,0.21
35,,Jørgen Strand Larsen,0,0.25,0,0,2,0.25
36,,Sebastian Szymański,0,0.17,0,0,0.52,0.07
37,,Lars Unnerstall,2.94,0.48,0.06,0.03,0.73,0.09
38,,Etienne Vaessen,4.22,0.19,0.22,0.06,1.5,0.22
39,,Jordy Clasie,0,0.18,0,0,0.91,0.15
40,,Sam Beukema,0,0.31,0,0,0.65,0.15
